municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Quatipuru,dados_quatipuru__populacao_total,População Total,dados_quatipuru,Grupo 2 — 3 censos,3,logistic,sgd,True,0.6305989113579488,2000,11.24,Valor
Quatipuru,dados_quatipuru__populacao_total,População Total,dados_quatipuru,Grupo 2 — 3 censos,3,logistic,sgd,True,0.6305989113579488,2010,12.411,Valor
Quatipuru,dados_quatipuru__populacao_total,População Total,dados_quatipuru,Grupo 2 — 3 censos,3,logistic,sgd,True,0.6305989113579488,2022,11.7,Valor
Quatipuru,dados_quatipuru__populacao_urbana,População Urbana,dados_quatipuru,Grupo 2 — 3 censos,3,logistic,adam,True,0.5777980088133763,2000,5.82,Valor
Quatipuru,dados_quatipuru__populacao_urbana,População Urbana,dados_quatipuru,Grupo 2 — 3 censos,3,logistic,adam,True,0.5777980088133763,2010,7.12,Valor
Quatipuru,dados_quatipuru__populacao_urbana,População Urbana,dados_quatipuru,Grupo 2 — 3 censos,3,logistic,adam,True,0.5777980088133763,2022,7.48,Valor
Quatipuru,dados_quatipuru__populacao_rural,População Rural,dados_quatipuru,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.45424222772424994,2000,5.42,Valor
Quatipuru,dados_quatipuru__populacao_rural,População Rural,dados_quatipuru,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.45424222772424994,2010,5.291,Valor
Quatipuru,dados_quatipuru__populacao_rural,População Rural,dados_quatipuru,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.45424222772424994,2022,4.22,Valor
Quatipuru,dados_quatipuru__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_quatipuru,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Quatipuru,dados_quatipuru__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_quatipuru,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Quatipuru,dados_quatipuru__populacao_de_mulheres,População de Mulheres,dados_quatipuru,Grupo 2 — 3 censos,3,logistic,sgd,True,0.32292542564808535,2000,5.48,Valor
Quatipuru,dados_quatipuru__populacao_de_mulheres,População de Mulheres,dados_quatipuru,Grupo 2 — 3 censos,3,logistic,sgd,True,0.32292542564808535,2010,6.11,Valor
Quatipuru,dados_quatipuru__populacao_de_mulheres,População de Mulheres,dados_quatipuru,Grupo 2 — 3 censos,3,logistic,sgd,True,0.32292542564808535,2022,5.82,Valor
Quatipuru,dados_quatipuru__populacao_de_homens,População de Homens,dados_quatipuru,Grupo 2 — 3 censos,3,logistic,sgd,True,0.3228257925905164,2000,5.76,Valor
Quatipuru,dados_quatipuru__populacao_de_homens,População de Homens,dados_quatipuru,Grupo 2 — 3 censos,3,logistic,sgd,True,0.3228257925905164,2010,6.301,Valor
Quatipuru,dados_quatipuru__populacao_de_homens,População de Homens,dados_quatipuru,Grupo 2 — 3 censos,3,logistic,sgd,True,0.3228257925905164,2022,5.88,Valor
Quatipuru,dados_quatipuru__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_quatipuru,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.22878535625402682,2000,105.1,Valor
Quatipuru,dados_quatipuru__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_quatipuru,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.22878535625402682,2010,103.1,Valor
Quatipuru,dados_quatipuru__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_quatipuru,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.22878535625402682,2022,101.0,Valor
Quatipuru,dados_quatipuru__idade_mediana,Idade Mediana,dados_quatipuru,Grupo 2 — 3 censos,3,identity,adam,True,1.6750995875190877,2000,22.0,Valor
Quatipuru,dados_quatipuru__idade_mediana,Idade Mediana,dados_quatipuru,Grupo 2 — 3 censos,3,identity,adam,True,1.6750995875190877,2010,26.0,Valor
Quatipuru,dados_quatipuru__idade_mediana,Idade Mediana,dados_quatipuru,Grupo 2 — 3 censos,3,identity,adam,True,1.6750995875190877,2022,33.0,Valor
Quatipuru,dados_quatipuru__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_quatipuru,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.479320022370932,2000,12.4,Valor
Quatipuru,dados_quatipuru__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_quatipuru,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.479320022370932,2010,18.9,Valor
Quatipuru,dados_quatipuru__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_quatipuru,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.479320022370932,2022,39.2,Valor
Quatipuru,dados_quatipuru__populacao_parda,População Parda,dados_quatipuru,Grupo 2 — 3 censos,3,logistic,sgd,True,0.605269716715838,2000,8.12,Valor
Quatipuru,dados_quatipuru__populacao_parda,População Parda,dados_quatipuru,Grupo 2 — 3 censos,3,logistic,sgd,True,0.605269716715838,2010,9.24,Valor
Quatipuru,dados_quatipuru__populacao_parda,População Parda,dados_quatipuru,Grupo 2 — 3 censos,3,logistic,sgd,True,0.605269716715838,2022,8.82,Valor
Quatipuru,dados_quatipuru__populacao_branca,População Branca,dados_quatipuru,Grupo 2 — 3 censos,3,logistic,sgd,True,0.15518558464221632,2000,2.24,Valor
Quatipuru,dados_quatipuru__populacao_branca,População Branca,dados_quatipuru,Grupo 2 — 3 censos,3,logistic,sgd,True,0.15518558464221632,2010,2.31,Valor
Quatipuru,dados_quatipuru__populacao_branca,População Branca,dados_quatipuru,Grupo 2 — 3 censos,3,logistic,sgd,True,0.15518558464221632,2022,2.04,Valor
Quatipuru,dados_quatipuru__populacao_preta,População Preta,dados_quatipuru,Grupo 2 — 3 censos,3,logistic,sgd,True,6.716526268704986,2000,810.0,Valor
Quatipuru,dados_quatipuru__populacao_preta,População Preta,dados_quatipuru,Grupo 2 — 3 censos,3,logistic,sgd,True,6.716526268704986,2010,820.0,Valor
Quatipuru,dados_quatipuru__populacao_preta,População Preta,dados_quatipuru,Grupo 2 — 3 censos,3,logistic,sgd,True,6.716526268704986,2022,810.0,Valor
Quatipuru,dados_quatipuru__populacao_amarela,População Amarela,dados_quatipuru,Grupo 2 — 3 censos,3,identity,lbfgs,True,4.575719956466578,2000,50.0,Valor
Quatipuru,dados_quatipuru__populacao_amarela,População Amarela,dados_quatipuru,Grupo 2 — 3 censos,3,identity,lbfgs,True,4.575719956466578,2010,30.0,Valor
Quatipuru,dados_quatipuru__populacao_amarela,População Amarela,dados_quatipuru,Grupo 2 — 3 censos,3,identity,lbfgs,True,4.575719956466578,2022,12.0,Valor
Quatipuru,dados_quatipuru__populacao_indigena,População Indígena,dados_quatipuru,Grupo 2 — 3 censos,3,logistic,sgd,True,5.322605131791671,2000,20.0,Valor
Quatipuru,dados_quatipuru__populacao_indigena,População Indígena,dados_quatipuru,Grupo 2 — 3 censos,3,logistic,sgd,True,5.322605131791671,2010,11.0,Valor
Quatipuru,dados_quatipuru__populacao_indigena,População Indígena,dados_quatipuru,Grupo 2 — 3 censos,3,logistic,sgd,True,5.322605131791671,2022,18.0,Valor
Quatipuru,dados_quatipuru__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_quatipuru,Grupo 2 — 3 censos,3,relu,lbfgs,True,190.72970807515878,2000,114.8,Valor
Quatipuru,dados_quatipuru__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_quatipuru,Grupo 2 — 3 censos,3,relu,lbfgs,True,190.72970807515878,2010,301.2,Valor
Quatipuru,dados_quatipuru__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_quatipuru,Grupo 2 — 3 censos,3,relu,lbfgs,True,190.72970807515878,2022,824.0,Valor
Quatipuru,dados_quatipuru__apenas_1_trabalho,Apenas 1 trabalho,dados_quatipuru,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.5571580496623909,2000,96.6,Valor
Quatipuru,dados_quatipuru__apenas_1_trabalho,Apenas 1 trabalho,dados_quatipuru,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.5571580496623909,2010,96.1,Valor
Quatipuru,dados_quatipuru__apenas_1_trabalho,Apenas 1 trabalho,dados_quatipuru,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.5571580496623909,2022,94.3,Valor
Quatipuru,dados_quatipuru__2_trabalhos,2 trabalhos,dados_quatipuru,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6017229378922563,2000,3.0,Valor
Quatipuru,dados_quatipuru__2_trabalhos,2 trabalhos,dados_quatipuru,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6017229378922563,2010,3.4,Valor
Quatipuru,dados_quatipuru__2_trabalhos,2 trabalhos,dados_quatipuru,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6017229378922563,2022,5.0,Valor
Quatipuru,dados_quatipuru__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_quatipuru,Grupo 2 — 3 censos,3,identity,adam,True,0.060900738248419774,2000,0.4,Valor
Quatipuru,dados_quatipuru__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_quatipuru,Grupo 2 — 3 censos,3,identity,adam,True,0.060900738248419774,2010,0.5,Valor
Quatipuru,dados_quatipuru__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_quatipuru,Grupo 2 — 3 censos,3,identity,adam,True,0.060900738248419774,2022,0.7,Valor
Quatipuru,dados_quatipuru__setor_privado,Setor privado,dados_quatipuru,Grupo 2 — 3 censos,3,tanh,adam,True,506.44200116423013,2000,920.0,Valor
Quatipuru,dados_quatipuru__setor_privado,Setor privado,dados_quatipuru,Grupo 2 — 3 censos,3,tanh,adam,True,506.44200116423013,2010,1.38,Valor
Quatipuru,dados_quatipuru__setor_privado,Setor privado,dados_quatipuru,Grupo 2 — 3 censos,3,tanh,adam,True,506.44200116423013,2022,1.78,Valor
Quatipuru,dados_quatipuru__conta_propria,Conta própria,dados_quatipuru,Grupo 2 — 3 censos,3,relu,adam,True,0.07526737994697075,2000,1.48,Valor
Quatipuru,dados_quatipuru__conta_propria,Conta própria,dados_quatipuru,Grupo 2 — 3 censos,3,relu,adam,True,0.07526737994697075,2010,1.74,Valor
Quatipuru,dados_quatipuru__conta_propria,Conta própria,dados_quatipuru,Grupo 2 — 3 censos,3,relu,adam,True,0.07526737994697075,2022,1.92,Valor
Quatipuru,dados_quatipuru__setor_publico,Setor público,dados_quatipuru,Grupo 2 — 3 censos,3,logistic,sgd,True,481.287077072003,2000,580.0,Valor
Quatipuru,dados_quatipuru__setor_publico,Setor público,dados_quatipuru,Grupo 2 — 3 censos,3,logistic,sgd,True,481.287077072003,2010,880.0,Valor
Quatipuru,dados_quatipuru__setor_publico,Setor público,dados_quatipuru,Grupo 2 — 3 censos,3,logistic,sgd,True,481.287077072003,2022,1.18,Valor
Quatipuru,dados_quatipuru__trabalhador_domestico,Trabalhador doméstico,dados_quatipuru,Grupo 2 — 3 censos,3,relu,adam,True,20.224516909422846,2000,210.0,Valor
Quatipuru,dados_quatipuru__trabalhador_domestico,Trabalhador doméstico,dados_quatipuru,Grupo 2 — 3 censos,3,relu,adam,True,20.224516909422846,2010,280.0,Valor
Quatipuru,dados_quatipuru__trabalhador_domestico,Trabalhador doméstico,dados_quatipuru,Grupo 2 — 3 censos,3,relu,adam,True,20.224516909422846,2022,330.0,Valor
Quatipuru,dados_quatipuru__empregador,Empregador,dados_quatipuru,Grupo 2 — 3 censos,3,identity,sgd,True,3.0370808233056885,2000,60.0,Valor
Quatipuru,dados_quatipuru__empregador,Empregador,dados_quatipuru,Grupo 2 — 3 censos,3,identity,sgd,True,3.0370808233056885,2010,90.0,Valor
Quatipuru,dados_quatipuru__empregador,Empregador,dados_quatipuru,Grupo 2 — 3 censos,3,identity,sgd,True,3.0370808233056885,2022,130.0,Valor
Quatipuru,dados_quatipuru__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_quatipuru,Grupo 2 — 3 censos,3,relu,adam,True,92.33909452786973,2000,510.0,Valor
Quatipuru,dados_quatipuru__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_quatipuru,Grupo 2 — 3 censos,3,relu,adam,True,92.33909452786973,2010,250.0,Valor
Quatipuru,dados_quatipuru__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_quatipuru,Grupo 2 — 3 censos,3,relu,adam,True,92.33909452786973,2022,130.0,Valor
Quatipuru,dados_quatipuru__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_quatipuru,Grupo 2 — 3 censos,3,identity,adam,True,1.5192255993350585,2000,20.0,Valor
Quatipuru,dados_quatipuru__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_quatipuru,Grupo 2 — 3 censos,3,identity,adam,True,1.5192255993350585,2010,30.0,Valor
Quatipuru,dados_quatipuru__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_quatipuru,Grupo 2 — 3 censos,3,identity,adam,True,1.5192255993350585,2022,40.0,Valor
Quatipuru,dados_quatipuru__setor_privado_com_carteira_assinada,Setor privado com carteira assinada,dados_quatipuru,Grupo 2 — 3 censos,3,identity,adam,True,34.9290173572046,2000,310.0,Valor
Quatipuru,dados_quatipuru__setor_privado_com_carteira_assinada,Setor privado com carteira assinada,dados_quatipuru,Grupo 2 — 3 censos,3,identity,adam,True,34.9290173572046,2010,590.0,Valor
Quatipuru,dados_quatipuru__setor_privado_com_carteira_assinada,Setor privado com carteira assinada,dados_quatipuru,Grupo 2 — 3 censos,3,identity,adam,True,34.9290173572046,2022,880.0,Valor
Quatipuru,dados_quatipuru__setor_privado_sem_carteira_assinada,Setor privado sem carteira assinada,dados_quatipuru,Grupo 2 — 3 censos,3,relu,adam,True,52.486074188137955,2000,610.0,Valor
Quatipuru,dados_quatipuru__setor_privado_sem_carteira_assinada,Setor privado sem carteira assinada,dados_quatipuru,Grupo 2 — 3 censos,3,relu,adam,True,52.486074188137955,2010,790.0,Valor
Quatipuru,dados_quatipuru__setor_privado_sem_carteira_assinada,Setor privado sem carteira assinada,dados_quatipuru,Grupo 2 — 3 censos,3,relu,adam,True,52.486074188137955,2022,900.0,Valor
