municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Rio Maria,dados_rio_maria__populacao_total,População Total,dados_rio_maria,Grupo 1 — 4 censos,4,logistic,sgd,True,0.31087979094771345,1991,18.42,Valor
Rio Maria,dados_rio_maria__populacao_total,População Total,dados_rio_maria,Grupo 1 — 4 censos,4,logistic,sgd,True,0.31087979094771345,2000,18.14,Valor
Rio Maria,dados_rio_maria__populacao_total,População Total,dados_rio_maria,Grupo 1 — 4 censos,4,logistic,sgd,True,0.31087979094771345,2010,17.627,Valor
Rio Maria,dados_rio_maria__populacao_total,População Total,dados_rio_maria,Grupo 1 — 4 censos,4,logistic,sgd,True,0.31087979094771345,2022,18.201,Valor
Rio Maria,dados_rio_maria__populacao_urbana,População Urbana,dados_rio_maria,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.0045754236446592005,2000,14.12,Valor
Rio Maria,dados_rio_maria__populacao_urbana,População Urbana,dados_rio_maria,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.0045754236446592005,2010,14.89,Valor
Rio Maria,dados_rio_maria__populacao_urbana,População Urbana,dados_rio_maria,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.0045754236446592005,2022,15.82,Valor
Rio Maria,dados_rio_maria__populacao_rural,População Rural,dados_rio_maria,Grupo 2 — 3 censos,3,tanh,sgd,True,0.5248439450953443,2000,4.02,Valor
Rio Maria,dados_rio_maria__populacao_rural,População Rural,dados_rio_maria,Grupo 2 — 3 censos,3,tanh,sgd,True,0.5248439450953443,2010,2.737,Valor
Rio Maria,dados_rio_maria__populacao_rural,População Rural,dados_rio_maria,Grupo 2 — 3 censos,3,tanh,sgd,True,0.5248439450953443,2022,2.381,Valor
Rio Maria,dados_rio_maria__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_rio_maria,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
