municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Salinópolis,dados_salinopolis__populacao_total,População Total,dados_salinopolis,Grupo 1 — 4 censos,4,identity,adam,True,2.2763899559254837,1991,29.41,Valor
Salinópolis,dados_salinopolis__populacao_total,População Total,dados_salinopolis,Grupo 1 — 4 censos,4,identity,adam,True,2.2763899559254837,2000,35.892,Valor
Salinópolis,dados_salinopolis__populacao_total,População Total,dados_salinopolis,Grupo 1 — 4 censos,4,identity,adam,True,2.2763899559254837,2010,37.421,Valor
Salinópolis,dados_salinopolis__populacao_total,População Total,dados_salinopolis,Grupo 1 — 4 censos,4,identity,adam,True,2.2763899559254837,2022,41.059,Valor
Salinópolis,dados_salinopolis__populacao_urbana,População Urbana,dados_salinopolis,Grupo 2 — 3 censos,3,identity,adam,True,0.38870649915311617,2000,28.42,Valor
Salinópolis,dados_salinopolis__populacao_urbana,População Urbana,dados_salinopolis,Grupo 2 — 3 censos,3,identity,adam,True,0.38870649915311617,2010,30.82,Valor
Salinópolis,dados_salinopolis__populacao_urbana,População Urbana,dados_salinopolis,Grupo 2 — 3 censos,3,identity,adam,True,0.38870649915311617,2022,34.21,Valor
Salinópolis,dados_salinopolis__populacao_rural,População Rural,dados_salinopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,0.4972408215907261,2000,7.472,Valor
Salinópolis,dados_salinopolis__populacao_rural,População Rural,dados_salinopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,0.4972408215907261,2010,6.601,Valor
Salinópolis,dados_salinopolis__populacao_rural,População Rural,dados_salinopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,0.4972408215907261,2022,6.849,Valor
Salinópolis,dados_salinopolis__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_salinopolis,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,640.0,Valor
Salinópolis,dados_salinopolis__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_salinopolis,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,1.82,Valor
Salinópolis,dados_salinopolis__populacao_de_mulheres,População de Mulheres,dados_salinopolis,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6889758902117246,2000,18.12,Valor
Salinópolis,dados_salinopolis__populacao_de_mulheres,População de Mulheres,dados_salinopolis,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6889758902117246,2010,18.92,Valor
Salinópolis,dados_salinopolis__populacao_de_mulheres,População de Mulheres,dados_salinopolis,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6889758902117246,2022,20.84,Valor
Salinópolis,dados_salinopolis__populacao_de_homens,População de Homens,dados_salinopolis,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6151799282756336,2000,17.772,Valor
Salinópolis,dados_salinopolis__populacao_de_homens,População de Homens,dados_salinopolis,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6151799282756336,2010,18.501,Valor
Salinópolis,dados_salinopolis__populacao_de_homens,População de Homens,dados_salinopolis,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6151799282756336,2022,20.219,Valor
Salinópolis,dados_salinopolis__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_salinopolis,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.22522151831155193,2000,98.1,Valor
Salinópolis,dados_salinopolis__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_salinopolis,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.22522151831155193,2010,97.8,Valor
Salinópolis,dados_salinopolis__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_salinopolis,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.22522151831155193,2022,97.0,Valor
Salinópolis,dados_salinopolis__idade_mediana,Idade Mediana,dados_salinopolis,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2000,20.0,Valor
Salinópolis,dados_salinopolis__idade_mediana,Idade Mediana,dados_salinopolis,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2010,24.0,Valor
Salinópolis,dados_salinopolis__idade_mediana,Idade Mediana,dados_salinopolis,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2022,30.0,Valor
Salinópolis,dados_salinopolis__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_salinopolis,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.246911489705848,2000,7.2,Valor
Salinópolis,dados_salinopolis__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_salinopolis,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.246911489705848,2010,12.4,Valor
Salinópolis,dados_salinopolis__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_salinopolis,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.246911489705848,2022,26.8,Valor
Salinópolis,dados_salinopolis__populacao_parda,População Parda,dados_salinopolis,Grupo 2 — 3 censos,3,identity,adam,True,1.065828776484853,2000,25.42,Valor
Salinópolis,dados_salinopolis__populacao_parda,População Parda,dados_salinopolis,Grupo 2 — 3 censos,3,identity,adam,True,1.065828776484853,2010,27.42,Valor
Salinópolis,dados_salinopolis__populacao_parda,População Parda,dados_salinopolis,Grupo 2 — 3 censos,3,identity,adam,True,1.065828776484853,2022,31.22,Valor
Salinópolis,dados_salinopolis__populacao_branca,População Branca,dados_salinopolis,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.015252057684592776,2000,7.42,Valor
Salinópolis,dados_salinopolis__populacao_branca,População Branca,dados_salinopolis,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.015252057684592776,2010,6.82,Valor
