municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Salvaterra,dados_salvaterra__populacao_total,População Total,dados_salvaterra,Grupo 1 — 4 censos,4,relu,adam,True,0.5820775145819987,1991,15.24,Valor
Salvaterra,dados_salvaterra__populacao_total,População Total,dados_salvaterra,Grupo 1 — 4 censos,4,relu,adam,True,0.5820775145819987,2000,17.18,Valor
Salvaterra,dados_salvaterra__populacao_total,População Total,dados_salvaterra,Grupo 1 — 4 censos,4,relu,adam,True,0.5820775145819987,2010,20.183,Valor
Salvaterra,dados_salvaterra__populacao_total,População Total,dados_salvaterra,Grupo 1 — 4 censos,4,relu,adam,True,0.5820775145819987,2022,24.075,Valor
Salvaterra,dados_salvaterra__populacao_urbana,População Urbana,dados_salvaterra,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.00610201071824316,2000,9.28,Valor
Salvaterra,dados_salvaterra__populacao_urbana,População Urbana,dados_salvaterra,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.00610201071824316,2010,11.42,Valor
Salvaterra,dados_salvaterra__populacao_urbana,População Urbana,dados_salvaterra,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.00610201071824316,2022,13.98,Valor
Salvaterra,dados_salvaterra__populacao_rural,População Rural,dados_salvaterra,Grupo 2 — 3 censos,3,identity,adam,True,0.22576697377128893,2000,7.9,Valor
Salvaterra,dados_salvaterra__populacao_rural,População Rural,dados_salvaterra,Grupo 2 — 3 censos,3,identity,adam,True,0.22576697377128893,2010,8.763,Valor
Salvaterra,dados_salvaterra__populacao_rural,População Rural,dados_salvaterra,Grupo 2 — 3 censos,3,identity,adam,True,0.22576697377128893,2022,10.095,Valor
Salvaterra,dados_salvaterra__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_salvaterra,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Salvaterra,dados_salvaterra__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_salvaterra,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Salvaterra,dados_salvaterra__populacao_de_mulheres,População de Mulheres,dados_salvaterra,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.028979197429590542,2000,8.42,Valor
Salvaterra,dados_salvaterra__populacao_de_mulheres,População de Mulheres,dados_salvaterra,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.028979197429590542,2010,9.98,Valor
Salvaterra,dados_salvaterra__populacao_de_mulheres,População de Mulheres,dados_salvaterra,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.028979197429590542,2022,11.89,Valor
Salvaterra,dados_salvaterra__populacao_de_homens,População de Homens,dados_salvaterra,Grupo 2 — 3 censos,3,identity,adam,True,0.19091698497909468,2000,8.76,Valor
Salvaterra,dados_salvaterra__populacao_de_homens,População de Homens,dados_salvaterra,Grupo 2 — 3 censos,3,identity,adam,True,0.19091698497909468,2010,10.203,Valor
Salvaterra,dados_salvaterra__populacao_de_homens,População de Homens,dados_salvaterra,Grupo 2 — 3 censos,3,identity,adam,True,0.19091698497909468,2022,12.185,Valor
Salvaterra,dados_salvaterra__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_salvaterra,Grupo 2 — 3 censos,3,logistic,sgd,True,1.099626119435617,2000,104.0,Valor
Salvaterra,dados_salvaterra__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_salvaterra,Grupo 2 — 3 censos,3,logistic,sgd,True,1.099626119435617,2010,102.2,Valor
Salvaterra,dados_salvaterra__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_salvaterra,Grupo 2 — 3 censos,3,logistic,sgd,True,1.099626119435617,2022,102.5,Valor
Salvaterra,dados_salvaterra__idade_mediana,Idade Mediana,dados_salvaterra,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.5036004004471324,2000,20.0,Valor
Salvaterra,dados_salvaterra__idade_mediana,Idade Mediana,dados_salvaterra,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.5036004004471324,2010,23.0,Valor
Salvaterra,dados_salvaterra__idade_mediana,Idade Mediana,dados_salvaterra,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.5036004004471324,2022,30.0,Valor
Salvaterra,dados_salvaterra__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_salvaterra,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.914908867341815,2000,5.4,Valor
Salvaterra,dados_salvaterra__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_salvaterra,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.914908867341815,2010,8.2,Valor
Salvaterra,dados_salvaterra__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_salvaterra,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.914908867341815,2022,22.4,Valor
Salvaterra,dados_salvaterra__populacao_parda,População Parda,dados_salvaterra,Grupo 2 — 3 censos,3,identity,adam,True,0.705315820916517,2000,12.14,Valor
Salvaterra,dados_salvaterra__populacao_parda,População Parda,dados_salvaterra,Grupo 2 — 3 censos,3,identity,adam,True,0.705315820916517,2010,15.28,Valor
Salvaterra,dados_salvaterra__populacao_parda,População Parda,dados_salvaterra,Grupo 2 — 3 censos,3,identity,adam,True,0.705315820916517,2022,18.12,Valor
Salvaterra,dados_salvaterra__populacao_branca,População Branca,dados_salvaterra,Grupo 2 — 3 censos,3,logistic,sgd,True,0.1827059063106399,2000,3.12,Valor
Salvaterra,dados_salvaterra__populacao_branca,População Branca,dados_salvaterra,Grupo 2 — 3 censos,3,logistic,sgd,True,0.1827059063106399,2010,2.84,Valor
Salvaterra,dados_salvaterra__populacao_branca,População Branca,dados_salvaterra,Grupo 2 — 3 censos,3,logistic,sgd,True,0.1827059063106399,2022,3.11,Valor
