municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Santa Luzia do Pará,dados_santa_luzia_do_para__populacao_total,População Total,dados_santa_luzia_do_para,Grupo 1 — 4 censos,4,identity,sgd,True,0.0634392908037622,1991,18.91,Valor
Santa Luzia do Pará,dados_santa_luzia_do_para__populacao_total,População Total,dados_santa_luzia_do_para,Grupo 1 — 4 censos,4,identity,sgd,True,0.0634392908037622,2000,19.24,Valor
Santa Luzia do Pará,dados_santa_luzia_do_para__populacao_total,População Total,dados_santa_luzia_do_para,Grupo 1 — 4 censos,4,identity,sgd,True,0.0634392908037622,2010,19.414,Valor
Santa Luzia do Pará,dados_santa_luzia_do_para__populacao_total,População Total,dados_santa_luzia_do_para,Grupo 1 — 4 censos,4,identity,sgd,True,0.0634392908037622,2022,19.839,Valor
Santa Luzia do Pará,dados_santa_luzia_do_para__populacao_urbana,População Urbana,dados_santa_luzia_do_para,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.2421954513276205,2000,8.12,Valor
Santa Luzia do Pará,dados_santa_luzia_do_para__populacao_urbana,População Urbana,dados_santa_luzia_do_para,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.2421954513276205,2010,10.787,Valor
Santa Luzia do Pará,dados_santa_luzia_do_para__populacao_urbana,População Urbana,dados_santa_luzia_do_para,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.2421954513276205,2022,11.21,Valor
Santa Luzia do Pará,dados_santa_luzia_do_para__populacao_rural,População Rural,dados_santa_luzia_do_para,Grupo 2 — 3 censos,3,tanh,adam,True,1.3748896404311057,2000,11.12,Valor
Santa Luzia do Pará,dados_santa_luzia_do_para__populacao_rural,População Rural,dados_santa_luzia_do_para,Grupo 2 — 3 censos,3,tanh,adam,True,1.3748896404311057,2010,8.627,Valor
Santa Luzia do Pará,dados_santa_luzia_do_para__populacao_rural,População Rural,dados_santa_luzia_do_para,Grupo 2 — 3 censos,3,tanh,adam,True,1.3748896404311057,2022,8.629,Valor
Santa Luzia do Pará,dados_santa_luzia_do_para__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_santa_luzia_do_para,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Santa Luzia do Pará,dados_santa_luzia_do_para__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_santa_luzia_do_para,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
