municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__populacao_total,População Total,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,3,logistic,sgd,True,3.3610506209762154,2000,11.642,Valor
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__populacao_total,População Total,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,3,logistic,sgd,True,3.3610506209762154,2010,17.206,Valor
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__populacao_total,População Total,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,3,logistic,sgd,True,3.3610506209762154,2022,12.756,Valor
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__populacao_urbana,População Urbana,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,3,logistic,sgd,True,1.3870483981944728,2000,3.21,Valor
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__populacao_urbana,População Urbana,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,3,logistic,sgd,True,1.3870483981944728,2010,5.48,Valor
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__populacao_urbana,População Urbana,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,3,logistic,sgd,True,1.3870483981944728,2022,5.12,Valor
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__populacao_rural,População Rural,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,3,logistic,sgd,True,2.481521073029007,2000,8.432,Valor
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__populacao_rural,População Rural,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,3,logistic,sgd,True,2.481521073029007,2010,11.726,Valor
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__populacao_rural,População Rural,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,3,logistic,sgd,True,2.481521073029007,2022,7.636,Valor
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_santa_maria_das_barreiras,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_santa_maria_das_barreiras,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__populacao_de_mulheres,População de Mulheres,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,3,logistic,sgd,True,1.54967263314129,2000,5.24,Valor
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__populacao_de_mulheres,População de Mulheres,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,3,logistic,sgd,True,1.54967263314129,2010,7.92,Valor
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__populacao_de_mulheres,População de Mulheres,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,3,logistic,sgd,True,1.54967263314129,2022,5.98,Valor
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__populacao_de_homens,População de Homens,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,3,logistic,sgd,True,1.8113779878349259,2000,6.402,Valor
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__populacao_de_homens,População de Homens,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,3,logistic,sgd,True,1.8113779878349259,2010,9.286,Valor
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__populacao_de_homens,População de Homens,dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,3,logistic,sgd,True,1.8113779878349259,2022,6.776,Valor
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,3,relu,adam,True,1.3605187340321454,2000,122.2,Valor
Santa Maria das Barreiras,dados_santa_maria_das_barreiras__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_santa_maria_das_barreiras,Grupo 2 — 3 censos,3,relu,adam,True,1.3605187340321454,2010,117.2,Valor
