municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Santana do Araguaia,dados_santana_do_araguaia__populacao_total,População Total,dados_santana_do_araguaia,Grupo 1 — 4 censos,4,identity,adam,True,1.5273274836797839,1991,22.84,Valor
Santana do Araguaia,dados_santana_do_araguaia__populacao_total,População Total,dados_santana_do_araguaia,Grupo 1 — 4 censos,4,identity,adam,True,1.5273274836797839,2000,38.642,Valor
Santana do Araguaia,dados_santana_do_araguaia__populacao_total,População Total,dados_santana_do_araguaia,Grupo 1 — 4 censos,4,identity,adam,True,1.5273274836797839,2010,56.153,Valor
Santana do Araguaia,dados_santana_do_araguaia__populacao_total,População Total,dados_santana_do_araguaia,Grupo 1 — 4 censos,4,identity,adam,True,1.5273274836797839,2022,74.419,Valor
Santana do Araguaia,dados_santana_do_araguaia__populacao_urbana,População Urbana,dados_santana_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,1.7584466155248915,2000,22.14,Valor
Santana do Araguaia,dados_santana_do_araguaia__populacao_urbana,População Urbana,dados_santana_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,1.7584466155248915,2010,36.82,Valor
Santana do Araguaia,dados_santana_do_araguaia__populacao_urbana,População Urbana,dados_santana_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,1.7584466155248915,2022,52.12,Valor
Santana do Araguaia,dados_santana_do_araguaia__populacao_rural,População Rural,dados_santana_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,0.3273672249453625,2000,16.502,Valor
Santana do Araguaia,dados_santana_do_araguaia__populacao_rural,População Rural,dados_santana_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,0.3273672249453625,2010,19.333,Valor
Santana do Araguaia,dados_santana_do_araguaia__populacao_rural,População Rural,dados_santana_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,0.3273672249453625,2022,22.299,Valor
Santana do Araguaia,dados_santana_do_araguaia__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_santana_do_araguaia,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,840.0,Valor
Santana do Araguaia,dados_santana_do_araguaia__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_santana_do_araguaia,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,2.84,Valor
Santana do Araguaia,dados_santana_do_araguaia__populacao_de_mulheres,População de Mulheres,dados_santana_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,0.8651683059708771,2000,18.42,Valor
Santana do Araguaia,dados_santana_do_araguaia__populacao_de_mulheres,População de Mulheres,dados_santana_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,0.8651683059708771,2010,27.12,Valor
Santana do Araguaia,dados_santana_do_araguaia__populacao_de_mulheres,População de Mulheres,dados_santana_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,0.8651683059708771,2022,36.42,Valor
Santana do Araguaia,dados_santana_do_araguaia__populacao_de_homens,População de Homens,dados_santana_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,1.2206455344993745,2000,20.222,Valor
Santana do Araguaia,dados_santana_do_araguaia__populacao_de_homens,População de Homens,dados_santana_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,1.2206455344993745,2010,29.033,Valor
Santana do Araguaia,dados_santana_do_araguaia__populacao_de_homens,População de Homens,dados_santana_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,1.2206455344993745,2022,37.999,Valor
Santana do Araguaia,dados_santana_do_araguaia__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_santana_do_araguaia,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.33555200553874914,2000,109.8,Valor
