municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Santarém Novo,dados_santarem_novo__populacao_total,População Total,dados_santarem_novo,Grupo 1 — 4 censos,4,logistic,lbfgs,True,0.15721556741220954,1991,8.412,Valor
Santarém Novo,dados_santarem_novo__populacao_total,População Total,dados_santarem_novo,Grupo 1 — 4 censos,4,logistic,lbfgs,True,0.15721556741220954,2000,7.82,Valor
Santarém Novo,dados_santarem_novo__populacao_total,População Total,dados_santarem_novo,Grupo 1 — 4 censos,4,logistic,lbfgs,True,0.15721556741220954,2010,6.758,Valor
Santarém Novo,dados_santarem_novo__populacao_total,População Total,dados_santarem_novo,Grupo 1 — 4 censos,4,logistic,lbfgs,True,0.15721556741220954,2022,6.116,Valor
Santarém Novo,dados_santarem_novo__populacao_urbana,População Urbana,dados_santarem_novo,Grupo 2 — 3 censos,3,relu,adam,True,0.051330682366533154,2000,3.68,Valor
Santarém Novo,dados_santarem_novo__populacao_urbana,População Urbana,dados_santarem_novo,Grupo 2 — 3 censos,3,relu,adam,True,0.051330682366533154,2010,3.82,Valor
Santarém Novo,dados_santarem_novo__populacao_urbana,População Urbana,dados_santarem_novo,Grupo 2 — 3 censos,3,relu,adam,True,0.051330682366533154,2022,3.88,Valor
Santarém Novo,dados_santarem_novo__populacao_rural,População Rural,dados_santarem_novo,Grupo 2 — 3 censos,3,relu,adam,True,0.33618602679362697,2000,4.14,Valor
Santarém Novo,dados_santarem_novo__populacao_rural,População Rural,dados_santarem_novo,Grupo 2 — 3 censos,3,relu,adam,True,0.33618602679362697,2010,2.938,Valor
Santarém Novo,dados_santarem_novo__populacao_rural,População Rural,dados_santarem_novo,Grupo 2 — 3 censos,3,relu,adam,True,0.33618602679362697,2022,2.236,Valor
Santarém Novo,dados_santarem_novo__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_santarem_novo,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Santarém Novo,dados_santarem_novo__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_santarem_novo,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Santarém Novo,dados_santarem_novo__populacao_de_mulheres,População de Mulheres,dados_santarem_novo,Grupo 2 — 3 censos,3,relu,adam,True,0.1395353132143322,2000,3.78,Valor
Santarém Novo,dados_santarem_novo__populacao_de_mulheres,População de Mulheres,dados_santarem_novo,Grupo 2 — 3 censos,3,relu,adam,True,0.1395353132143322,2010,3.28,Valor
