municipio,indicador_id,indicador_nome,grupo_censo,ano,valor,unidade_medida
Santarém,populacao_total,População Total,4 Censos,1991,265.062,Habitantes
Santarém,populacao_total,População Total,4 Censos,2000,262.538,Habitantes
Santarém,populacao_total,População Total,4 Censos,2010,294.58,Habitantes
Santarém,populacao_total,População Total,4 Censos,2022,331.942,Habitantes
Santarém,rendimento_percapita,Rendimento Mensal per capita,4 Censos,1991,,Rendimento (R$)
Santarém,rendimento_percapita,Rendimento Mensal per capita,4 Censos,2000,,Rendimento (R$)
Santarém,rendimento_percapita,Rendimento Mensal per capita,4 Censos,2010,,Rendimento (R$)
Santarém,rendimento_percapita,Rendimento Mensal per capita,4 Censos,2022,,Rendimento (R$)
Santarém,idhm_educacao,IDHM Educação,3 Censos,1991,,Índice
Santarém,idhm_educacao,IDHM Educação,3 Censos,2000,,Índice
Santarém,idhm_educacao,IDHM Educação,3 Censos,2010,,Índice
Santarém,populacao_urbana,População Urbana,3 Censos,2000,,Habitantes
Santarém,populacao_urbana,População Urbana,3 Censos,2010,,Habitantes
Santarém,populacao_urbana,População Urbana,3 Censos,2022,,Habitantes
Santarém,populacao_rural,População Rural,3 Censos,2000,,Habitantes
Santarém,populacao_rural,População Rural,3 Censos,2010,,Habitantes
Santarém,populacao_rural,População Rural,3 Censos,2022,,Habitantes
Santarém,moradores_por_domicilio,Média de Moradores,2 Censos,2010,,Moradores por Lar
Santarém,moradores_por_domicilio,Média de Moradores,2 Censos,2022,,Moradores por Lar
Santarém,total_domicilios,Total de Domicílios,2 Censos,2010,,Domicílios
Santarém,total_domicilios,Total de Domicílios,2 Censos,2022,70.0,Domicílios
Santarém,populacao_parda,População Parda,2 Censos,2010,,Habitantes
Santarém,populacao_parda,População Parda,2 Censos,2022,,Habitantes
Santarém,populacao_preta,População Preta,2 Censos,2010,,Habitantes
Santarém,populacao_preta,População Preta,2 Censos,2022,,Habitantes
Santarém,populacao_amarela,População Amarela,2 Censos,2010,,Habitantes
Santarém,populacao_amarela,População Amarela,2 Censos,2022,,Habitantes
Santarém,populacao_indigena,População Indígena,2 Censos,2010,,Pessoas
Santarém,populacao_indigena,População Indígena,2 Censos,2022,,Pessoas
