municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_total,População Total,dados_santo_antonio_do_taua,Grupo 1 — 4 censos,4,identity,lbfgs,True,0.15904124602486913,1991,20.12,Valor
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_total,População Total,dados_santo_antonio_do_taua,Grupo 1 — 4 censos,4,identity,lbfgs,True,0.15904124602486913,2000,23.411,Valor
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_total,População Total,dados_santo_antonio_do_taua,Grupo 1 — 4 censos,4,identity,lbfgs,True,0.15904124602486913,2010,26.674,Valor
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_total,População Total,dados_santo_antonio_do_taua,Grupo 1 — 4 censos,4,identity,lbfgs,True,0.15904124602486913,2022,31.086,Valor
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_urbana,População Urbana,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,3,identity,sgd,True,0.36188726029221147,2000,11.82,Valor
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_urbana,População Urbana,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,3,identity,sgd,True,0.36188726029221147,2010,15.24,Valor
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_urbana,População Urbana,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,3,identity,sgd,True,0.36188726029221147,2022,19.82,Valor
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_rural,População Rural,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.015557390752318767,2000,11.591,Valor
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_rural,População Rural,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.015557390752318767,2010,11.434,Valor
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_rural,População Rural,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.015557390752318767,2022,11.266,Valor
Santo Antônio do Tauá,dados_santo_antonio_do_taua__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_santo_antonio_do_taua,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,340.0,Valor
Santo Antônio do Tauá,dados_santo_antonio_do_taua__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_santo_antonio_do_taua,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,820.0,Valor
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_de_mulheres,População de Mulheres,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,3,identity,adam,True,0.39613139859226604,2000,11.42,Valor
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_de_mulheres,População de Mulheres,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,3,identity,adam,True,0.39613139859226604,2010,13.12,Valor
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_de_mulheres,População de Mulheres,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,3,identity,adam,True,0.39613139859226604,2022,15.68,Valor
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_de_homens,População de Homens,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,3,identity,adam,True,0.01754620781735324,2000,11.991,Valor
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_de_homens,População de Homens,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,3,identity,adam,True,0.01754620781735324,2010,13.554,Valor
Santo Antônio do Tauá,dados_santo_antonio_do_taua__populacao_de_homens,População de Homens,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,3,identity,adam,True,0.01754620781735324,2022,15.406,Valor
Santo Antônio do Tauá,dados_santo_antonio_do_taua__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_santo_antonio_do_taua,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.4580441229085987,2000,105.0,Valor
Santo Antônio do Tauá,dados_santo_antonio_do_taua__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_santo_antonio_do_taua,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.4580441229085987,2010,103.3,Valor
Santo Antônio do Tauá,dados_santo_antonio_do_taua__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_santo_antonio_do_taua,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.4580441229085987,2022,98.3,Valor
Santo Antônio do Tauá,dados_santo_antonio_do_taua__idade_mediana,Idade Mediana,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,3,identity,adam,True,1.6750995875190877,2000,21.0,Valor
Santo Antônio do Tauá,dados_santo_antonio_do_taua__idade_mediana,Idade Mediana,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,3,identity,adam,True,1.6750995875190877,2010,25.0,Valor
Santo Antônio do Tauá,dados_santo_antonio_do_taua__idade_mediana,Idade Mediana,dados_santo_antonio_do_taua,Grupo 2 — 3 censos,3,identity,adam,True,1.6750995875190877,2022,32.0,Valor
Santo Antônio do Tauá,dados_santo_antonio_do_taua__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_santo_antonio_do_taua,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.799494063964732,2000,6.2,Valor
