municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Sapucaia,dados_sapucaia__populacao_total,População Total,dados_sapucaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.29839555275281554,2000,4.82,Valor
Sapucaia,dados_sapucaia__populacao_total,População Total,dados_sapucaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.29839555275281554,2010,5.12,Valor
Sapucaia,dados_sapucaia__populacao_total,População Total,dados_sapucaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.29839555275281554,2022,5.94,Valor
Sapucaia,dados_sapucaia__populacao_urbana,População Urbana,dados_sapucaia,Grupo 2 — 3 censos,3,identity,adam,True,0.033330763192858694,2000,2.41,Valor
Sapucaia,dados_sapucaia__populacao_urbana,População Urbana,dados_sapucaia,Grupo 2 — 3 censos,3,identity,adam,True,0.033330763192858694,2010,2.98,Valor
Sapucaia,dados_sapucaia__populacao_urbana,População Urbana,dados_sapucaia,Grupo 2 — 3 censos,3,identity,adam,True,0.033330763192858694,2022,3.62,Valor
Sapucaia,dados_sapucaia__populacao_rural,População Rural,dados_sapucaia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.1498468526839146,2000,2.41,Valor
Sapucaia,dados_sapucaia__populacao_rural,População Rural,dados_sapucaia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.1498468526839146,2010,2.14,Valor
Sapucaia,dados_sapucaia__populacao_rural,População Rural,dados_sapucaia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.1498468526839146,2022,2.32,Valor
Sapucaia,dados_sapucaia__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_sapucaia,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Sapucaia,dados_sapucaia__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_sapucaia,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Sapucaia,dados_sapucaia__populacao_de_mulheres,População de Mulheres,dados_sapucaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.15419563968272318,2000,2.32,Valor
Sapucaia,dados_sapucaia__populacao_de_mulheres,População de Mulheres,dados_sapucaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.15419563968272318,2010,2.46,Valor
Sapucaia,dados_sapucaia__populacao_de_mulheres,População de Mulheres,dados_sapucaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.15419563968272318,2022,2.88,Valor
Sapucaia,dados_sapucaia__populacao_de_homens,População de Homens,dados_sapucaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.14419991307009195,2000,2.5,Valor
Sapucaia,dados_sapucaia__populacao_de_homens,População de Homens,dados_sapucaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.14419991307009195,2010,2.66,Valor
Sapucaia,dados_sapucaia__populacao_de_homens,População de Homens,dados_sapucaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.14419991307009195,2022,3.06,Valor
Sapucaia,dados_sapucaia__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_sapucaia,Grupo 2 — 3 censos,3,logistic,sgd,True,1.1556361363338208,2000,107.8,Valor
Sapucaia,dados_sapucaia__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_sapucaia,Grupo 2 — 3 censos,3,logistic,sgd,True,1.1556361363338208,2010,108.1,Valor
Sapucaia,dados_sapucaia__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_sapucaia,Grupo 2 — 3 censos,3,logistic,sgd,True,1.1556361363338208,2022,106.2,Valor
Sapucaia,dados_sapucaia__idade_mediana,Idade Mediana,dados_sapucaia,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2000,20.0,Valor
Sapucaia,dados_sapucaia__idade_mediana,Idade Mediana,dados_sapucaia,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2010,24.0,Valor
Sapucaia,dados_sapucaia__idade_mediana,Idade Mediana,dados_sapucaia,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2022,30.0,Valor
Sapucaia,dados_sapucaia__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_sapucaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.337153154056885,2000,6.0,Valor
Sapucaia,dados_sapucaia__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_sapucaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.337153154056885,2010,11.5,Valor
Sapucaia,dados_sapucaia__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_sapucaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.337153154056885,2022,26.2,Valor
Sapucaia,dados_sapucaia__populacao_parda,População Parda,dados_sapucaia,Grupo 2 — 3 censos,3,identity,adam,True,0.213165755296972,2000,3.62,Valor
Sapucaia,dados_sapucaia__populacao_parda,População Parda,dados_sapucaia,Grupo 2 — 3 censos,3,identity,adam,True,0.213165755296972,2010,4.02,Valor
Sapucaia,dados_sapucaia__populacao_parda,População Parda,dados_sapucaia,Grupo 2 — 3 censos,3,identity,adam,True,0.213165755296972,2022,4.78,Valor
Sapucaia,dados_sapucaia__populacao_branca,População Branca,dados_sapucaia,Grupo 2 — 3 censos,3,tanh,adam,True,26.561026772779655,2000,880.0,Valor
Sapucaia,dados_sapucaia__populacao_branca,População Branca,dados_sapucaia,Grupo 2 — 3 censos,3,tanh,adam,True,26.561026772779655,2010,820.0,Valor
Sapucaia,dados_sapucaia__populacao_branca,População Branca,dados_sapucaia,Grupo 2 — 3 censos,3,tanh,adam,True,26.561026772779655,2022,810.0,Valor
Sapucaia,dados_sapucaia__populacao_preta,População Preta,dados_sapucaia,Grupo 2 — 3 censos,3,tanh,adam,True,45.30255374870248,2000,220.0,Valor
Sapucaia,dados_sapucaia__populacao_preta,População Preta,dados_sapucaia,Grupo 2 — 3 censos,3,tanh,adam,True,45.30255374870248,2010,210.0,Valor
Sapucaia,dados_sapucaia__populacao_preta,População Preta,dados_sapucaia,Grupo 2 — 3 censos,3,tanh,adam,True,45.30255374870248,2022,290.0,Valor
Sapucaia,dados_sapucaia__populacao_amarela,População Amarela,dados_sapucaia,Grupo 2 — 3 censos,3,relu,adam,True,6.560413768715466,2000,40.0,Valor
Sapucaia,dados_sapucaia__populacao_amarela,População Amarela,dados_sapucaia,Grupo 2 — 3 censos,3,relu,adam,True,6.560413768715466,2010,20.0,Valor
Sapucaia,dados_sapucaia__populacao_amarela,População Amarela,dados_sapucaia,Grupo 2 — 3 censos,3,relu,adam,True,6.560413768715466,2022,10.0,Valor
Sapucaia,dados_sapucaia__populacao_indigena,População Indígena,dados_sapucaia,Grupo 2 — 3 censos,3,tanh,adam,True,19.700513895827836,2000,10.0,Valor
Sapucaia,dados_sapucaia__populacao_indigena,População Indígena,dados_sapucaia,Grupo 2 — 3 censos,3,tanh,adam,True,19.700513895827836,2010,10.0,Valor
Sapucaia,dados_sapucaia__populacao_indigena,População Indígena,dados_sapucaia,Grupo 2 — 3 censos,3,tanh,adam,True,19.700513895827836,2022,50.0,Valor
Sapucaia,dados_sapucaia__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_sapucaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,178.73419173020775,2000,105.0,Valor
Sapucaia,dados_sapucaia__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_sapucaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,178.73419173020775,2010,280.0,Valor
Sapucaia,dados_sapucaia__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_sapucaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,178.73419173020775,2022,770.0,Valor
Sapucaia,dados_sapucaia__apenas_1_trabalho,Apenas 1 trabalho,dados_sapucaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6840058871107288,2000,96.8,Valor
Sapucaia,dados_sapucaia__apenas_1_trabalho,Apenas 1 trabalho,dados_sapucaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6840058871107288,2010,96.5,Valor
Sapucaia,dados_sapucaia__apenas_1_trabalho,Apenas 1 trabalho,dados_sapucaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6840058871107288,2022,94.7,Valor
Sapucaia,dados_sapucaia__2_trabalhos,2 trabalhos,dados_sapucaia,Grupo 2 — 3 censos,3,relu,sgd,True,0.7336134449745586,2000,2.9,Valor
Sapucaia,dados_sapucaia__2_trabalhos,2 trabalhos,dados_sapucaia,Grupo 2 — 3 censos,3,relu,sgd,True,0.7336134449745586,2010,3.1,Valor
Sapucaia,dados_sapucaia__2_trabalhos,2 trabalhos,dados_sapucaia,Grupo 2 — 3 censos,3,relu,sgd,True,0.7336134449745586,2022,4.7,Valor
Sapucaia,dados_sapucaia__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_sapucaia,Grupo 2 — 3 censos,3,identity,adam,True,0.06090073824841976,2000,0.3,Valor
Sapucaia,dados_sapucaia__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_sapucaia,Grupo 2 — 3 censos,3,identity,adam,True,0.06090073824841976,2010,0.4,Valor
Sapucaia,dados_sapucaia__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_sapucaia,Grupo 2 — 3 censos,3,identity,adam,True,0.06090073824841976,2022,0.6,Valor
Sapucaia,dados_sapucaia__setor_privado,Setor privado,dados_sapucaia,Grupo 2 — 3 censos,3,logistic,sgd,True,375.6686860553991,2000,420.0,Valor
Sapucaia,dados_sapucaia__setor_privado,Setor privado,dados_sapucaia,Grupo 2 — 3 censos,3,logistic,sgd,True,375.6686860553991,2010,720.0,Valor
Sapucaia,dados_sapucaia__setor_privado,Setor privado,dados_sapucaia,Grupo 2 — 3 censos,3,logistic,sgd,True,375.6686860553991,2022,1.12,Valor
Sapucaia,dados_sapucaia__conta_propria,Conta própria,dados_sapucaia,Grupo 2 — 3 censos,3,identity,adam,True,30.384511986701188,2000,580.0,Valor
Sapucaia,dados_sapucaia__conta_propria,Conta própria,dados_sapucaia,Grupo 2 — 3 censos,3,identity,adam,True,30.384511986701188,2010,780.0,Valor
Sapucaia,dados_sapucaia__conta_propria,Conta própria,dados_sapucaia,Grupo 2 — 3 censos,3,identity,adam,True,30.384511986701188,2022,980.0,Valor
Sapucaia,dados_sapucaia__setor_publico,Setor público,dados_sapucaia,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.009038179016386039,2000,210.0,Valor
Sapucaia,dados_sapucaia__setor_publico,Setor público,dados_sapucaia,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.009038179016386039,2010,360.0,Valor
Sapucaia,dados_sapucaia__setor_publico,Setor público,dados_sapucaia,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.009038179016386039,2022,540.0,Valor
Sapucaia,dados_sapucaia__trabalhador_domestico,Trabalhador doméstico,dados_sapucaia,Grupo 2 — 3 censos,3,identity,adam,True,6.076902397340234,2000,80.0,Valor
Sapucaia,dados_sapucaia__trabalhador_domestico,Trabalhador doméstico,dados_sapucaia,Grupo 2 — 3 censos,3,identity,adam,True,6.076902397340234,2010,120.0,Valor
Sapucaia,dados_sapucaia__trabalhador_domestico,Trabalhador doméstico,dados_sapucaia,Grupo 2 — 3 censos,3,identity,adam,True,6.076902397340234,2022,160.0,Valor
Sapucaia,dados_sapucaia__empregador,Empregador,dados_sapucaia,Grupo 2 — 3 censos,3,identity,adam,True,4.570848225506921,2000,30.0,Valor
Sapucaia,dados_sapucaia__empregador,Empregador,dados_sapucaia,Grupo 2 — 3 censos,3,identity,adam,True,4.570848225506921,2010,50.0,Valor
Sapucaia,dados_sapucaia__empregador,Empregador,dados_sapucaia,Grupo 2 — 3 censos,3,identity,adam,True,4.570848225506921,2022,80.0,Valor
Sapucaia,dados_sapucaia__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_sapucaia,Grupo 2 — 3 censos,3,relu,adam,True,27.520013774964486,2000,240.0,Valor
