municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Senador José Porfírio,dados_senador_jose_porfirio__populacao_total,População Total,dados_senador_jose_porfirio,Grupo 1 — 4 censos,4,logistic,sgd,True,4.339840704525232,1991,13.412,Valor
Senador José Porfírio,dados_senador_jose_porfirio__populacao_total,População Total,dados_senador_jose_porfirio,Grupo 1 — 4 censos,4,logistic,sgd,True,4.339840704525232,2000,16.82,Valor
Senador José Porfírio,dados_senador_jose_porfirio__populacao_total,População Total,dados_senador_jose_porfirio,Grupo 1 — 4 censos,4,logistic,sgd,True,4.339840704525232,2010,13.007,Valor
Senador José Porfírio,dados_senador_jose_porfirio__populacao_total,População Total,dados_senador_jose_porfirio,Grupo 1 — 4 censos,4,logistic,sgd,True,4.339840704525232,2022,22.576,Valor
Senador José Porfírio,dados_senador_jose_porfirio__populacao_urbana,População Urbana,dados_senador_jose_porfirio,Grupo 2 — 3 censos,3,relu,sgd,True,1.1105104742311174,2000,5.12,Valor
Senador José Porfírio,dados_senador_jose_porfirio__populacao_urbana,População Urbana,dados_senador_jose_porfirio,Grupo 2 — 3 censos,3,relu,sgd,True,1.1105104742311174,2010,5.412,Valor
Senador José Porfírio,dados_senador_jose_porfirio__populacao_urbana,População Urbana,dados_senador_jose_porfirio,Grupo 2 — 3 censos,3,relu,sgd,True,1.1105104742311174,2022,7.82,Valor
Senador José Porfírio,dados_senador_jose_porfirio__populacao_rural,População Rural,dados_senador_jose_porfirio,Grupo 2 — 3 censos,3,logistic,sgd,True,3.742297289789294,2000,11.7,Valor
Senador José Porfírio,dados_senador_jose_porfirio__populacao_rural,População Rural,dados_senador_jose_porfirio,Grupo 2 — 3 censos,3,logistic,sgd,True,3.742297289789294,2010,7.595,Valor
Senador José Porfírio,dados_senador_jose_porfirio__populacao_rural,População Rural,dados_senador_jose_porfirio,Grupo 2 — 3 censos,3,logistic,sgd,True,3.742297289789294,2022,14.756,Valor
Senador José Porfírio,dados_senador_jose_porfirio__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_senador_jose_porfirio,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Senador José Porfírio,dados_senador_jose_porfirio__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_senador_jose_porfirio,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Senador José Porfírio,dados_senador_jose_porfirio__populacao_de_mulheres,População de Mulheres,dados_senador_jose_porfirio,Grupo 2 — 3 censos,3,logistic,sgd,True,2.5199683520928446,2000,7.92,Valor
Senador José Porfírio,dados_senador_jose_porfirio__populacao_de_mulheres,População de Mulheres,dados_senador_jose_porfirio,Grupo 2 — 3 censos,3,logistic,sgd,True,2.5199683520928446,2010,6.24,Valor
Senador José Porfírio,dados_senador_jose_porfirio__populacao_de_mulheres,População de Mulheres,dados_senador_jose_porfirio,Grupo 2 — 3 censos,3,logistic,sgd,True,2.5199683520928446,2022,10.82,Valor
Senador José Porfírio,dados_senador_jose_porfirio__populacao_de_homens,População de Homens,dados_senador_jose_porfirio,Grupo 2 — 3 censos,3,logistic,sgd,True,2.643572527813254,2000,8.9,Valor
Senador José Porfírio,dados_senador_jose_porfirio__populacao_de_homens,População de Homens,dados_senador_jose_porfirio,Grupo 2 — 3 censos,3,logistic,sgd,True,2.643572527813254,2010,6.767,Valor
Senador José Porfírio,dados_senador_jose_porfirio__populacao_de_homens,População de Homens,dados_senador_jose_porfirio,Grupo 2 — 3 censos,3,logistic,sgd,True,2.643572527813254,2022,11.756,Valor
Senador José Porfírio,dados_senador_jose_porfirio__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_senador_jose_porfirio,Grupo 2 — 3 censos,3,tanh,adam,True,2.309360390819061,2000,112.4,Valor
Senador José Porfírio,dados_senador_jose_porfirio__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_senador_jose_porfirio,Grupo 2 — 3 censos,3,tanh,adam,True,2.309360390819061,2010,108.4,Valor
Senador José Porfírio,dados_senador_jose_porfirio__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_senador_jose_porfirio,Grupo 2 — 3 censos,3,tanh,adam,True,2.309360390819061,2022,108.6,Valor
Senador José Porfírio,dados_senador_jose_porfirio__idade_mediana,Idade Mediana,dados_senador_jose_porfirio,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.5036004004471324,2000,18.0,Valor
Senador José Porfírio,dados_senador_jose_porfirio__idade_mediana,Idade Mediana,dados_senador_jose_porfirio,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.5036004004471324,2010,21.0,Valor
Senador José Porfírio,dados_senador_jose_porfirio__idade_mediana,Idade Mediana,dados_senador_jose_porfirio,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.5036004004471324,2022,28.0,Valor
Senador José Porfírio,dados_senador_jose_porfirio__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_senador_jose_porfirio,Grupo 2 — 3 censos,3,relu,lbfgs,True,6.970724685793008,2000,5.4,Valor
Senador José Porfírio,dados_senador_jose_porfirio__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_senador_jose_porfirio,Grupo 2 — 3 censos,3,relu,lbfgs,True,6.970724685793008,2010,8.6,Valor
Senador José Porfírio,dados_senador_jose_porfirio__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_senador_jose_porfirio,Grupo 2 — 3 censos,3,relu,lbfgs,True,6.970724685793008,2022,25.2,Valor
Senador José Porfírio,dados_senador_jose_porfirio__populacao_parda,População Parda,dados_senador_jose_porfirio,Grupo 2 — 3 censos,3,logistic,sgd,True,4.236743972747296,2000,12.14,Valor
Senador José Porfírio,dados_senador_jose_porfirio__populacao_parda,População Parda,dados_senador_jose_porfirio,Grupo 2 — 3 censos,3,logistic,sgd,True,4.236743972747296,2010,10.12,Valor
Senador José Porfírio,dados_senador_jose_porfirio__populacao_parda,População Parda,dados_senador_jose_porfirio,Grupo 2 — 3 censos,3,logistic,sgd,True,4.236743972747296,2022,17.42,Valor
