municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
São Caetano de Odivelas,dados_sao_caetano_de_odivelas__populacao_total,População Total,dados_sao_caetano_de_odivelas,Grupo 1 — 4 censos,4,logistic,adam,True,0.612667554938743,1991,13.42,Valor
São Caetano de Odivelas,dados_sao_caetano_de_odivelas__populacao_total,População Total,dados_sao_caetano_de_odivelas,Grupo 1 — 4 censos,4,logistic,adam,True,0.612667554938743,2000,15.18,Valor
São Caetano de Odivelas,dados_sao_caetano_de_odivelas__populacao_total,População Total,dados_sao_caetano_de_odivelas,Grupo 1 — 4 censos,4,logistic,adam,True,0.612667554938743,2010,16.891,Valor
São Caetano de Odivelas,dados_sao_caetano_de_odivelas__populacao_total,População Total,dados_sao_caetano_de_odivelas,Grupo 1 — 4 censos,4,logistic,adam,True,0.612667554938743,2022,16.841,Valor
São Caetano de Odivelas,dados_sao_caetano_de_odivelas__populacao_urbana,População Urbana,dados_sao_caetano_de_odivelas,Grupo 2 — 3 censos,3,logistic,adam,True,0.731718401973844,2000,9.21,Valor
São Caetano de Odivelas,dados_sao_caetano_de_odivelas__populacao_urbana,População Urbana,dados_sao_caetano_de_odivelas,Grupo 2 — 3 censos,3,logistic,adam,True,0.731718401973844,2010,10.82,Valor
São Caetano de Odivelas,dados_sao_caetano_de_odivelas__populacao_urbana,População Urbana,dados_sao_caetano_de_odivelas,Grupo 2 — 3 censos,3,logistic,adam,True,0.731718401973844,2022,11.24,Valor
São Caetano de Odivelas,dados_sao_caetano_de_odivelas__populacao_rural,População Rural,dados_sao_caetano_de_odivelas,Grupo 2 — 3 censos,3,logistic,sgd,True,0.2770226481893892,2000,5.97,Valor
São Caetano de Odivelas,dados_sao_caetano_de_odivelas__populacao_rural,População Rural,dados_sao_caetano_de_odivelas,Grupo 2 — 3 censos,3,logistic,sgd,True,0.2770226481893892,2010,6.071,Valor
São Caetano de Odivelas,dados_sao_caetano_de_odivelas__populacao_rural,População Rural,dados_sao_caetano_de_odivelas,Grupo 2 — 3 censos,3,logistic,sgd,True,0.2770226481893892,2022,5.601,Valor
São Caetano de Odivelas,dados_sao_caetano_de_odivelas__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_sao_caetano_de_odivelas,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
São Caetano de Odivelas,dados_sao_caetano_de_odivelas__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_sao_caetano_de_odivelas,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
