municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__populacao_total,População Total,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,1.2596093719196126,2000,21.42,Valor
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__populacao_total,População Total,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,1.2596093719196126,2010,23.13,Valor
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__populacao_total,População Total,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,1.2596093719196126,2022,21.092,Valor
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__populacao_urbana,População Urbana,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,0.6598496929274814,2000,10.82,Valor
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__populacao_urbana,População Urbana,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,0.6598496929274814,2010,13.24,Valor
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__populacao_urbana,População Urbana,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,0.6598496929274814,2022,15.276,Valor
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__populacao_rural,População Rural,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.5185369513283993,2000,10.6,Valor
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__populacao_rural,População Rural,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.5185369513283993,2010,9.89,Valor
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__populacao_rural,População Rural,dados_sao_domingos_do_araguaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.5185369513283993,2022,5.816,Valor
São Domingos do Araguaia,dados_sao_domingos_do_araguaia__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_sao_domingos_do_araguaia,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
