municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
São Francisco do Pará,dados_sao_francisco_do_para__populacao_total,População Total,dados_sao_francisco_do_para,Grupo 1 — 4 censos,4,tanh,sgd,True,0.5683734202106558,1991,11.12,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_total,População Total,dados_sao_francisco_do_para,Grupo 1 — 4 censos,4,tanh,sgd,True,0.5683734202106558,2000,12.38,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_total,População Total,dados_sao_francisco_do_para,Grupo 1 — 4 censos,4,tanh,sgd,True,0.5683734202106558,2010,15.06,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_total,População Total,dados_sao_francisco_do_para,Grupo 1 — 4 censos,4,tanh,sgd,True,0.5683734202106558,2022,15.08,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_urbana,População Urbana,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,logistic,adam,True,0.8842360131849366,2000,6.12,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_urbana,População Urbana,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,logistic,adam,True,0.8842360131849366,2010,8.24,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_urbana,População Urbana,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,logistic,adam,True,0.8842360131849366,2022,8.92,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_rural,População Rural,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,0.4100141749685052,2000,6.26,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_rural,População Rural,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,0.4100141749685052,2010,6.82,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_rural,População Rural,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,0.4100141749685052,2022,6.16,Valor
São Francisco do Pará,dados_sao_francisco_do_para__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_sao_francisco_do_para,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
São Francisco do Pará,dados_sao_francisco_do_para__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_sao_francisco_do_para,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_de_mulheres,População de Mulheres,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.6897537443657994,2000,6.08,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_de_mulheres,População de Mulheres,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.6897537443657994,2010,7.42,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_de_mulheres,População de Mulheres,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.6897537443657994,2022,7.51,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_de_homens,População de Homens,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.7823793723107441,2000,6.3,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_de_homens,População de Homens,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.7823793723107441,2010,7.64,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_de_homens,População de Homens,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.7823793723107441,2022,7.57,Valor
São Francisco do Pará,dados_sao_francisco_do_para__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6841715612357149,2000,103.6,Valor
São Francisco do Pará,dados_sao_francisco_do_para__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6841715612357149,2010,103.0,Valor
São Francisco do Pará,dados_sao_francisco_do_para__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6841715612357149,2022,100.8,Valor
São Francisco do Pará,dados_sao_francisco_do_para__idade_mediana,Idade Mediana,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,identity,adam,True,1.6750995875190877,2000,22.0,Valor
São Francisco do Pará,dados_sao_francisco_do_para__idade_mediana,Idade Mediana,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,identity,adam,True,1.6750995875190877,2010,26.0,Valor
São Francisco do Pará,dados_sao_francisco_do_para__idade_mediana,Idade Mediana,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,identity,adam,True,1.6750995875190877,2022,33.0,Valor
São Francisco do Pará,dados_sao_francisco_do_para__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.329150685817001,2000,12.8,Valor
São Francisco do Pará,dados_sao_francisco_do_para__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.329150685817001,2010,19.2,Valor
São Francisco do Pará,dados_sao_francisco_do_para__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.329150685817001,2022,39.1,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_parda,População Parda,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.1143360455197306,2000,8.84,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_parda,População Parda,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.1143360455197306,2010,11.12,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_parda,População Parda,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.1143360455197306,2022,11.38,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_branca,População Branca,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,0.18805057121516797,2000,2.58,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_branca,População Branca,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,0.18805057121516797,2010,2.88,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_branca,População Branca,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,logistic,sgd,True,0.18805057121516797,2022,2.62,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_preta,População Preta,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,tanh,lbfgs,True,49.65286719453476,2000,880.0,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_preta,População Preta,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,tanh,lbfgs,True,49.65286719453476,2010,980.0,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_preta,População Preta,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,tanh,lbfgs,True,49.65286719453476,2022,990.0,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_amarela,População Amarela,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,relu,lbfgs,True,8.805875747121746,2000,60.0,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_amarela,População Amarela,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,relu,lbfgs,True,8.805875747121746,2010,50.0,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_amarela,População Amarela,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,relu,lbfgs,True,8.805875747121746,2022,20.0,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_indigena,População Indígena,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,relu,lbfgs,True,15.043073447306403,2000,20.0,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_indigena,População Indígena,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,relu,lbfgs,True,15.043073447306403,2010,30.0,Valor
São Francisco do Pará,dados_sao_francisco_do_para__populacao_indigena,População Indígena,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,relu,lbfgs,True,15.043073447306403,2022,70.0,Valor
São Francisco do Pará,dados_sao_francisco_do_para__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_sao_francisco_do_para,Grupo 2 — 3 censos,3,relu,lbfgs,True,192.87467619184636,2000,118.2,Valor
