municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__populacao_total,População Total,dados_sao_geraldo_do_araguaia,Grupo 1 — 4 censos,4,identity,lbfgs,True,1.5504177793066765,1991,27.182,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__populacao_total,População Total,dados_sao_geraldo_do_araguaia,Grupo 1 — 4 censos,4,identity,lbfgs,True,1.5504177793066765,2000,28.412,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__populacao_total,População Total,dados_sao_geraldo_do_araguaia,Grupo 1 — 4 censos,4,identity,lbfgs,True,1.5504177793066765,2010,24.704,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__populacao_total,População Total,dados_sao_geraldo_do_araguaia,Grupo 1 — 4 censos,4,identity,lbfgs,True,1.5504177793066765,2022,24.261,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__populacao_urbana,População Urbana,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,3,logistic,adam,True,1.1182735665780097,2000,11.24,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__populacao_urbana,População Urbana,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,3,logistic,adam,True,1.1182735665780097,2010,13.82,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__populacao_urbana,População Urbana,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,3,logistic,adam,True,1.1182735665780097,2022,14.58,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__populacao_rural,População Rural,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,3,tanh,adam,True,2.682788335291962,2000,17.172,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__populacao_rural,População Rural,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,3,tanh,adam,True,2.682788335291962,2010,10.884,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__populacao_rural,População Rural,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,3,tanh,adam,True,2.682788335291962,2022,9.681,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_sao_geraldo_do_araguaia,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_sao_geraldo_do_araguaia,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__populacao_de_mulheres,População de Mulheres,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,3,tanh,adam,True,0.7475807947080716,2000,13.62,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__populacao_de_mulheres,População de Mulheres,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,3,tanh,adam,True,0.7475807947080716,2010,12.11,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__populacao_de_mulheres,População de Mulheres,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,3,tanh,adam,True,0.7475807947080716,2022,11.98,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__populacao_de_homens,População de Homens,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,3,tanh,adam,True,1.0077053200863861,2000,14.792,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__populacao_de_homens,População de Homens,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,3,tanh,adam,True,1.0077053200863861,2010,12.594,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__populacao_de_homens,População de Homens,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,3,tanh,adam,True,1.0077053200863861,2022,12.281,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,3,tanh,sgd,True,1.8818415057142677,2000,108.6,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,3,tanh,sgd,True,1.8818415057142677,2010,104.0,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,3,tanh,sgd,True,1.8818415057142677,2022,102.5,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__idade_mediana,Idade Mediana,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,1.5231770275855823,2000,19.0,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__idade_mediana,Idade Mediana,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,1.5231770275855823,2010,24.0,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__idade_mediana,Idade Mediana,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,1.5231770275855823,2022,32.0,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,3,relu,sgd,True,10.30526175538742,2000,5.2,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,3,relu,sgd,True,10.30526175538742,2010,9.8,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,3,relu,sgd,True,10.30526175538742,2022,34.2,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__populacao_parda,População Parda,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,3,tanh,adam,True,1.491178861502939,2000,19.24,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__populacao_parda,População Parda,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,3,tanh,adam,True,1.491178861502939,2010,16.82,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__populacao_parda,População Parda,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,3,tanh,adam,True,1.491178861502939,2022,17.12,Valor
São Geraldo do Araguaia,dados_sao_geraldo_do_araguaia__populacao_branca,População Branca,dados_sao_geraldo_do_araguaia,Grupo 2 — 3 censos,3,tanh,adam,True,0.5992252868813285,2000,6.82,Valor
