municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
São João da Ponta,dados_sao_joao_da_ponta__populacao_total,População Total,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,logistic,sgd,True,0.12658074172783143,2000,5.42,Valor
São João da Ponta,dados_sao_joao_da_ponta__populacao_total,População Total,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,logistic,sgd,True,0.12658074172783143,2010,5.642,Valor
São João da Ponta,dados_sao_joao_da_ponta__populacao_total,População Total,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,logistic,sgd,True,0.12658074172783143,2022,5.579,Valor
São João da Ponta,dados_sao_joao_da_ponta__populacao_urbana,População Urbana,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,identity,adam,True,0.0972831240674507,2000,2.98,Valor
São João da Ponta,dados_sao_joao_da_ponta__populacao_urbana,População Urbana,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,identity,adam,True,0.0972831240674507,2010,3.42,Valor
São João da Ponta,dados_sao_joao_da_ponta__populacao_urbana,População Urbana,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,identity,adam,True,0.0972831240674507,2022,3.82,Valor
São João da Ponta,dados_sao_joao_da_ponta__populacao_rural,População Rural,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.11756451095224096,2000,2.44,Valor
São João da Ponta,dados_sao_joao_da_ponta__populacao_rural,População Rural,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.11756451095224096,2010,2.222,Valor
São João da Ponta,dados_sao_joao_da_ponta__populacao_rural,População Rural,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.11756451095224096,2022,1.759,Valor
São João da Ponta,dados_sao_joao_da_ponta__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_sao_joao_da_ponta,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
São João da Ponta,dados_sao_joao_da_ponta__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_sao_joao_da_ponta,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
São João da Ponta,dados_sao_joao_da_ponta__populacao_de_mulheres,População de Mulheres,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,logistic,sgd,True,0.08626356435968645,2000,2.64,Valor
São João da Ponta,dados_sao_joao_da_ponta__populacao_de_mulheres,População de Mulheres,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,logistic,sgd,True,0.08626356435968645,2010,2.78,Valor
São João da Ponta,dados_sao_joao_da_ponta__populacao_de_mulheres,População de Mulheres,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,logistic,sgd,True,0.08626356435968645,2022,2.76,Valor
São João da Ponta,dados_sao_joao_da_ponta__populacao_de_homens,População de Homens,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,logistic,sgd,True,0.04184761784822907,2000,2.78,Valor
São João da Ponta,dados_sao_joao_da_ponta__populacao_de_homens,População de Homens,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,logistic,sgd,True,0.04184761784822907,2010,2.862,Valor
São João da Ponta,dados_sao_joao_da_ponta__populacao_de_homens,População de Homens,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,logistic,sgd,True,0.04184761784822907,2022,2.819,Valor
São João da Ponta,dados_sao_joao_da_ponta__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,relu,adam,True,0.9307904717664902,2000,105.3,Valor
São João da Ponta,dados_sao_joao_da_ponta__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,relu,adam,True,0.9307904717664902,2010,103.0,Valor
São João da Ponta,dados_sao_joao_da_ponta__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,relu,adam,True,0.9307904717664902,2022,102.1,Valor
São João da Ponta,dados_sao_joao_da_ponta__idade_mediana,Idade Mediana,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,identity,adam,True,0.7622470851678784,2000,21.0,Valor
São João da Ponta,dados_sao_joao_da_ponta__idade_mediana,Idade Mediana,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,identity,adam,True,0.7622470851678784,2010,26.0,Valor
São João da Ponta,dados_sao_joao_da_ponta__idade_mediana,Idade Mediana,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,identity,adam,True,0.7622470851678784,2022,33.0,Valor
São João da Ponta,dados_sao_joao_da_ponta__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,relu,lbfgs,True,8.230166705140606,2000,7.5,Valor
São João da Ponta,dados_sao_joao_da_ponta__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,relu,lbfgs,True,8.230166705140606,2010,14.5,Valor
São João da Ponta,dados_sao_joao_da_ponta__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,relu,lbfgs,True,8.230166705140606,2022,36.8,Valor
São João da Ponta,dados_sao_joao_da_ponta__populacao_parda,População Parda,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,logistic,sgd,True,0.11950448542980958,2000,4.12,Valor
São João da Ponta,dados_sao_joao_da_ponta__populacao_parda,População Parda,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,logistic,sgd,True,0.11950448542980958,2010,4.32,Valor
São João da Ponta,dados_sao_joao_da_ponta__populacao_parda,População Parda,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,logistic,sgd,True,0.11950448542980958,2022,4.28,Valor
São João da Ponta,dados_sao_joao_da_ponta__populacao_branca,População Branca,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,relu,adam,True,19.22530475568495,2000,980.0,Valor
São João da Ponta,dados_sao_joao_da_ponta__populacao_branca,População Branca,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,relu,adam,True,19.22530475568495,2010,910.0,Valor
São João da Ponta,dados_sao_joao_da_ponta__populacao_branca,População Branca,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,relu,adam,True,19.22530475568495,2022,860.0,Valor
São João da Ponta,dados_sao_joao_da_ponta__populacao_preta,População Preta,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,identity,adam,True,24.36029529936791,2000,240.0,Valor
São João da Ponta,dados_sao_joao_da_ponta__populacao_preta,População Preta,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,identity,adam,True,24.36029529936791,2010,280.0,Valor
São João da Ponta,dados_sao_joao_da_ponta__populacao_preta,População Preta,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,identity,adam,True,24.36029529936791,2022,360.0,Valor
São João da Ponta,dados_sao_joao_da_ponta__populacao_amarela,População Amarela,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,tanh,sgd,True,8.202217527049237,2000,35.0,Valor
São João da Ponta,dados_sao_joao_da_ponta__populacao_amarela,População Amarela,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,tanh,sgd,True,8.202217527049237,2010,15.0,Valor
São João da Ponta,dados_sao_joao_da_ponta__populacao_amarela,População Amarela,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,tanh,sgd,True,8.202217527049237,2022,8.0,Valor
São João da Ponta,dados_sao_joao_da_ponta__populacao_indigena,População Indígena,dados_sao_joao_da_ponta,Grupo 2 — 3 censos,3,relu,sgd,True,5.693015926068026,2000,10.0,Valor
