municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
São João de Pirabas,dados_sao_joao_de_pirabas__populacao_total,População Total,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.9423538753956275,2000,17.21,Valor
São João de Pirabas,dados_sao_joao_de_pirabas__populacao_total,População Total,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.9423538753956275,2010,20.647,Valor
São João de Pirabas,dados_sao_joao_de_pirabas__populacao_total,População Total,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.9423538753956275,2022,20.573,Valor
São João de Pirabas,dados_sao_joao_de_pirabas__populacao_urbana,População Urbana,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.608324446922398,2000,10.42,Valor
São João de Pirabas,dados_sao_joao_de_pirabas__populacao_urbana,População Urbana,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.608324446922398,2010,13.82,Valor
São João de Pirabas,dados_sao_joao_de_pirabas__populacao_urbana,População Urbana,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.608324446922398,2022,14.58,Valor
São João de Pirabas,dados_sao_joao_de_pirabas__populacao_rural,População Rural,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.4787028146659245,2000,6.79,Valor
São João de Pirabas,dados_sao_joao_de_pirabas__populacao_rural,População Rural,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.4787028146659245,2010,6.827,Valor
São João de Pirabas,dados_sao_joao_de_pirabas__populacao_rural,População Rural,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.4787028146659245,2022,5.993,Valor
São João de Pirabas,dados_sao_joao_de_pirabas__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_sao_joao_de_pirabas,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
São João de Pirabas,dados_sao_joao_de_pirabas__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_sao_joao_de_pirabas,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
São João de Pirabas,dados_sao_joao_de_pirabas__populacao_de_mulheres,População de Mulheres,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.9659650939238021,2000,8.42,Valor
São João de Pirabas,dados_sao_joao_de_pirabas__populacao_de_mulheres,População de Mulheres,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.9659650939238021,2010,10.18,Valor
São João de Pirabas,dados_sao_joao_de_pirabas__populacao_de_mulheres,População de Mulheres,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.9659650939238021,2022,10.19,Valor
São João de Pirabas,dados_sao_joao_de_pirabas__populacao_de_homens,População de Homens,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.9769429236670634,2000,8.79,Valor
São João de Pirabas,dados_sao_joao_de_pirabas__populacao_de_homens,População de Homens,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.9769429236670634,2010,10.467,Valor
São João de Pirabas,dados_sao_joao_de_pirabas__populacao_de_homens,População de Homens,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.9769429236670634,2022,10.383,Valor
São João de Pirabas,dados_sao_joao_de_pirabas__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,3,relu,adam,True,0.45429594615155605,2000,104.4,Valor
São João de Pirabas,dados_sao_joao_de_pirabas__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,3,relu,adam,True,0.45429594615155605,2010,102.8,Valor
São João de Pirabas,dados_sao_joao_de_pirabas__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,3,relu,adam,True,0.45429594615155605,2022,101.9,Valor
São João de Pirabas,dados_sao_joao_de_pirabas__idade_mediana,Idade Mediana,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,3,identity,adam,True,2.4360295299367913,2000,19.0,Valor
São João de Pirabas,dados_sao_joao_de_pirabas__idade_mediana,Idade Mediana,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,3,identity,adam,True,2.4360295299367913,2010,23.0,Valor
São João de Pirabas,dados_sao_joao_de_pirabas__idade_mediana,Idade Mediana,dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,3,identity,adam,True,2.4360295299367913,2022,31.0,Valor
São João de Pirabas,dados_sao_joao_de_pirabas__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_sao_joao_de_pirabas,Grupo 2 — 3 censos,3,relu,sgd,True,9.268129515733134,2000,5.2,Valor
