municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_total,População Total,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,relu,adam,True,0.9057861848223047,2000,10.82,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_total,População Total,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,relu,adam,True,0.9057861848223047,2010,13.155,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_total,População Total,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,relu,adam,True,0.9057861848223047,2022,14.084,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_urbana,População Urbana,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,0.5321241025923221,2000,4.12,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_urbana,População Urbana,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,0.5321241025923221,2010,6.12,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_urbana,População Urbana,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,0.5321241025923221,2022,7.82,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_rural,População Rural,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.3985306277609257,2000,6.7,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_rural,População Rural,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.3985306277609257,2010,7.035,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_rural,População Rural,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.3985306277609257,2022,6.264,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_sao_joao_do_araguaia,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_sao_joao_do_araguaia,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_de_mulheres,População de Mulheres,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,relu,adam,True,0.4083191212554655,2000,5.08,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_de_mulheres,População de Mulheres,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,relu,adam,True,0.4083191212554655,2010,6.28,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_de_mulheres,População de Mulheres,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,relu,adam,True,0.4083191212554655,2022,6.84,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_de_homens,População de Homens,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,logistic,adam,True,0.47031338911494,2000,5.74,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_de_homens,População de Homens,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,logistic,adam,True,0.47031338911494,2010,6.875,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_de_homens,População de Homens,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,logistic,adam,True,0.47031338911494,2022,7.244,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.45757103329270876,2000,113.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.45757103329270876,2010,109.5,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.45757103329270876,2022,105.9,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__idade_mediana,Idade Mediana,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2000,21.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__idade_mediana,Idade Mediana,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2010,25.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__idade_mediana,Idade Mediana,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2022,31.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.048943528353068,2000,6.8,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.048943528353068,2010,13.2,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.048943528353068,2022,32.4,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_parda,População Parda,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,relu,adam,True,0.7157216310354654,2000,7.42,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_parda,População Parda,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,relu,adam,True,0.7157216310354654,2010,9.48,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_parda,População Parda,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,relu,adam,True,0.7157216310354654,2022,10.42,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_branca,População Branca,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.1004070503770748,2000,2.58,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_branca,População Branca,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.1004070503770748,2010,2.78,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_branca,População Branca,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.1004070503770748,2022,2.68,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_preta,População Preta,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,7.582956569173575,2000,680.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_preta,População Preta,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,7.582956569173575,2010,780.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_preta,População Preta,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,7.582956569173575,2022,890.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_amarela,População Amarela,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,26.03493757574412,2000,110.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_amarela,População Amarela,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,26.03493757574412,2010,100.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_amarela,População Amarela,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,26.03493757574412,2022,34.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_indigena,População Indígena,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,25.263890838163338,2000,30.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_indigena,População Indígena,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,25.263890838163338,2010,15.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__populacao_indigena,População Indígena,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,25.263890838163338,2022,60.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,204.90222935802908,2000,128.2,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,204.90222935802908,2010,352.4,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,relu,lbfgs,True,204.90222935802908,2022,920.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__apenas_1_trabalho,Apenas 1 trabalho,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.9905460319274321,2000,96.4,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__apenas_1_trabalho,Apenas 1 trabalho,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.9905460319274321,2010,96.8,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__apenas_1_trabalho,Apenas 1 trabalho,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.9905460319274321,2022,95.1,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__2_trabalhos,2 trabalhos,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.875608595976605,2000,3.2,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__2_trabalhos,2 trabalhos,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.875608595976605,2010,2.8,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__2_trabalhos,2 trabalhos,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.875608595976605,2022,4.3,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,tanh,adam,True,0.062348953958866936,2000,0.4,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,tanh,adam,True,0.062348953958866936,2010,0.4,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,tanh,adam,True,0.062348953958866936,2022,0.6,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__setor_privado,Setor privado,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,0.12764129319914833,2000,1.18,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__setor_privado,Setor privado,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,0.12764129319914833,2010,1.92,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__setor_privado,Setor privado,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,0.12764129319914833,2022,2.64,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__conta_propria,Conta própria,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,relu,adam,True,0.10342081840057397,2000,1.38,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__conta_propria,Conta própria,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,relu,adam,True,0.10342081840057397,2010,1.74,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__conta_propria,Conta própria,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,relu,adam,True,0.10342081840057397,2022,2.02,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__setor_publico,Setor público,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,428.4582869058679,2000,480.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__setor_publico,Setor público,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,428.4582869058679,2010,820.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__setor_publico,Setor público,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,428.4582869058679,2022,1.18,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__trabalhador_domestico,Trabalhador doméstico,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,relu,adam,True,31.718186217083105,2000,210.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__trabalhador_domestico,Trabalhador doméstico,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,relu,adam,True,31.718186217083105,2010,310.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__trabalhador_domestico,Trabalhador doméstico,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,relu,adam,True,31.718186217083105,2022,360.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__empregador,Empregador,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,10.634579195345395,2000,110.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__empregador,Empregador,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,10.634579195345395,2010,180.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__empregador,Empregador,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,10.634579195345395,2022,250.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,relu,adam,True,92.09244364494315,2000,560.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,relu,adam,True,92.09244364494315,2010,290.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,relu,adam,True,92.09244364494315,2022,160.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,3.038451198670117,2000,20.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,3.038451198670117,2010,40.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,identity,adam,True,3.038451198670117,2022,60.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__setor_privado_com_carteira_assinada,Setor privado com carteira assinada,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,516.9161332401412,2000,420.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__setor_privado_com_carteira_assinada,Setor privado com carteira assinada,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,516.9161332401412,2010,980.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__setor_privado_com_carteira_assinada,Setor privado com carteira assinada,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,516.9161332401412,2022,1.58,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__setor_privado_sem_carteira_assinada,Setor privado sem carteira assinada,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,560.6091815014422,2000,760.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__setor_privado_sem_carteira_assinada,Setor privado sem carteira assinada,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,560.6091815014422,2010,940.0,Valor
São João do Araguaia,dados_sao_joao_do_araguaia__setor_privado_sem_carteira_assinada,Setor privado sem carteira assinada,dados_sao_joao_do_araguaia,Grupo 2 — 3 censos,3,logistic,sgd,True,560.6091815014422,2022,1.06,Valor
