municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Tailândia,dados_tailandia__populacao_total,População Total,dados_tailandia,Grupo 1 — 4 censos,4,tanh,lbfgs,True,6.236648893916945,1991,25.82,Valor
Tailândia,dados_tailandia__populacao_total,População Total,dados_tailandia,Grupo 1 — 4 censos,4,tanh,lbfgs,True,6.236648893916945,2000,42.923,Valor
Tailândia,dados_tailandia__populacao_total,População Total,dados_tailandia,Grupo 1 — 4 censos,4,tanh,lbfgs,True,6.236648893916945,2010,79.297,Valor
Tailândia,dados_tailandia__populacao_total,População Total,dados_tailandia,Grupo 1 — 4 censos,4,tanh,lbfgs,True,6.236648893916945,2022,101.81,Valor
Tailândia,dados_tailandia__populacao_urbana,População Urbana,dados_tailandia,Grupo 2 — 3 censos,3,relu,adam,True,8.598090634809823,2000,28.42,Valor
Tailândia,dados_tailandia__populacao_urbana,População Urbana,dados_tailandia,Grupo 2 — 3 censos,3,relu,adam,True,8.598090634809823,2010,58.41,Valor
Tailândia,dados_tailandia__populacao_urbana,População Urbana,dados_tailandia,Grupo 2 — 3 censos,3,relu,adam,True,8.598090634809823,2022,82.41,Valor
Tailândia,dados_tailandia__populacao_rural,População Rural,dados_tailandia,Grupo 2 — 3 censos,3,logistic,sgd,True,3.7459942696365105,2000,14.503,Valor
Tailândia,dados_tailandia__populacao_rural,População Rural,dados_tailandia,Grupo 2 — 3 censos,3,logistic,sgd,True,3.7459942696365105,2010,20.887,Valor
Tailândia,dados_tailandia__populacao_rural,População Rural,dados_tailandia,Grupo 2 — 3 censos,3,logistic,sgd,True,3.7459942696365105,2022,19.4,Valor
Tailândia,dados_tailandia__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_tailandia,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,4.82,Valor
Tailândia,dados_tailandia__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_tailandia,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,14.21,Valor
Tailândia,dados_tailandia__populacao_de_mulheres,População de Mulheres,dados_tailandia,Grupo 2 — 3 censos,3,relu,adam,True,5.233352674052727,2000,20.82,Valor
Tailândia,dados_tailandia__populacao_de_mulheres,População de Mulheres,dados_tailandia,Grupo 2 — 3 censos,3,relu,adam,True,5.233352674052727,2010,38.82,Valor
Tailândia,dados_tailandia__populacao_de_mulheres,População de Mulheres,dados_tailandia,Grupo 2 — 3 censos,3,relu,adam,True,5.233352674052727,2022,50.41,Valor
Tailândia,dados_tailandia__populacao_de_homens,População de Homens,dados_tailandia,Grupo 2 — 3 censos,3,relu,adam,True,5.365562108947626,2000,22.103,Valor
Tailândia,dados_tailandia__populacao_de_homens,População de Homens,dados_tailandia,Grupo 2 — 3 censos,3,relu,adam,True,5.365562108947626,2010,40.477,Valor
Tailândia,dados_tailandia__populacao_de_homens,População de Homens,dados_tailandia,Grupo 2 — 3 censos,3,relu,adam,True,5.365562108947626,2022,51.4,Valor
Tailândia,dados_tailandia__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_tailandia,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.015253661607843583,2000,106.2,Valor
Tailândia,dados_tailandia__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_tailandia,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.015253661607843583,2010,104.3,Valor
Tailândia,dados_tailandia__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_tailandia,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.015253661607843583,2022,102.0,Valor
Tailândia,dados_tailandia__idade_mediana,Idade Mediana,dados_tailandia,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.802498913376149,2000,20.0,Valor
Tailândia,dados_tailandia__idade_mediana,Idade Mediana,dados_tailandia,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.802498913376149,2010,22.0,Valor
Tailândia,dados_tailandia__idade_mediana,Idade Mediana,dados_tailandia,Grupo 2 — 3 censos,3,relu,lbfgs,True,1.802498913376149,2022,27.0,Valor
Tailândia,dados_tailandia__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_tailandia,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.2454713295269935,2000,5.8,Valor
Tailândia,dados_tailandia__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_tailandia,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.2454713295269935,2010,9.8,Valor
Tailândia,dados_tailandia__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_tailandia,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.2454713295269935,2022,21.4,Valor
Tailândia,dados_tailandia__populacao_parda,População Parda,dados_tailandia,Grupo 2 — 3 censos,3,relu,adam,True,8.325951693437844,2000,29.82,Valor
Tailândia,dados_tailandia__populacao_parda,População Parda,dados_tailandia,Grupo 2 — 3 censos,3,relu,adam,True,8.325951693437844,2010,58.42,Valor
Tailândia,dados_tailandia__populacao_parda,População Parda,dados_tailandia,Grupo 2 — 3 censos,3,relu,adam,True,8.325951693437844,2022,76.42,Valor
