municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Terra Alta,dados_terra_alta__populacao_total,População Total,dados_terra_alta,Grupo 2 — 3 censos,3,logistic,adam,True,0.3624848061323937,2000,9.42,Valor
Terra Alta,dados_terra_alta__populacao_total,População Total,dados_terra_alta,Grupo 2 — 3 censos,3,logistic,adam,True,0.3624848061323937,2010,10.261,Valor
Terra Alta,dados_terra_alta__populacao_total,População Total,dados_terra_alta,Grupo 2 — 3 censos,3,logistic,adam,True,0.3624848061323937,2022,10.512,Valor
Terra Alta,dados_terra_alta__populacao_urbana,População Urbana,dados_terra_alta,Grupo 2 — 3 censos,3,relu,adam,True,0.46488406339480254,2000,4.82,Valor
Terra Alta,dados_terra_alta__populacao_urbana,População Urbana,dados_terra_alta,Grupo 2 — 3 censos,3,relu,adam,True,0.46488406339480254,2010,5.98,Valor
Terra Alta,dados_terra_alta__populacao_urbana,População Urbana,dados_terra_alta,Grupo 2 — 3 censos,3,relu,adam,True,0.46488406339480254,2022,6.42,Valor
Terra Alta,dados_terra_alta__populacao_rural,População Rural,dados_terra_alta,Grupo 2 — 3 censos,3,relu,adam,True,0.08911642155904047,2000,4.6,Valor
Terra Alta,dados_terra_alta__populacao_rural,População Rural,dados_terra_alta,Grupo 2 — 3 censos,3,relu,adam,True,0.08911642155904047,2010,4.281,Valor
Terra Alta,dados_terra_alta__populacao_rural,População Rural,dados_terra_alta,Grupo 2 — 3 censos,3,relu,adam,True,0.08911642155904047,2022,4.092,Valor
Terra Alta,dados_terra_alta__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_terra_alta,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Terra Alta,dados_terra_alta__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_terra_alta,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Terra Alta,dados_terra_alta__populacao_de_mulheres,População de Mulheres,dados_terra_alta,Grupo 2 — 3 censos,3,relu,adam,True,0.16033568434301593,2000,4.58,Valor
Terra Alta,dados_terra_alta__populacao_de_mulheres,População de Mulheres,dados_terra_alta,Grupo 2 — 3 censos,3,relu,adam,True,0.16033568434301593,2010,5.02,Valor
Terra Alta,dados_terra_alta__populacao_de_mulheres,População de Mulheres,dados_terra_alta,Grupo 2 — 3 censos,3,relu,adam,True,0.16033568434301593,2022,5.21,Valor
Terra Alta,dados_terra_alta__populacao_de_homens,População de Homens,dados_terra_alta,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.1875154685695435,2000,4.84,Valor
Terra Alta,dados_terra_alta__populacao_de_homens,População de Homens,dados_terra_alta,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.1875154685695435,2010,5.241,Valor
Terra Alta,dados_terra_alta__populacao_de_homens,População de Homens,dados_terra_alta,Grupo 2 — 3 censos,3,tanh,lbfgs,True,0.1875154685695435,2022,5.302,Valor
Terra Alta,dados_terra_alta__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_terra_alta,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6383520437985103,2000,105.7,Valor
Terra Alta,dados_terra_alta__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_terra_alta,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6383520437985103,2010,104.4,Valor
Terra Alta,dados_terra_alta__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_terra_alta,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6383520437985103,2022,101.8,Valor
Terra Alta,dados_terra_alta__idade_mediana,Idade Mediana,dados_terra_alta,Grupo 2 — 3 censos,3,identity,adam,True,1.6750995875190877,2000,22.0,Valor
Terra Alta,dados_terra_alta__idade_mediana,Idade Mediana,dados_terra_alta,Grupo 2 — 3 censos,3,identity,adam,True,1.6750995875190877,2010,26.0,Valor
Terra Alta,dados_terra_alta__idade_mediana,Idade Mediana,dados_terra_alta,Grupo 2 — 3 censos,3,identity,adam,True,1.6750995875190877,2022,33.0,Valor
Terra Alta,dados_terra_alta__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_terra_alta,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.489269061510671,2000,12.4,Valor
Terra Alta,dados_terra_alta__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_terra_alta,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.489269061510671,2010,18.8,Valor
Terra Alta,dados_terra_alta__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_terra_alta,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.489269061510671,2022,39.1,Valor
Terra Alta,dados_terra_alta__populacao_parda,População Parda,dados_terra_alta,Grupo 2 — 3 censos,3,logistic,lbfgs,True,0.32551289349120466,2000,6.82,Valor
Terra Alta,dados_terra_alta__populacao_parda,População Parda,dados_terra_alta,Grupo 2 — 3 censos,3,logistic,lbfgs,True,0.32551289349120466,2010,7.62,Valor
Terra Alta,dados_terra_alta__populacao_parda,População Parda,dados_terra_alta,Grupo 2 — 3 censos,3,logistic,lbfgs,True,0.32551289349120466,2022,7.89,Valor
Terra Alta,dados_terra_alta__populacao_branca,População Branca,dados_terra_alta,Grupo 2 — 3 censos,3,logistic,sgd,True,0.049527355651261505,2000,1.88,Valor
Terra Alta,dados_terra_alta__populacao_branca,População Branca,dados_terra_alta,Grupo 2 — 3 censos,3,logistic,sgd,True,0.049527355651261505,2010,1.91,Valor
Terra Alta,dados_terra_alta__populacao_branca,População Branca,dados_terra_alta,Grupo 2 — 3 censos,3,logistic,sgd,True,0.049527355651261505,2022,1.82,Valor
Terra Alta,dados_terra_alta__populacao_preta,População Preta,dados_terra_alta,Grupo 2 — 3 censos,3,relu,lbfgs,True,22.027948526103312,2000,660.0,Valor
Terra Alta,dados_terra_alta__populacao_preta,População Preta,dados_terra_alta,Grupo 2 — 3 censos,3,relu,lbfgs,True,22.027948526103312,2010,680.0,Valor
Terra Alta,dados_terra_alta__populacao_preta,População Preta,dados_terra_alta,Grupo 2 — 3 censos,3,relu,lbfgs,True,22.027948526103312,2022,740.0,Valor
Terra Alta,dados_terra_alta__populacao_amarela,População Amarela,dados_terra_alta,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.131305254869606,2000,40.0,Valor
Terra Alta,dados_terra_alta__populacao_amarela,População Amarela,dados_terra_alta,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.131305254869606,2010,30.0,Valor
Terra Alta,dados_terra_alta__populacao_amarela,População Amarela,dados_terra_alta,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.131305254869606,2022,12.0,Valor
Terra Alta,dados_terra_alta__populacao_indigena,População Indígena,dados_terra_alta,Grupo 2 — 3 censos,3,tanh,adam,True,13.743869971270477,2000,20.0,Valor
Terra Alta,dados_terra_alta__populacao_indigena,População Indígena,dados_terra_alta,Grupo 2 — 3 censos,3,tanh,adam,True,13.743869971270477,2010,21.0,Valor
Terra Alta,dados_terra_alta__populacao_indigena,População Indígena,dados_terra_alta,Grupo 2 — 3 censos,3,tanh,adam,True,13.743869971270477,2022,50.0,Valor
Terra Alta,dados_terra_alta__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_terra_alta,Grupo 2 — 3 censos,3,relu,lbfgs,True,190.62975080903252,2000,114.8,Valor
Terra Alta,dados_terra_alta__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_terra_alta,Grupo 2 — 3 censos,3,relu,lbfgs,True,190.62975080903252,2010,301.4,Valor
Terra Alta,dados_terra_alta__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_terra_alta,Grupo 2 — 3 censos,3,relu,lbfgs,True,190.62975080903252,2022,824.0,Valor
Terra Alta,dados_terra_alta__apenas_1_trabalho,Apenas 1 trabalho,dados_terra_alta,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.5571580496623909,2000,96.6,Valor
Terra Alta,dados_terra_alta__apenas_1_trabalho,Apenas 1 trabalho,dados_terra_alta,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.5571580496623909,2010,96.1,Valor
Terra Alta,dados_terra_alta__apenas_1_trabalho,Apenas 1 trabalho,dados_terra_alta,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.5571580496623909,2022,94.3,Valor
Terra Alta,dados_terra_alta__2_trabalhos,2 trabalhos,dados_terra_alta,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6017229378922563,2000,3.0,Valor
Terra Alta,dados_terra_alta__2_trabalhos,2 trabalhos,dados_terra_alta,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6017229378922563,2010,3.4,Valor
Terra Alta,dados_terra_alta__2_trabalhos,2 trabalhos,dados_terra_alta,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6017229378922563,2022,5.0,Valor
Terra Alta,dados_terra_alta__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_terra_alta,Grupo 2 — 3 censos,3,identity,adam,True,0.060900738248419774,2000,0.4,Valor
Terra Alta,dados_terra_alta__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_terra_alta,Grupo 2 — 3 censos,3,identity,adam,True,0.060900738248419774,2010,0.5,Valor
Terra Alta,dados_terra_alta__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_terra_alta,Grupo 2 — 3 censos,3,identity,adam,True,0.060900738248419774,2022,0.7,Valor
Terra Alta,dados_terra_alta__setor_privado,Setor privado,dados_terra_alta,Grupo 2 — 3 censos,3,tanh,adam,True,429.44476901810145,2000,780.0,Valor
Terra Alta,dados_terra_alta__setor_privado,Setor privado,dados_terra_alta,Grupo 2 — 3 censos,3,tanh,adam,True,429.44476901810145,2010,1.12,Valor
Terra Alta,dados_terra_alta__setor_privado,Setor privado,dados_terra_alta,Grupo 2 — 3 censos,3,tanh,adam,True,429.44476901810145,2022,1.54,Valor
Terra Alta,dados_terra_alta__conta_propria,Conta própria,dados_terra_alta,Grupo 2 — 3 censos,3,identity,adam,True,0.03038451198670115,2000,1.28,Valor
Terra Alta,dados_terra_alta__conta_propria,Conta própria,dados_terra_alta,Grupo 2 — 3 censos,3,identity,adam,True,0.03038451198670115,2010,1.48,Valor
Terra Alta,dados_terra_alta__conta_propria,Conta própria,dados_terra_alta,Grupo 2 — 3 censos,3,identity,adam,True,0.03038451198670115,2022,1.68,Valor
Terra Alta,dados_terra_alta__setor_publico,Setor público,dados_terra_alta,Grupo 2 — 3 censos,3,identity,adam,True,54.71846443106555,2000,480.0,Valor
Terra Alta,dados_terra_alta__setor_publico,Setor público,dados_terra_alta,Grupo 2 — 3 censos,3,identity,adam,True,54.71846443106555,2010,740.0,Valor
Terra Alta,dados_terra_alta__setor_publico,Setor público,dados_terra_alta,Grupo 2 — 3 censos,3,identity,adam,True,54.71846443106555,2022,980.0,Valor
Terra Alta,dados_terra_alta__trabalhador_domestico,Trabalhador doméstico,dados_terra_alta,Grupo 2 — 3 censos,3,identity,adam,True,9.115353596010342,2000,180.0,Valor
Terra Alta,dados_terra_alta__trabalhador_domestico,Trabalhador doméstico,dados_terra_alta,Grupo 2 — 3 censos,3,identity,adam,True,9.115353596010342,2010,240.0,Valor
Terra Alta,dados_terra_alta__trabalhador_domestico,Trabalhador doméstico,dados_terra_alta,Grupo 2 — 3 censos,3,identity,adam,True,9.115353596010342,2022,300.0,Valor
