municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Terra Santa,dados_terra_santa__populacao_total,População Total,dados_terra_santa,Grupo 1 — 4 censos,4,identity,adam,True,0.19809728702375562,1991,13.42,Valor
Terra Santa,dados_terra_santa__populacao_total,População Total,dados_terra_santa,Grupo 1 — 4 censos,4,identity,adam,True,0.19809728702375562,2000,14.82,Valor
Terra Santa,dados_terra_santa__populacao_total,População Total,dados_terra_santa,Grupo 1 — 4 censos,4,identity,adam,True,0.19809728702375562,2010,16.949,Valor
Terra Santa,dados_terra_santa__populacao_total,População Total,dados_terra_santa,Grupo 1 — 4 censos,4,identity,adam,True,0.19809728702375562,2022,18.917,Valor
Terra Santa,dados_terra_santa__populacao_urbana,População Urbana,dados_terra_santa,Grupo 2 — 3 censos,3,relu,adam,True,0.7501457717303914,2000,8.24,Valor
Terra Santa,dados_terra_santa__populacao_urbana,População Urbana,dados_terra_santa,Grupo 2 — 3 censos,3,relu,adam,True,0.7501457717303914,2010,10.82,Valor
Terra Santa,dados_terra_santa__populacao_urbana,População Urbana,dados_terra_santa,Grupo 2 — 3 censos,3,relu,adam,True,0.7501457717303914,2022,12.48,Valor
Terra Santa,dados_terra_santa__populacao_rural,População Rural,dados_terra_santa,Grupo 2 — 3 censos,3,logistic,sgd,True,0.2527029497935362,2000,6.58,Valor
Terra Santa,dados_terra_santa__populacao_rural,População Rural,dados_terra_santa,Grupo 2 — 3 censos,3,logistic,sgd,True,0.2527029497935362,2010,6.129,Valor
Terra Santa,dados_terra_santa__populacao_rural,População Rural,dados_terra_santa,Grupo 2 — 3 censos,3,logistic,sgd,True,0.2527029497935362,2022,6.437,Valor
Terra Santa,dados_terra_santa__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_terra_santa,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Terra Santa,dados_terra_santa__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_terra_santa,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Terra Santa,dados_terra_santa__populacao_de_mulheres,População de Mulheres,dados_terra_santa,Grupo 2 — 3 censos,3,identity,adam,True,0.23711773634378375,2000,7.18,Valor
Terra Santa,dados_terra_santa__populacao_de_mulheres,População de Mulheres,dados_terra_santa,Grupo 2 — 3 censos,3,identity,adam,True,0.23711773634378375,2010,8.29,Valor
Terra Santa,dados_terra_santa__populacao_de_mulheres,População de Mulheres,dados_terra_santa,Grupo 2 — 3 censos,3,identity,adam,True,0.23711773634378375,2022,9.31,Valor
Terra Santa,dados_terra_santa__populacao_de_homens,População de Homens,dados_terra_santa,Grupo 2 — 3 censos,3,identity,adam,True,0.20883511448390144,2000,7.64,Valor
Terra Santa,dados_terra_santa__populacao_de_homens,População de Homens,dados_terra_santa,Grupo 2 — 3 censos,3,identity,adam,True,0.20883511448390144,2010,8.659,Valor
Terra Santa,dados_terra_santa__populacao_de_homens,População de Homens,dados_terra_santa,Grupo 2 — 3 censos,3,identity,adam,True,0.20883511448390144,2022,9.607,Valor
