municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Tracuateua,dados_tracuateua__populacao_total,População Total,dados_tracuateua,Grupo 2 — 3 censos,3,relu,adam,True,0.6596927031860638,2000,25.168,Valor
Tracuateua,dados_tracuateua__populacao_total,População Total,dados_tracuateua,Grupo 2 — 3 censos,3,relu,adam,True,0.6596927031860638,2010,27.455,Valor
Tracuateua,dados_tracuateua__populacao_total,População Total,dados_tracuateua,Grupo 2 — 3 censos,3,relu,adam,True,0.6596927031860638,2022,29.13,Valor
Tracuateua,dados_tracuateua__populacao_urbana,População Urbana,dados_tracuateua,Grupo 2 — 3 censos,3,identity,adam,True,0.30376609130199955,2000,7.82,Valor
Tracuateua,dados_tracuateua__populacao_urbana,População Urbana,dados_tracuateua,Grupo 2 — 3 censos,3,identity,adam,True,0.30376609130199955,2010,10.12,Valor
Tracuateua,dados_tracuateua__populacao_urbana,População Urbana,dados_tracuateua,Grupo 2 — 3 censos,3,identity,adam,True,0.30376609130199955,2022,12.48,Valor
Tracuateua,dados_tracuateua__populacao_rural,População Rural,dados_tracuateua,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.35688825387530204,2000,17.348,Valor
Tracuateua,dados_tracuateua__populacao_rural,População Rural,dados_tracuateua,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.35688825387530204,2010,17.335,Valor
Tracuateua,dados_tracuateua__populacao_rural,População Rural,dados_tracuateua,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.35688825387530204,2022,16.65,Valor
Tracuateua,dados_tracuateua__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_tracuateua,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,210.0,Valor
Tracuateua,dados_tracuateua__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_tracuateua,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,680.0,Valor
Tracuateua,dados_tracuateua__populacao_de_mulheres,População de Mulheres,dados_tracuateua,Grupo 2 — 3 censos,3,identity,adam,True,0.2675417626129904,2000,12.18,Valor
Tracuateua,dados_tracuateua__populacao_de_mulheres,População de Mulheres,dados_tracuateua,Grupo 2 — 3 censos,3,identity,adam,True,0.2675417626129904,2010,13.34,Valor
Tracuateua,dados_tracuateua__populacao_de_mulheres,População de Mulheres,dados_tracuateua,Grupo 2 — 3 censos,3,identity,adam,True,0.2675417626129904,2022,14.38,Valor
