municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Trairão,dados_trairao__populacao_total,População Total,dados_trairao,Grupo 2 — 3 censos,3,logistic,sgd,True,2.2451284965569958,2000,14.12,Valor
Trairão,dados_trairao__populacao_total,População Total,dados_trairao,Grupo 2 — 3 censos,3,logistic,sgd,True,2.2451284965569958,2010,17.36,Valor
Trairão,dados_trairao__populacao_total,População Total,dados_trairao,Grupo 2 — 3 censos,3,logistic,sgd,True,2.2451284965569958,2022,13.92,Valor
Trairão,dados_trairao__populacao_urbana,População Urbana,dados_trairao,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.0707229753770966,2000,4.82,Valor
Trairão,dados_trairao__populacao_urbana,População Urbana,dados_trairao,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.0707229753770966,2010,7.12,Valor
Trairão,dados_trairao__populacao_urbana,População Urbana,dados_trairao,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.0707229753770966,2022,7.48,Valor
Trairão,dados_trairao__populacao_rural,População Rural,dados_trairao,Grupo 2 — 3 censos,3,logistic,sgd,True,2.199012471964314,2000,9.3,Valor
Trairão,dados_trairao__populacao_rural,População Rural,dados_trairao,Grupo 2 — 3 censos,3,logistic,sgd,True,2.199012471964314,2010,10.24,Valor
Trairão,dados_trairao__populacao_rural,População Rural,dados_trairao,Grupo 2 — 3 censos,3,logistic,sgd,True,2.199012471964314,2022,6.44,Valor
Trairão,dados_trairao__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_trairao,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Trairão,dados_trairao__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_trairao,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Trairão,dados_trairao__populacao_de_mulheres,População de Mulheres,dados_trairao,Grupo 2 — 3 censos,3,logistic,sgd,True,1.1019253538794611,2000,6.42,Valor
Trairão,dados_trairao__populacao_de_mulheres,População de Mulheres,dados_trairao,Grupo 2 — 3 censos,3,logistic,sgd,True,1.1019253538794611,2010,8.12,Valor
Trairão,dados_trairao__populacao_de_mulheres,População de Mulheres,dados_trairao,Grupo 2 — 3 censos,3,logistic,sgd,True,1.1019253538794611,2022,6.54,Valor
Trairão,dados_trairao__populacao_de_homens,População de Homens,dados_trairao,Grupo 2 — 3 censos,3,logistic,sgd,True,1.1426466632255183,2000,7.7,Valor
Trairão,dados_trairao__populacao_de_homens,População de Homens,dados_trairao,Grupo 2 — 3 censos,3,logistic,sgd,True,1.1426466632255183,2010,9.24,Valor
Trairão,dados_trairao__populacao_de_homens,População de Homens,dados_trairao,Grupo 2 — 3 censos,3,logistic,sgd,True,1.1426466632255183,2022,7.38,Valor
Trairão,dados_trairao__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_trairao,Grupo 2 — 3 censos,3,tanh,adam,True,2.7112105466837164,2000,119.9,Valor
Trairão,dados_trairao__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_trairao,Grupo 2 — 3 censos,3,tanh,adam,True,2.7112105466837164,2010,113.8,Valor
Trairão,dados_trairao__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_trairao,Grupo 2 — 3 censos,3,tanh,adam,True,2.7112105466837164,2022,112.8,Valor
Trairão,dados_trairao__idade_mediana,Idade Mediana,dados_trairao,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.903896339681316,2000,21.0,Valor
Trairão,dados_trairao__idade_mediana,Idade Mediana,dados_trairao,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.903896339681316,2010,24.0,Valor
Trairão,dados_trairao__idade_mediana,Idade Mediana,dados_trairao,Grupo 2 — 3 censos,3,relu,lbfgs,True,2.903896339681316,2022,32.0,Valor
Trairão,dados_trairao__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_trairao,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.9393101964435475,2000,6.2,Valor
Trairão,dados_trairao__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_trairao,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.9393101964435475,2010,12.1,Valor
Trairão,dados_trairao__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_trairao,Grupo 2 — 3 censos,3,relu,lbfgs,True,7.9393101964435475,2022,33.4,Valor
Trairão,dados_trairao__populacao_parda,População Parda,dados_trairao,Grupo 2 — 3 censos,3,logistic,sgd,True,1.6361247339123655,2000,8.92,Valor
Trairão,dados_trairao__populacao_parda,População Parda,dados_trairao,Grupo 2 — 3 censos,3,logistic,sgd,True,1.6361247339123655,2010,11.84,Valor
Trairão,dados_trairao__populacao_parda,População Parda,dados_trairao,Grupo 2 — 3 censos,3,logistic,sgd,True,1.6361247339123655,2022,9.88,Valor
Trairão,dados_trairao__populacao_branca,População Branca,dados_trairao,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.7554068943321197,2000,4.12,Valor
Trairão,dados_trairao__populacao_branca,População Branca,dados_trairao,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.7554068943321197,2010,4.21,Valor
Trairão,dados_trairao__populacao_branca,População Branca,dados_trairao,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.7554068943321197,2022,2.94,Valor
Trairão,dados_trairao__populacao_preta,População Preta,dados_trairao,Grupo 2 — 3 censos,3,logistic,sgd,True,563.927852461909,2000,820.0,Valor
Trairão,dados_trairao__populacao_preta,População Preta,dados_trairao,Grupo 2 — 3 censos,3,logistic,sgd,True,563.927852461909,2010,1.02,Valor
Trairão,dados_trairao__populacao_preta,População Preta,dados_trairao,Grupo 2 — 3 censos,3,logistic,sgd,True,563.927852461909,2022,880.0,Valor
Trairão,dados_trairao__populacao_amarela,População Amarela,dados_trairao,Grupo 2 — 3 censos,3,logistic,sgd,True,95.75273623874614,2000,180.0,Valor
Trairão,dados_trairao__populacao_amarela,População Amarela,dados_trairao,Grupo 2 — 3 censos,3,logistic,sgd,True,95.75273623874614,2010,210.0,Valor
Trairão,dados_trairao__populacao_amarela,População Amarela,dados_trairao,Grupo 2 — 3 censos,3,logistic,sgd,True,95.75273623874614,2022,50.0,Valor
Trairão,dados_trairao__populacao_indigena,População Indígena,dados_trairao,Grupo 2 — 3 censos,3,tanh,adam,True,44.37157538058784,2000,80.0,Valor
Trairão,dados_trairao__populacao_indigena,População Indígena,dados_trairao,Grupo 2 — 3 censos,3,tanh,adam,True,44.37157538058784,2010,80.0,Valor
Trairão,dados_trairao__populacao_indigena,População Indígena,dados_trairao,Grupo 2 — 3 censos,3,tanh,adam,True,44.37157538058784,2022,170.0,Valor
Trairão,dados_trairao__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_trairao,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2000,132.1,Valor
Trairão,dados_trairao__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_trairao,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,372.4,Valor
Trairão,dados_trairao__apenas_1_trabalho,Apenas 1 trabalho,dados_trairao,Grupo 2 — 3 censos,3,logistic,sgd,True,1.1226185478916666,2000,96.1,Valor
Trairão,dados_trairao__apenas_1_trabalho,Apenas 1 trabalho,dados_trairao,Grupo 2 — 3 censos,3,logistic,sgd,True,1.1226185478916666,2010,96.5,Valor
Trairão,dados_trairao__apenas_1_trabalho,Apenas 1 trabalho,dados_trairao,Grupo 2 — 3 censos,3,logistic,sgd,True,1.1226185478916666,2022,94.6,Valor
Trairão,dados_trairao__2_trabalhos,2 trabalhos,dados_trairao,Grupo 2 — 3 censos,3,logistic,sgd,True,1.0440345348976938,2000,3.5,Valor
