municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Tucumã,dados_tucuma__populacao_total,População Total,dados_tucuma,Grupo 1 — 4 censos,4,tanh,lbfgs,True,1.8054600442447173,1991,18.102,Valor
Tucumã,dados_tucuma__populacao_total,População Total,dados_tucuma,Grupo 1 — 4 censos,4,tanh,lbfgs,True,1.8054600442447173,2000,22.231,Valor
Tucumã,dados_tucuma__populacao_total,População Total,dados_tucuma,Grupo 1 — 4 censos,4,tanh,lbfgs,True,1.8054600442447173,2010,33.69,Valor
Tucumã,dados_tucuma__populacao_total,População Total,dados_tucuma,Grupo 1 — 4 censos,4,tanh,lbfgs,True,1.8054600442447173,2022,39.537,Valor
Tucumã,dados_tucuma__populacao_urbana,População Urbana,dados_tucuma,Grupo 2 — 3 censos,3,relu,adam,True,2.6102842174053933,2000,15.82,Valor
Tucumã,dados_tucuma__populacao_urbana,População Urbana,dados_tucuma,Grupo 2 — 3 censos,3,relu,adam,True,2.6102842174053933,2010,24.84,Valor
Tucumã,dados_tucuma__populacao_urbana,População Urbana,dados_tucuma,Grupo 2 — 3 censos,3,relu,adam,True,2.6102842174053933,2022,31.12,Valor
Tucumã,dados_tucuma__populacao_rural,População Rural,dados_tucuma,Grupo 2 — 3 censos,3,logistic,sgd,True,1.475238608044443,2000,6.411,Valor
Tucumã,dados_tucuma__populacao_rural,População Rural,dados_tucuma,Grupo 2 — 3 censos,3,logistic,sgd,True,1.475238608044443,2010,8.85,Valor
Tucumã,dados_tucuma__populacao_rural,População Rural,dados_tucuma,Grupo 2 — 3 censos,3,logistic,sgd,True,1.475238608044443,2022,8.417,Valor
Tucumã,dados_tucuma__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_tucuma,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,620.0,Valor
Tucumã,dados_tucuma__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_tucuma,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,1.28,Valor
Tucumã,dados_tucuma__populacao_de_mulheres,População de Mulheres,dados_tucuma,Grupo 2 — 3 censos,3,relu,adam,True,1.6939759315734453,2000,10.84,Valor
Tucumã,dados_tucuma__populacao_de_mulheres,População de Mulheres,dados_tucuma,Grupo 2 — 3 censos,3,relu,adam,True,1.6939759315734453,2010,16.62,Valor
Tucumã,dados_tucuma__populacao_de_mulheres,População de Mulheres,dados_tucuma,Grupo 2 — 3 censos,3,relu,adam,True,1.6939759315734453,2022,19.82,Valor
Tucumã,dados_tucuma__populacao_de_homens,População de Homens,dados_tucuma,Grupo 2 — 3 censos,3,relu,adam,True,1.9345863122735274,2000,11.391,Valor
Tucumã,dados_tucuma__populacao_de_homens,População de Homens,dados_tucuma,Grupo 2 — 3 censos,3,relu,adam,True,1.9345863122735274,2010,17.07,Valor
Tucumã,dados_tucuma__populacao_de_homens,População de Homens,dados_tucuma,Grupo 2 — 3 censos,3,relu,adam,True,1.9345863122735274,2022,19.717,Valor
Tucumã,dados_tucuma__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_tucuma,Grupo 2 — 3 censos,3,identity,adam,True,0.24369996589441692,2000,105.1,Valor
Tucumã,dados_tucuma__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_tucuma,Grupo 2 — 3 censos,3,identity,adam,True,0.24369996589441692,2010,102.7,Valor
Tucumã,dados_tucuma__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_tucuma,Grupo 2 — 3 censos,3,identity,adam,True,0.24369996589441692,2022,99.5,Valor
Tucumã,dados_tucuma__idade_mediana,Idade Mediana,dados_tucuma,Grupo 2 — 3 censos,3,identity,adam,True,0.7622470851678784,2000,19.0,Valor
Tucumã,dados_tucuma__idade_mediana,Idade Mediana,dados_tucuma,Grupo 2 — 3 censos,3,identity,adam,True,0.7622470851678784,2010,24.0,Valor
Tucumã,dados_tucuma__idade_mediana,Idade Mediana,dados_tucuma,Grupo 2 — 3 censos,3,identity,adam,True,0.7622470851678784,2022,31.0,Valor
Tucumã,dados_tucuma__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_tucuma,Grupo 2 — 3 censos,3,relu,lbfgs,True,6.703970054040462,2000,4.8,Valor
Tucumã,dados_tucuma__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_tucuma,Grupo 2 — 3 censos,3,relu,lbfgs,True,6.703970054040462,2010,8.2,Valor
Tucumã,dados_tucuma__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_tucuma,Grupo 2 — 3 censos,3,relu,lbfgs,True,6.703970054040462,2022,24.6,Valor
