municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Ulianópolis,dados_ulianopolis__populacao_total,População Total,dados_ulianopolis,Grupo 1 — 4 censos,4,logistic,adam,True,7.62076552479801,1991,12.82,Valor
Ulianópolis,dados_ulianopolis__populacao_total,População Total,dados_ulianopolis,Grupo 1 — 4 censos,4,logistic,adam,True,7.62076552479801,2000,22.81,Valor
Ulianópolis,dados_ulianopolis__populacao_total,População Total,dados_ulianopolis,Grupo 1 — 4 censos,4,logistic,adam,True,7.62076552479801,2010,43.341,Valor
Ulianópolis,dados_ulianopolis__populacao_total,População Total,dados_ulianopolis,Grupo 1 — 4 censos,4,logistic,adam,True,7.62076552479801,2022,36.68,Valor
Ulianópolis,dados_ulianopolis__populacao_urbana,População Urbana,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,10.62855898974282,2000,14.12,Valor
Ulianópolis,dados_ulianopolis__populacao_urbana,População Urbana,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,10.62855898974282,2010,31.84,Valor
Ulianópolis,dados_ulianopolis__populacao_urbana,População Urbana,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,10.62855898974282,2022,28.42,Valor
Ulianópolis,dados_ulianopolis__populacao_rural,População Rural,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,2.033964423632426,2000,8.69,Valor
Ulianópolis,dados_ulianopolis__populacao_rural,População Rural,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,2.033964423632426,2010,11.501,Valor
Ulianópolis,dados_ulianopolis__populacao_rural,População Rural,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,2.033964423632426,2022,8.26,Valor
Ulianópolis,dados_ulianopolis__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_ulianopolis,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,780.0,Valor
Ulianópolis,dados_ulianopolis__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_ulianopolis,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,1.64,Valor
Ulianópolis,dados_ulianopolis__populacao_de_mulheres,População de Mulheres,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,5.640766836014568,2000,10.98,Valor
Ulianópolis,dados_ulianopolis__populacao_de_mulheres,População de Mulheres,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,5.640766836014568,2010,20.82,Valor
Ulianópolis,dados_ulianopolis__populacao_de_mulheres,População de Mulheres,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,5.640766836014568,2022,18.12,Valor
Ulianópolis,dados_ulianopolis__populacao_de_homens,População de Homens,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,5.793327032923274,2000,11.83,Valor
Ulianópolis,dados_ulianopolis__populacao_de_homens,População de Homens,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,5.793327032923274,2010,22.521,Valor
Ulianópolis,dados_ulianopolis__populacao_de_homens,População de Homens,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,5.793327032923274,2022,18.56,Valor
Ulianópolis,dados_ulianopolis__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_ulianopolis,Grupo 2 — 3 censos,3,relu,lbfgs,True,3.519805392075938,2000,107.7,Valor
Ulianópolis,dados_ulianopolis__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_ulianopolis,Grupo 2 — 3 censos,3,relu,lbfgs,True,3.519805392075938,2010,108.2,Valor
Ulianópolis,dados_ulianopolis__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_ulianopolis,Grupo 2 — 3 censos,3,relu,lbfgs,True,3.519805392075938,2022,102.4,Valor
Ulianópolis,dados_ulianopolis__idade_mediana,Idade Mediana,dados_ulianopolis,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2000,19.0,Valor
Ulianópolis,dados_ulianopolis__idade_mediana,Idade Mediana,dados_ulianopolis,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2010,23.0,Valor
Ulianópolis,dados_ulianopolis__idade_mediana,Idade Mediana,dados_ulianopolis,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2022,29.0,Valor
Ulianópolis,dados_ulianopolis__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_ulianopolis,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.344492089503393,2000,4.1,Valor
Ulianópolis,dados_ulianopolis__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_ulianopolis,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.344492089503393,2010,7.2,Valor
Ulianópolis,dados_ulianopolis__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_ulianopolis,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.344492089503393,2022,20.8,Valor
Ulianópolis,dados_ulianopolis__populacao_parda,População Parda,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,8.666110573944072,2000,15.42,Valor
Ulianópolis,dados_ulianopolis__populacao_parda,População Parda,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,8.666110573944072,2010,30.12,Valor
Ulianópolis,dados_ulianopolis__populacao_parda,População Parda,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,8.666110573944072,2022,26.82,Valor
Ulianópolis,dados_ulianopolis__populacao_branca,População Branca,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,2.265285515319797,2000,5.24,Valor
Ulianópolis,dados_ulianopolis__populacao_branca,População Branca,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,2.265285515319797,2010,9.42,Valor
Ulianópolis,dados_ulianopolis__populacao_branca,População Branca,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,2.265285515319797,2022,6.84,Valor
Ulianópolis,dados_ulianopolis__populacao_preta,População Preta,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,0.8255146554974648,2000,1.98,Valor
Ulianópolis,dados_ulianopolis__populacao_preta,População Preta,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,0.8255146554974648,2010,3.58,Valor
Ulianópolis,dados_ulianopolis__populacao_preta,População Preta,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,0.8255146554974648,2022,2.86,Valor
Ulianópolis,dados_ulianopolis__populacao_amarela,População Amarela,dados_ulianopolis,Grupo 2 — 3 censos,3,relu,adam,True,7.690121902273977,2000,90.0,Valor
Ulianópolis,dados_ulianopolis__populacao_amarela,População Amarela,dados_ulianopolis,Grupo 2 — 3 censos,3,relu,adam,True,7.690121902273977,2010,62.0,Valor
Ulianópolis,dados_ulianopolis__populacao_amarela,População Amarela,dados_ulianopolis,Grupo 2 — 3 censos,3,relu,adam,True,7.690121902273977,2022,42.0,Valor
Ulianópolis,dados_ulianopolis__populacao_indigena,População Indígena,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,40.171330294165834,2000,80.0,Valor
Ulianópolis,dados_ulianopolis__populacao_indigena,População Indígena,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,40.171330294165834,2010,159.0,Valor
Ulianópolis,dados_ulianopolis__populacao_indigena,População Indígena,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,40.171330294165834,2022,118.0,Valor
Ulianópolis,dados_ulianopolis__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_ulianopolis,Grupo 2 — 3 censos,3,identity,adam,True,148.7850269406064,2000,138.4,Valor
Ulianópolis,dados_ulianopolis__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_ulianopolis,Grupo 2 — 3 censos,3,identity,adam,True,148.7850269406064,2010,342.1,Valor
Ulianópolis,dados_ulianopolis__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_ulianopolis,Grupo 2 — 3 censos,3,identity,adam,True,148.7850269406064,2022,782.0,Valor
Ulianópolis,dados_ulianopolis__apenas_1_trabalho,Apenas 1 trabalho,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,2.113162417623476,2000,94.2,Valor
Ulianópolis,dados_ulianopolis__apenas_1_trabalho,Apenas 1 trabalho,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,2.113162417623476,2010,94.6,Valor
Ulianópolis,dados_ulianopolis__apenas_1_trabalho,Apenas 1 trabalho,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,2.113162417623476,2022,91.2,Valor
Ulianópolis,dados_ulianopolis__2_trabalhos,2 trabalhos,dados_ulianopolis,Grupo 2 — 3 censos,3,tanh,adam,True,1.5426126430444675,2000,4.8,Valor
Ulianópolis,dados_ulianopolis__2_trabalhos,2 trabalhos,dados_ulianopolis,Grupo 2 — 3 censos,3,tanh,adam,True,1.5426126430444675,2010,4.8,Valor
Ulianópolis,dados_ulianopolis__2_trabalhos,2 trabalhos,dados_ulianopolis,Grupo 2 — 3 censos,3,tanh,adam,True,1.5426126430444675,2022,8.0,Valor
Ulianópolis,dados_ulianopolis__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,0.20014800115431294,2000,1.0,Valor
Ulianópolis,dados_ulianopolis__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,0.20014800115431294,2010,0.6,Valor
Ulianópolis,dados_ulianopolis__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,0.20014800115431294,2022,0.8,Valor
Ulianópolis,dados_ulianopolis__setor_privado,Setor privado,dados_ulianopolis,Grupo 2 — 3 censos,3,tanh,lbfgs,True,2.9814482832007023,2000,3.42,Valor
Ulianópolis,dados_ulianopolis__setor_privado,Setor privado,dados_ulianopolis,Grupo 2 — 3 censos,3,tanh,lbfgs,True,2.9814482832007023,2010,9.82,Valor
Ulianópolis,dados_ulianopolis__setor_privado,Setor privado,dados_ulianopolis,Grupo 2 — 3 censos,3,tanh,lbfgs,True,2.9814482832007023,2022,10.84,Valor
Ulianópolis,dados_ulianopolis__conta_propria,Conta própria,dados_ulianopolis,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.5568043081097713,2000,4.12,Valor
Ulianópolis,dados_ulianopolis__conta_propria,Conta própria,dados_ulianopolis,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.5568043081097713,2010,7.42,Valor
Ulianópolis,dados_ulianopolis__conta_propria,Conta própria,dados_ulianopolis,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.5568043081097713,2022,8.12,Valor
Ulianópolis,dados_ulianopolis__setor_publico,Setor público,dados_ulianopolis,Grupo 2 — 3 censos,3,relu,adam,True,0.31641025288434305,2000,1.18,Valor
Ulianópolis,dados_ulianopolis__setor_publico,Setor público,dados_ulianopolis,Grupo 2 — 3 censos,3,relu,adam,True,0.31641025288434305,2010,2.28,Valor
Ulianópolis,dados_ulianopolis__setor_publico,Setor público,dados_ulianopolis,Grupo 2 — 3 censos,3,relu,adam,True,0.31641025288434305,2022,3.12,Valor
Ulianópolis,dados_ulianopolis__trabalhador_domestico,Trabalhador doméstico,dados_ulianopolis,Grupo 2 — 3 censos,3,relu,adam,True,141.30477261276678,2000,380.0,Valor
Ulianópolis,dados_ulianopolis__trabalhador_domestico,Trabalhador doméstico,dados_ulianopolis,Grupo 2 — 3 censos,3,relu,adam,True,141.30477261276678,2010,760.0,Valor
Ulianópolis,dados_ulianopolis__trabalhador_domestico,Trabalhador doméstico,dados_ulianopolis,Grupo 2 — 3 censos,3,relu,adam,True,141.30477261276678,2022,920.0,Valor
Ulianópolis,dados_ulianopolis__empregador,Empregador,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,335.638908789047,2000,280.0,Valor
Ulianópolis,dados_ulianopolis__empregador,Empregador,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,335.638908789047,2010,640.0,Valor
Ulianópolis,dados_ulianopolis__empregador,Empregador,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,sgd,True,335.638908789047,2022,1.08,Valor
Ulianópolis,dados_ulianopolis__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_ulianopolis,Grupo 2 — 3 censos,3,tanh,adam,True,256.4344275403615,2000,1.82,Valor
Ulianópolis,dados_ulianopolis__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_ulianopolis,Grupo 2 — 3 censos,3,tanh,adam,True,256.4344275403615,2010,1.12,Valor
Ulianópolis,dados_ulianopolis__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_ulianopolis,Grupo 2 — 3 censos,3,tanh,adam,True,256.4344275403615,2022,520.0,Valor
Ulianópolis,dados_ulianopolis__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_ulianopolis,Grupo 2 — 3 censos,3,identity,adam,True,12.193319077185706,2000,40.0,Valor
Ulianópolis,dados_ulianopolis__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_ulianopolis,Grupo 2 — 3 censos,3,identity,adam,True,12.193319077185706,2010,110.0,Valor
Ulianópolis,dados_ulianopolis__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_ulianopolis,Grupo 2 — 3 censos,3,identity,adam,True,12.193319077185706,2022,210.0,Valor
Ulianópolis,dados_ulianopolis__setor_privado_com_carteira_assinada,Setor privado com carteira assinada,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,adam,True,1.7441982645154395,2000,1.98,Valor
Ulianópolis,dados_ulianopolis__setor_privado_com_carteira_assinada,Setor privado com carteira assinada,dados_ulianopolis,Grupo 2 — 3 censos,3,logistic,adam,True,1.7441982645154395,2010,6.12,Valor
