municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Uruará,dados_uruara__populacao_total,População Total,dados_uruara,Grupo 1 — 4 censos,4,tanh,lbfgs,True,2.579634921667205,1991,38.21,Valor
Uruará,dados_uruara__populacao_total,População Total,dados_uruara,Grupo 1 — 4 censos,4,tanh,lbfgs,True,2.579634921667205,2000,45.12,Valor
Uruará,dados_uruara__populacao_total,População Total,dados_uruara,Grupo 1 — 4 censos,4,tanh,lbfgs,True,2.579634921667205,2010,44.258,Valor
Uruará,dados_uruara__populacao_total,População Total,dados_uruara,Grupo 1 — 4 censos,4,tanh,lbfgs,True,2.579634921667205,2022,43.547,Valor
Uruará,dados_uruara__populacao_urbana,População Urbana,dados_uruara,Grupo 2 — 3 censos,3,relu,adam,True,1.1476705480069935,2000,18.42,Valor
Uruará,dados_uruara__populacao_urbana,População Urbana,dados_uruara,Grupo 2 — 3 censos,3,relu,adam,True,1.1476705480069935,2010,21.82,Valor
Uruará,dados_uruara__populacao_urbana,População Urbana,dados_uruara,Grupo 2 — 3 censos,3,relu,adam,True,1.1476705480069935,2022,23.42,Valor
Uruará,dados_uruara__populacao_rural,População Rural,dados_uruara,Grupo 2 — 3 censos,3,relu,adam,True,1.2710572944910308,2000,26.7,Valor
Uruará,dados_uruara__populacao_rural,População Rural,dados_uruara,Grupo 2 — 3 censos,3,relu,adam,True,1.2710572944910308,2010,22.438,Valor
Uruará,dados_uruara__populacao_rural,População Rural,dados_uruara,Grupo 2 — 3 censos,3,relu,adam,True,1.2710572944910308,2022,20.127,Valor
Uruará,dados_uruara__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_uruara,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,620.0,Valor
Uruará,dados_uruara__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_uruara,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,1.84,Valor
Uruará,dados_uruara__populacao_de_mulheres,População de Mulheres,dados_uruara,Grupo 2 — 3 censos,3,logistic,sgd,True,0.19602088086827152,2000,21.12,Valor
Uruará,dados_uruara__populacao_de_mulheres,População de Mulheres,dados_uruara,Grupo 2 — 3 censos,3,logistic,sgd,True,0.19602088086827152,2010,21.42,Valor
Uruará,dados_uruara__populacao_de_mulheres,População de Mulheres,dados_uruara,Grupo 2 — 3 censos,3,logistic,sgd,True,0.19602088086827152,2022,21.12,Valor
Uruará,dados_uruara__populacao_de_homens,População de Homens,dados_uruara,Grupo 2 — 3 censos,3,tanh,sgd,True,0.47673133522774574,2000,24.0,Valor
Uruará,dados_uruara__populacao_de_homens,População de Homens,dados_uruara,Grupo 2 — 3 censos,3,tanh,sgd,True,0.47673133522774574,2010,22.838,Valor
Uruará,dados_uruara__populacao_de_homens,População de Homens,dados_uruara,Grupo 2 — 3 censos,3,tanh,sgd,True,0.47673133522774574,2022,22.427,Valor
Uruará,dados_uruara__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_uruara,Grupo 2 — 3 censos,3,tanh,adam,True,3.5974030635754466,2000,113.6,Valor
