municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Vigia,dados_vigia__populacao_total,População Total,dados_vigia,Grupo 1 — 4 censos,4,logistic,lbfgs,True,1.3137539386495511,1991,38.78,Valor
Vigia,dados_vigia__populacao_total,População Total,dados_vigia,Grupo 1 — 4 censos,4,logistic,lbfgs,True,1.3137539386495511,2000,43.867,Valor
Vigia,dados_vigia__populacao_total,População Total,dados_vigia,Grupo 1 — 4 censos,4,logistic,lbfgs,True,1.3137539386495511,2010,47.889,Valor
Vigia,dados_vigia__populacao_total,População Total,dados_vigia,Grupo 1 — 4 censos,4,logistic,lbfgs,True,1.3137539386495511,2022,50.832,Valor
Vigia,dados_vigia__populacao_urbana,População Urbana,dados_vigia,Grupo 2 — 3 censos,3,relu,adam,True,1.6543429422193132,2000,26.42,Valor
Vigia,dados_vigia__populacao_urbana,População Urbana,dados_vigia,Grupo 2 — 3 censos,3,relu,adam,True,1.6543429422193132,2010,31.21,Valor
Vigia,dados_vigia__populacao_urbana,População Urbana,dados_vigia,Grupo 2 — 3 censos,3,relu,adam,True,1.6543429422193132,2022,33.41,Valor
Vigia,dados_vigia__populacao_rural,População Rural,dados_vigia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.5019320674119818,2000,17.447,Valor
Vigia,dados_vigia__populacao_rural,População Rural,dados_vigia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.5019320674119818,2010,16.679,Valor
Vigia,dados_vigia__populacao_rural,População Rural,dados_vigia,Grupo 2 — 3 censos,3,logistic,sgd,True,0.5019320674119818,2022,17.422,Valor
Vigia,dados_vigia__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_vigia,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,820.0,Valor
Vigia,dados_vigia__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_vigia,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,2.14,Valor
Vigia,dados_vigia__populacao_de_mulheres,População de Mulheres,dados_vigia,Grupo 2 — 3 censos,3,relu,adam,True,0.629976400813233,2000,21.62,Valor
Vigia,dados_vigia__populacao_de_mulheres,População de Mulheres,dados_vigia,Grupo 2 — 3 censos,3,relu,adam,True,0.629976400813233,2010,23.82,Valor
Vigia,dados_vigia__populacao_de_mulheres,População de Mulheres,dados_vigia,Grupo 2 — 3 censos,3,relu,adam,True,0.629976400813233,2022,25.61,Valor
Vigia,dados_vigia__populacao_de_homens,População de Homens,dados_vigia,Grupo 2 — 3 censos,3,relu,adam,True,0.5302529778537265,2000,22.247,Valor
Vigia,dados_vigia__populacao_de_homens,População de Homens,dados_vigia,Grupo 2 — 3 censos,3,relu,adam,True,0.5302529778537265,2010,24.069,Valor
Vigia,dados_vigia__populacao_de_homens,População de Homens,dados_vigia,Grupo 2 — 3 censos,3,relu,adam,True,0.5302529778537265,2022,25.222,Valor
Vigia,dados_vigia__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_vigia,Grupo 2 — 3 censos,3,identity,adam,True,0.1672929573823628,2000,102.9,Valor
Vigia,dados_vigia__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_vigia,Grupo 2 — 3 censos,3,identity,adam,True,0.1672929573823628,2010,101.0,Valor
Vigia,dados_vigia__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_vigia,Grupo 2 — 3 censos,3,identity,adam,True,0.1672929573823628,2022,98.5,Valor
Vigia,dados_vigia__idade_mediana,Idade Mediana,dados_vigia,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2000,19.0,Valor
Vigia,dados_vigia__idade_mediana,Idade Mediana,dados_vigia,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2010,23.0,Valor
Vigia,dados_vigia__idade_mediana,Idade Mediana,dados_vigia,Grupo 2 — 3 censos,3,identity,adam,True,0.9141696451013838,2022,29.0,Valor
Vigia,dados_vigia__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_vigia,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.896360746170354,2000,6.1,Valor
Vigia,dados_vigia__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_vigia,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.896360746170354,2010,10.8,Valor
