municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Viseu,dados_viseu__populacao_total,População Total,dados_viseu,Grupo 1 — 4 censos,4,tanh,lbfgs,True,1.0849358949546897,1991,46.82,Valor
Viseu,dados_viseu__populacao_total,População Total,dados_viseu,Grupo 1 — 4 censos,4,tanh,lbfgs,True,1.0849358949546897,2000,51.81,Valor
Viseu,dados_viseu__populacao_total,População Total,dados_viseu,Grupo 1 — 4 censos,4,tanh,lbfgs,True,1.0849358949546897,2010,56.716,Valor
Viseu,dados_viseu__populacao_total,População Total,dados_viseu,Grupo 1 — 4 censos,4,tanh,lbfgs,True,1.0849358949546897,2022,58.077,Valor
Viseu,dados_viseu__populacao_urbana,População Urbana,dados_viseu,Grupo 2 — 3 censos,3,relu,adam,True,1.6316360064291022,2000,14.21,Valor
Viseu,dados_viseu__populacao_urbana,População Urbana,dados_viseu,Grupo 2 — 3 censos,3,relu,adam,True,1.6316360064291022,2010,19.82,Valor
Viseu,dados_viseu__populacao_urbana,População Urbana,dados_viseu,Grupo 2 — 3 censos,3,relu,adam,True,1.6316360064291022,2022,23.41,Valor
Viseu,dados_viseu__populacao_rural,População Rural,dados_viseu,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6655107148968279,2000,37.6,Valor
Viseu,dados_viseu__populacao_rural,População Rural,dados_viseu,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6655107148968279,2010,36.896,Valor
Viseu,dados_viseu__populacao_rural,População Rural,dados_viseu,Grupo 2 — 3 censos,3,relu,lbfgs,True,0.6655107148968279,2022,34.667,Valor
Viseu,dados_viseu__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_viseu,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,1.12,Valor
Viseu,dados_viseu__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_viseu,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,2.84,Valor
Viseu,dados_viseu__populacao_de_mulheres,População de Mulheres,dados_viseu,Grupo 2 — 3 censos,3,relu,adam,True,1.0459891426383088,2000,24.81,Valor
Viseu,dados_viseu__populacao_de_mulheres,População de Mulheres,dados_viseu,Grupo 2 — 3 censos,3,relu,adam,True,1.0459891426383088,2010,27.42,Valor
Viseu,dados_viseu__populacao_de_mulheres,População de Mulheres,dados_viseu,Grupo 2 — 3 censos,3,relu,adam,True,1.0459891426383088,2022,28.41,Valor
Viseu,dados_viseu__populacao_de_homens,População de Homens,dados_viseu,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.0701629726794917,2000,27.0,Valor
Viseu,dados_viseu__populacao_de_homens,População de Homens,dados_viseu,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.0701629726794917,2010,29.296,Valor
Viseu,dados_viseu__populacao_de_homens,População de Homens,dados_viseu,Grupo 2 — 3 censos,3,tanh,lbfgs,True,1.0701629726794917,2022,29.667,Valor
