municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Vitória do Xingu,dados_vitoria_do_xingu__populacao_total,População Total,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,relu,adam,True,1.4289456446680795,2000,9.368,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_total,População Total,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,relu,adam,True,1.4289456446680795,2010,13.431,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_total,População Total,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,relu,adam,True,1.4289456446680795,2022,15.26,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_urbana,População Urbana,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,relu,adam,True,0.7759146930002544,2000,4.12,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_urbana,População Urbana,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,relu,adam,True,0.7759146930002544,2010,6.82,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_urbana,População Urbana,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,relu,adam,True,0.7759146930002544,2022,8.91,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_rural,População Rural,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,logistic,sgd,True,0.8182081838144395,2000,5.248,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_rural,População Rural,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,logistic,sgd,True,0.8182081838144395,2010,6.611,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_rural,População Rural,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,logistic,sgd,True,0.8182081838144395,2022,6.35,Valor
Vitória do Xingu,dados_vitoria_do_xingu__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_vitoria_do_xingu,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,0.0,Valor
Vitória do Xingu,dados_vitoria_do_xingu__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_vitoria_do_xingu,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,0.0,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_de_mulheres,População de Mulheres,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,relu,adam,True,0.6762058465269633,2000,4.32,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_de_mulheres,População de Mulheres,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,relu,adam,True,0.6762058465269633,2010,6.31,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_de_mulheres,População de Mulheres,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,relu,adam,True,0.6762058465269633,2022,7.24,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_de_homens,População de Homens,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,relu,adam,True,0.7527397981411174,2000,5.048,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_de_homens,População de Homens,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,relu,adam,True,0.7527397981411174,2010,7.121,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_de_homens,População de Homens,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,relu,adam,True,0.7527397981411174,2022,8.02,Valor
Vitória do Xingu,dados_vitoria_do_xingu__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,relu,adam,True,1.2415455983973942,2000,116.9,Valor
Vitória do Xingu,dados_vitoria_do_xingu__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,relu,adam,True,1.2415455983973942,2010,112.9,Valor
Vitória do Xingu,dados_vitoria_do_xingu__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,relu,adam,True,1.2415455983973942,2022,110.8,Valor
Vitória do Xingu,dados_vitoria_do_xingu__idade_mediana,Idade Mediana,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,identity,adam,True,1.8270221474525943,2000,21.0,Valor
Vitória do Xingu,dados_vitoria_do_xingu__idade_mediana,Idade Mediana,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,identity,adam,True,1.8270221474525943,2010,24.0,Valor
Vitória do Xingu,dados_vitoria_do_xingu__idade_mediana,Idade Mediana,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,identity,adam,True,1.8270221474525943,2022,30.0,Valor
Vitória do Xingu,dados_vitoria_do_xingu__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.927648023768424,2000,6.8,Valor
Vitória do Xingu,dados_vitoria_do_xingu__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.927648023768424,2010,12.4,Valor
Vitória do Xingu,dados_vitoria_do_xingu__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,relu,lbfgs,True,5.927648023768424,2022,28.6,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_parda,População Parda,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,relu,adam,True,1.2059802434039328,2000,6.12,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_parda,População Parda,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,relu,adam,True,1.2059802434039328,2010,9.42,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_parda,População Parda,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,relu,adam,True,1.2059802434039328,2022,10.84,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_branca,População Branca,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,relu,adam,True,0.13645804066714007,2000,2.34,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_branca,População Branca,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,relu,adam,True,0.13645804066714007,2010,2.81,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_branca,População Branca,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,relu,adam,True,0.13645804066714007,2022,3.12,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_preta,População Preta,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,relu,adam,True,78.85838878018205,2000,510.0,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_preta,População Preta,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,relu,adam,True,78.85838878018205,2010,780.0,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_preta,População Preta,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,relu,adam,True,78.85838878018205,2022,940.0,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_amarela,População Amarela,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,logistic,sgd,True,66.03647420168217,2000,140.0,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_amarela,População Amarela,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,logistic,sgd,True,66.03647420168217,2010,180.0,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_amarela,População Amarela,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,logistic,sgd,True,66.03647420168217,2022,60.0,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_indigena,População Indígena,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,logistic,sgd,True,34.01653869104512,2000,258.0,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_indigena,População Indígena,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,logistic,sgd,True,34.01653869104512,2010,241.0,Valor
Vitória do Xingu,dados_vitoria_do_xingu__populacao_indigena,População Indígena,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,logistic,sgd,True,34.01653869104512,2022,300.0,Valor
Vitória do Xingu,dados_vitoria_do_xingu__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_vitoria_do_xingu,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2000,148.2,Valor
Vitória do Xingu,dados_vitoria_do_xingu__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_vitoria_do_xingu,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,482.4,Valor
Vitória do Xingu,dados_vitoria_do_xingu__apenas_1_trabalho,Apenas 1 trabalho,dados_vitoria_do_xingu,Grupo 2 — 3 censos,3,logistic,sgd,True,1.1886548058737862,2000,95.4,Valor
