municipio,indicador_id,indicador_nome,df_origem,grupo_censo,n_censos,ativacao,solver,auto_selecionado,loocv_mae,ano,valor,unidade_medida
Óbidos,dados_obidos__populacao_total,População Total,dados_obidos,Grupo 1 — 4 censos,4,relu,adam,True,1.0786444139850957,1991,42.12,Valor
Óbidos,dados_obidos__populacao_total,População Total,dados_obidos,Grupo 1 — 4 censos,4,relu,adam,True,1.0786444139850957,2000,46.499,Valor
Óbidos,dados_obidos__populacao_total,População Total,dados_obidos,Grupo 1 — 4 censos,4,relu,adam,True,1.0786444139850957,2010,49.6,Valor
Óbidos,dados_obidos__populacao_total,População Total,dados_obidos,Grupo 1 — 4 censos,4,relu,adam,True,1.0786444139850957,2022,52.229,Valor
Óbidos,dados_obidos__populacao_urbana,População Urbana,dados_obidos,Grupo 2 — 3 censos,3,relu,adam,True,0.755259349429212,2000,23.82,Valor
Óbidos,dados_obidos__populacao_urbana,População Urbana,dados_obidos,Grupo 2 — 3 censos,3,relu,adam,True,0.755259349429212,2010,26.42,Valor
Óbidos,dados_obidos__populacao_urbana,População Urbana,dados_obidos,Grupo 2 — 3 censos,3,relu,adam,True,0.755259349429212,2022,28.12,Valor
Óbidos,dados_obidos__populacao_rural,População Rural,dados_obidos,Grupo 2 — 3 censos,3,identity,adam,True,0.2495648128280905,2000,22.679,Valor
Óbidos,dados_obidos__populacao_rural,População Rural,dados_obidos,Grupo 2 — 3 censos,3,identity,adam,True,0.2495648128280905,2010,23.18,Valor
Óbidos,dados_obidos__populacao_rural,População Rural,dados_obidos,Grupo 2 — 3 censos,3,identity,adam,True,0.2495648128280905,2022,24.109,Valor
Óbidos,dados_obidos__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_obidos,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2010,740.0,Valor
Óbidos,dados_obidos__pop_em_favelas_comunidades_urbanas,Pop. em Favelas / Comunidades Urbanas,dados_obidos,Grupo 3 — 2 censos,2,relu,lbfgs,False,,2022,1.92,Valor
Óbidos,dados_obidos__populacao_de_mulheres,População de Mulheres,dados_obidos,Grupo 2 — 3 censos,3,identity,adam,True,0.40287138380133075,2000,22.82,Valor
Óbidos,dados_obidos__populacao_de_mulheres,População de Mulheres,dados_obidos,Grupo 2 — 3 censos,3,identity,adam,True,0.40287138380133075,2010,24.42,Valor
Óbidos,dados_obidos__populacao_de_mulheres,População de Mulheres,dados_obidos,Grupo 2 — 3 censos,3,identity,adam,True,0.40287138380133075,2022,25.81,Valor
Óbidos,dados_obidos__populacao_de_homens,População de Homens,dados_obidos,Grupo 2 — 3 censos,3,identity,adam,True,0.42739940737362997,2000,23.679,Valor
Óbidos,dados_obidos__populacao_de_homens,População de Homens,dados_obidos,Grupo 2 — 3 censos,3,identity,adam,True,0.42739940737362997,2010,25.18,Valor
Óbidos,dados_obidos__populacao_de_homens,População de Homens,dados_obidos,Grupo 2 — 3 censos,3,identity,adam,True,0.42739940737362997,2022,26.419,Valor
Óbidos,dados_obidos__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_obidos,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.10676664928472235,2000,103.8,Valor
Óbidos,dados_obidos__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_obidos,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.10676664928472235,2010,103.1,Valor
Óbidos,dados_obidos__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_obidos,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.10676664928472235,2022,102.4,Valor
Óbidos,dados_obidos__idade_mediana,Idade Mediana,dados_obidos,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.1525240142060819,2000,18.0,Valor
Óbidos,dados_obidos__idade_mediana,Idade Mediana,dados_obidos,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.1525240142060819,2010,22.0,Valor
Óbidos,dados_obidos__idade_mediana,Idade Mediana,dados_obidos,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.1525240142060819,2022,27.0,Valor
Óbidos,dados_obidos__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_obidos,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.825783722734328,2000,5.6,Valor
Óbidos,dados_obidos__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_obidos,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.825783722734328,2010,9.4,Valor
Óbidos,dados_obidos__indice_de_envelhecimento_60,Índice de Envelhecimento (60+),dados_obidos,Grupo 2 — 3 censos,3,relu,lbfgs,True,4.825783722734328,2022,22.4,Valor
Óbidos,dados_obidos__populacao_parda,População Parda,dados_obidos,Grupo 2 — 3 censos,3,relu,adam,True,1.5722552306805848,2000,32.42,Valor
Óbidos,dados_obidos__populacao_parda,População Parda,dados_obidos,Grupo 2 — 3 censos,3,relu,adam,True,1.5722552306805848,2010,37.82,Valor
Óbidos,dados_obidos__populacao_parda,População Parda,dados_obidos,Grupo 2 — 3 censos,3,relu,adam,True,1.5722552306805848,2022,41.21,Valor
Óbidos,dados_obidos__populacao_branca,População Branca,dados_obidos,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.27606843523491964,2000,8.42,Valor
Óbidos,dados_obidos__populacao_branca,População Branca,dados_obidos,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.27606843523491964,2010,7.21,Valor
Óbidos,dados_obidos__populacao_branca,População Branca,dados_obidos,Grupo 2 — 3 censos,3,identity,lbfgs,True,0.27606843523491964,2022,6.12,Valor
Óbidos,dados_obidos__populacao_preta,População Preta,dados_obidos,Grupo 2 — 3 censos,3,logistic,lbfgs,True,0.3503128536524652,2000,3.12,Valor
Óbidos,dados_obidos__populacao_preta,População Preta,dados_obidos,Grupo 2 — 3 censos,3,logistic,lbfgs,True,0.3503128536524652,2010,3.98,Valor
Óbidos,dados_obidos__populacao_preta,População Preta,dados_obidos,Grupo 2 — 3 censos,3,logistic,lbfgs,True,0.3503128536524652,2022,4.28,Valor
Óbidos,dados_obidos__populacao_amarela,População Amarela,dados_obidos,Grupo 2 — 3 censos,3,logistic,sgd,True,26.41461130262901,2000,90.0,Valor
Óbidos,dados_obidos__populacao_amarela,População Amarela,dados_obidos,Grupo 2 — 3 censos,3,logistic,sgd,True,26.41461130262901,2010,110.0,Valor
Óbidos,dados_obidos__populacao_amarela,População Amarela,dados_obidos,Grupo 2 — 3 censos,3,logistic,sgd,True,26.41461130262901,2022,60.0,Valor
Óbidos,dados_obidos__populacao_indigena,População Indígena,dados_obidos,Grupo 2 — 3 censos,3,tanh,lbfgs,True,222.79146668622113,2000,2.449,Valor
Óbidos,dados_obidos__populacao_indigena,População Indígena,dados_obidos,Grupo 2 — 3 censos,3,tanh,lbfgs,True,222.79146668622113,2010,480.0,Valor
Óbidos,dados_obidos__populacao_indigena,População Indígena,dados_obidos,Grupo 2 — 3 censos,3,tanh,lbfgs,True,222.79146668622113,2022,559.0,Valor
Óbidos,dados_obidos__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_obidos,Grupo 2 — 3 censos,3,relu,lbfgs,True,151.37927252655172,2000,124.8,Valor
Óbidos,dados_obidos__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_obidos,Grupo 2 — 3 censos,3,relu,lbfgs,True,151.37927252655172,2010,274.6,Valor
