municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Acará,dados_acara__anos_de_estudo_media,Anos de Estudo (Média),dados_acara,Grupo 1 — 4 censos,identity,adam,True,0.17838677851088802,2030,7.862855337617123
Acará,dados_acara__anos_de_estudo_media,Anos de Estudo (Média),dados_acara,Grupo 1 — 4 censos,identity,adam,True,0.17838677851088802,2040,9.37001184852025
Acará,dados_acara__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_acara,Grupo 1 — 4 censos,tanh,adam,True,12.61198037508143,2030,247.62671015025796
Acará,dados_acara__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_acara,Grupo 1 — 4 censos,tanh,adam,True,12.61198037508143,2040,249.66337745069234
Acará,dados_acara__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_acara,Grupo 1 — 4 censos,identity,lbfgs,True,0.662673341813588,2030,18.64187858095547
Acará,dados_acara__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_acara,Grupo 1 — 4 censos,identity,lbfgs,True,0.662673341813588,2040,21.612885219447584
Acará,dados_acara__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_acara,Grupo 1 — 4 censos,identity,adam,True,0.1549709554401018,2030,7.377635257321609
Acará,dados_acara__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_acara,Grupo 1 — 4 censos,identity,adam,True,0.1549709554401018,2040,8.818853454962895
Acará,dados_acara__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_acara,Grupo 1 — 4 censos,identity,adam,True,0.2044237065366037,2030,8.348111073988969
Acará,dados_acara__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_acara,Grupo 1 — 4 censos,identity,adam,True,0.2044237065366037,2040,9.921237135676236
