municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Alenquer,dados_alenquer__anos_de_estudo_media,Anos de Estudo (Média),dados_alenquer,Grupo 1 — 4 censos,identity,adam,True,0.18071829937343598,2030,9.146877384590347
Alenquer,dados_alenquer__anos_de_estudo_media,Anos de Estudo (Média),dados_alenquer,Grupo 1 — 4 censos,identity,adam,True,0.18071829937343598,2040,10.750318252525261
Alenquer,dados_alenquer__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_alenquer,Grupo 1 — 4 censos,logistic,lbfgs,True,13.27120648215761,2030,238.55258901034705
Alenquer,dados_alenquer__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_alenquer,Grupo 1 — 4 censos,logistic,lbfgs,True,13.27120648215761,2040,245.33975544946625
Alenquer,dados_alenquer__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_alenquer,Grupo 1 — 4 censos,relu,lbfgs,True,2.436006198046886,2030,28.0449541070369
Alenquer,dados_alenquer__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_alenquer,Grupo 1 — 4 censos,relu,lbfgs,True,2.436006198046886,2040,34.81764773726887
Alenquer,dados_alenquer__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_alenquer,Grupo 1 — 4 censos,identity,adam,True,0.15730254800368781,2030,8.661650509091258
Alenquer,dados_alenquer__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_alenquer,Grupo 1 — 4 censos,identity,adam,True,0.15730254800368781,2040,10.199147129886148
Alenquer,dados_alenquer__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_alenquer,Grupo 1 — 4 censos,identity,lbfgs,True,0.21353234351747152,2030,9.638566248677716
Alenquer,dados_alenquer__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_alenquer,Grupo 1 — 4 censos,identity,lbfgs,True,0.21353234351747152,2040,11.314334991200734
Alenquer,dados_alenquer__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_alenquer,Grupo 1 — 4 censos,relu,adam,True,0.15687287529587346,2030,2.733769008479939
Alenquer,dados_alenquer__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_alenquer,Grupo 1 — 4 censos,relu,adam,True,0.15687287529587346,2040,2.245390812534564
Alenquer,dados_alenquer__populacao_total,População Total,dados_alenquer,Grupo 1 — 4 censos,relu,sgd,True,5.207865689953142,2030,73.22493278312086
Alenquer,dados_alenquer__populacao_total,População Total,dados_alenquer,Grupo 1 — 4 censos,relu,sgd,True,5.207865689953142,2040,80.00164638495269
Alenquer,dados_alenquer__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_alenquer,Grupo 1 — 4 censos,logistic,lbfgs,True,1.5862104799833645,2030,91.66457484926076
Alenquer,dados_alenquer__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_alenquer,Grupo 1 — 4 censos,logistic,lbfgs,True,1.5862104799833645,2040,93.06906963851809
Alenquer,dados_alenquer__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_alenquer,Grupo 1 — 4 censos,relu,lbfgs,True,2.4621562324430104,2030,28.300552272638363
Alenquer,dados_alenquer__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_alenquer,Grupo 1 — 4 censos,relu,lbfgs,True,2.4621562324430104,2040,35.104540473678526
Alenquer,dados_alenquer__2_trabalhos,2 trabalhos,dados_alenquer,Grupo 2 — 3 censos,tanh,adam,True,1.1123659976134737,2030,5.34941159410382
Alenquer,dados_alenquer__2_trabalhos,2 trabalhos,dados_alenquer,Grupo 2 — 3 censos,tanh,adam,True,1.1123659976134737,2040,5.436725517199181
Alenquer,dados_alenquer__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_alenquer,Grupo 2 — 3 censos,tanh,adam,True,0.161033199897907,2030,0.8532083159839907
Alenquer,dados_alenquer__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_alenquer,Grupo 2 — 3 censos,tanh,adam,True,0.161033199897907,2040,0.8742845123278303
Alenquer,dados_alenquer__apenas_1_trabalho,Apenas 1 trabalho,dados_alenquer,Grupo 2 — 3 censos,logistic,sgd,True,1.4197811682623087,2030,95.53466054258242
Alenquer,dados_alenquer__apenas_1_trabalho,Apenas 1 trabalho,dados_alenquer,Grupo 2 — 3 censos,logistic,sgd,True,1.4197811682623087,2040,95.52899567696169
Alenquer,dados_alenquer__casais_com_filhos,Casais com filhos,dados_alenquer,Grupo 2 — 3 censos,identity,lbfgs,True,1.250694392908791,2030,37.827214311501784
