municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Ananindeua,educacao__anos_de_estudo_media,Anos de Estudo (Média),educacao,Grupo 1 — 4 censos,relu,adam,True,0.3118216845268884,2030,11.211884491260676
Ananindeua,educacao__anos_de_estudo_media,Anos de Estudo (Média),educacao,Grupo 1 — 4 censos,relu,adam,True,0.3118216845268884,2040,12.076590642702573
Ananindeua,domicilios__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),domicilios,Grupo 1 — 4 censos,logistic,sgd,True,301.48552791279167,2030,459.84794714057716
Ananindeua,domicilios__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),domicilios,Grupo 1 — 4 censos,logistic,sgd,True,301.48552791279167,2040,458.88816444256753
Ananindeua,domicilios__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,domicilios,Grupo 1 — 4 censos,relu,adam,True,11.821373747507021,2030,208.85927475999534
Ananindeua,domicilios__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,domicilios,Grupo 1 — 4 censos,relu,adam,True,11.821373747507021,2040,236.29410846979505
Ananindeua,educacao__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,educacao,Grupo 1 — 4 censos,relu,adam,True,0.30488853922564085,2030,10.796089033222131
Ananindeua,educacao__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,educacao,Grupo 1 — 4 censos,relu,adam,True,0.30488853922564085,2040,11.652838542237621
Ananindeua,educacao__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,educacao,Grupo 1 — 4 censos,relu,adam,True,0.3628646992368125,2030,11.630490608879233
Ananindeua,educacao__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,educacao,Grupo 1 — 4 censos,relu,adam,True,0.3628646992368125,2040,12.502322781757758
Ananindeua,domicilios__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,domicilios,Grupo 1 — 4 censos,relu,adam,True,0.21526373027285983,2030,2.572273645088991
Ananindeua,domicilios__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,domicilios,Grupo 1 — 4 censos,relu,adam,True,0.21526373027285983,2040,2.1435551887234983
Ananindeua,educacao__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),educacao,Grupo 1 — 4 censos,logistic,lbfgs,True,1.3058161879920718,2030,97.53192190751048
Ananindeua,educacao__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),educacao,Grupo 1 — 4 censos,logistic,lbfgs,True,1.3058161879920718,2040,97.8027592296062
