municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Anapu,dados_anapu__2_trabalhos,2 trabalhos,dados_anapu,Grupo 2 — 3 censos,relu,lbfgs,True,0.7209995653504594,2030,6.142350118102939
Anapu,dados_anapu__2_trabalhos,2 trabalhos,dados_anapu,Grupo 2 — 3 censos,relu,lbfgs,True,0.7209995653504594,2040,7.280516573440508
Anapu,dados_anapu__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_anapu,Grupo 2 — 3 censos,relu,adam,True,0.10722708206803089,2030,0.6100811088051615
Anapu,dados_anapu__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_anapu,Grupo 2 — 3 censos,relu,adam,True,0.10722708206803089,2040,0.6226527481240001
Anapu,dados_anapu__anos_de_estudo_media,Anos de Estudo (Média),dados_anapu,Grupo 2 — 3 censos,identity,adam,True,0.3038451198670116,2030,7.699573047176505
Anapu,dados_anapu__anos_de_estudo_media,Anos de Estudo (Média),dados_anapu,Grupo 2 — 3 censos,identity,adam,True,0.3038451198670116,2040,9.505794325270251
Anapu,dados_anapu__apenas_1_trabalho,Apenas 1 trabalho,dados_anapu,Grupo 2 — 3 censos,relu,lbfgs,True,0.49104003369116356,2030,92.887882530033
Anapu,dados_anapu__apenas_1_trabalho,Apenas 1 trabalho,dados_anapu,Grupo 2 — 3 censos,relu,lbfgs,True,0.49104003369116356,2040,91.25242170279706
Anapu,dados_anapu__casais_com_filhos,Casais com filhos,dados_anapu,Grupo 2 — 3 censos,identity,lbfgs,True,2.5013932768027254,2030,44.05451864009892
Anapu,dados_anapu__casais_com_filhos,Casais com filhos,dados_anapu,Grupo 2 — 3 censos,identity,lbfgs,True,2.5013932768027254,2040,34.186353831024
Anapu,dados_anapu__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_anapu,Grupo 2 — 3 censos,logistic,sgd,True,0.528292226052581,2030,9.734784285875683
Anapu,dados_anapu__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_anapu,Grupo 2 — 3 censos,logistic,sgd,True,0.528292226052581,2040,9.732626924702656
Anapu,dados_anapu__casais_sem_filhos,Casais sem filhos,dados_anapu,Grupo 2 — 3 censos,identity,adam,True,0.9136427880013146,2030,11.27593007899431
Anapu,dados_anapu__casais_sem_filhos,Casais sem filhos,dados_anapu,Grupo 2 — 3 censos,identity,adam,True,0.9136427880013146,2040,13.827368360582774
Anapu,dados_anapu__conta_propria,Conta própria,dados_anapu,Grupo 2 — 3 censos,identity,adam,True,0.516510360918916,2030,11.568930121015534
Anapu,dados_anapu__conta_propria,Conta própria,dados_anapu,Grupo 2 — 3 censos,identity,adam,True,0.516510360918916,2040,14.739103431982734
Anapu,dados_anapu__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_anapu,Grupo 2 — 3 censos,relu,lbfgs,True,22.02794852610334,2030,228.4104076444759
Anapu,dados_anapu__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_anapu,Grupo 2 — 3 censos,relu,lbfgs,True,22.02794852610334,2040,262.633992347069
Anapu,dados_anapu__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_anapu,Grupo 2 — 3 censos,identity,lbfgs,True,0.1952316513576978,2030,11.536319602360376
Anapu,dados_anapu__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_anapu,Grupo 2 — 3 censos,identity,lbfgs,True,0.1952316513576978,2040,14.77592459490508
Anapu,dados_anapu__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_anapu,Grupo 2 — 3 censos,identity,adam,True,0.15113227428340004,2030,21.939658892461342
Anapu,dados_anapu__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_anapu,Grupo 2 — 3 censos,identity,adam,True,0.15113227428340004,2040,25.830891714659863
Anapu,dados_anapu__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_anapu,Grupo 2 — 3 censos,identity,adam,True,0.21190129825680218,2030,25.639556097117545
Anapu,dados_anapu__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_anapu,Grupo 2 — 3 censos,identity,adam,True,0.21190129825680218,2040,29.892014560850065
Anapu,dados_anapu__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_anapu,Grupo 2 — 3 censos,identity,lbfgs,True,2.8979551170030966,2030,19.097302942492675
Anapu,dados_anapu__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_anapu,Grupo 2 — 3 censos,identity,lbfgs,True,2.8979551170030966,2040,6.871995603225862
Anapu,dados_anapu__empregador,Empregador,dados_anapu,Grupo 2 — 3 censos,identity,adam,True,57.86228704974969,2030,493.5004271265708
Anapu,dados_anapu__empregador,Empregador,dados_anapu,Grupo 2 — 3 censos,identity,adam,True,57.86228704974969,2040,648.4538374391786
Anapu,dados_anapu__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_anapu,Grupo 2 — 3 censos,relu,adam,True,6.505405053436974,2030,96.02332897712523
Anapu,dados_anapu__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_anapu,Grupo 2 — 3 censos,relu,adam,True,6.505405053436974,2040,100.49003624040587
Anapu,dados_anapu__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_anapu,Grupo 2 — 3 censos,identity,adam,True,5.291119942486572,2030,76.14901621973719
Anapu,dados_anapu__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_anapu,Grupo 2 — 3 censos,identity,adam,True,5.291119942486572,2040,91.6432423244475
Anapu,dados_anapu__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_anapu,Grupo 2 — 3 censos,identity,adam,True,0.08983639320993013,2030,21.833052231619615
Anapu,dados_anapu__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_anapu,Grupo 2 — 3 censos,identity,adam,True,0.08983639320993013,2040,27.355186084013717
