municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Barcarena,dados_barcarena__anos_de_estudo_media,Anos de Estudo (Média),dados_barcarena,Grupo 1 — 4 censos,identity,adam,True,0.24854037034285836,2030,10.870654142753922
Barcarena,dados_barcarena__anos_de_estudo_media,Anos de Estudo (Média),dados_barcarena,Grupo 1 — 4 censos,identity,adam,True,0.24854037034285836,2040,12.576443616187298
Barcarena,dados_barcarena__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_barcarena,Grupo 1 — 4 censos,tanh,sgd,True,39.94250904235077,2030,313.8060381315345
Barcarena,dados_barcarena__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_barcarena,Grupo 1 — 4 censos,tanh,sgd,True,39.94250904235077,2040,317.3142357420785
Barcarena,dados_barcarena__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_barcarena,Grupo 1 — 4 censos,relu,lbfgs,True,2.88307656531288,2030,53.89132813038073
Barcarena,dados_barcarena__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_barcarena,Grupo 1 — 4 censos,relu,lbfgs,True,2.88307656531288,2040,66.70059182256648
Barcarena,dados_barcarena__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_barcarena,Grupo 1 — 4 censos,identity,adam,True,0.23965600146791832,2030,10.427476776270293
Barcarena,dados_barcarena__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_barcarena,Grupo 1 — 4 censos,identity,adam,True,0.23965600146791832,2040,12.094919390333981
Barcarena,dados_barcarena__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_barcarena,Grupo 1 — 4 censos,identity,adam,True,0.25741881547192347,2030,11.313848364141883
Barcarena,dados_barcarena__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_barcarena,Grupo 1 — 4 censos,identity,adam,True,0.25741881547192347,2040,13.057999442681838
Barcarena,dados_barcarena__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_barcarena,Grupo 1 — 4 censos,identity,lbfgs,True,0.1432649561913678,2030,2.5230926298428464
Barcarena,dados_barcarena__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_barcarena,Grupo 1 — 4 censos,identity,lbfgs,True,0.1432649561913678,2040,1.9759263611451927
Barcarena,dados_barcarena__populacao_total,População Total,dados_barcarena,Grupo 1 — 4 censos,logistic,lbfgs,True,4.765192984060059,2030,134.39290403769553
Barcarena,dados_barcarena__populacao_total,População Total,dados_barcarena,Grupo 1 — 4 censos,logistic,lbfgs,True,4.765192984060059,2040,139.11304923877233
Barcarena,dados_barcarena__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_barcarena,Grupo 1 — 4 censos,logistic,lbfgs,True,1.3134441705330389,2030,96.44521735005011
Barcarena,dados_barcarena__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_barcarena,Grupo 1 — 4 censos,logistic,lbfgs,True,1.3134441705330389,2040,97.12958993421645
Barcarena,dados_barcarena__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_barcarena,Grupo 1 — 4 censos,relu,lbfgs,True,2.859335498164031,2030,54.25577308013482
Barcarena,dados_barcarena__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_barcarena,Grupo 1 — 4 censos,relu,lbfgs,True,2.859335498164031,2040,67.14049823192806
Barcarena,dados_barcarena__2_trabalhos,2 trabalhos,dados_barcarena,Grupo 2 — 3 censos,logistic,sgd,True,1.0778572469572831,2030,5.041382741608625
Barcarena,dados_barcarena__2_trabalhos,2 trabalhos,dados_barcarena,Grupo 2 — 3 censos,logistic,sgd,True,1.0778572469572831,2040,5.038693690203356
Barcarena,dados_barcarena__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_barcarena,Grupo 2 — 3 censos,logistic,sgd,True,0.10112432549033919,2030,0.7008618545147849
Barcarena,dados_barcarena__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_barcarena,Grupo 2 — 3 censos,logistic,sgd,True,0.10112432549033919,2040,0.7005656022837713
Barcarena,dados_barcarena__apenas_1_trabalho,Apenas 1 trabalho,dados_barcarena,Grupo 2 — 3 censos,logistic,sgd,True,1.1556382985294438,2030,94.26949451549571
Barcarena,dados_barcarena__apenas_1_trabalho,Apenas 1 trabalho,dados_barcarena,Grupo 2 — 3 censos,logistic,sgd,True,1.1556382985294438,2040,94.26484145912197
Barcarena,dados_barcarena__casais_com_filhos,Casais com filhos,dados_barcarena,Grupo 2 — 3 censos,identity,lbfgs,True,0.930393482700687,2030,35.508016831464914
Barcarena,dados_barcarena__casais_com_filhos,Casais com filhos,dados_barcarena,Grupo 2 — 3 censos,identity,lbfgs,True,0.930393482700687,2040,27.477804275644733
Barcarena,dados_barcarena__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_barcarena,Grupo 2 — 3 censos,logistic,sgd,True,0.8064311060916101,2030,8.30357026796581
Barcarena,dados_barcarena__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_barcarena,Grupo 2 — 3 censos,logistic,sgd,True,0.8064311060916101,2040,8.300510845551306
Barcarena,dados_barcarena__casais_sem_filhos,Casais sem filhos,dados_barcarena,Grupo 2 — 3 censos,identity,lbfgs,True,0.06100869250851796,2030,20.098717238281747
Barcarena,dados_barcarena__casais_sem_filhos,Casais sem filhos,dados_barcarena,Grupo 2 — 3 censos,identity,lbfgs,True,0.06100869250851796,2040,23.736129746891727
Barcarena,dados_barcarena__conta_propria,Conta própria,dados_barcarena,Grupo 2 — 3 censos,identity,adam,True,0.07488122291160959,2030,20.481100596392025
Barcarena,dados_barcarena__conta_propria,Conta própria,dados_barcarena,Grupo 2 — 3 censos,identity,adam,True,0.07488122291160959,2040,25.01647467849901
Barcarena,dados_barcarena__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_barcarena,Grupo 2 — 3 censos,identity,adam,True,1.081547889578274,2030,27.640990057709146
Barcarena,dados_barcarena__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_barcarena,Grupo 2 — 3 censos,identity,adam,True,1.081547889578274,2040,32.187073222619055
Barcarena,dados_barcarena__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_barcarena,Grupo 2 — 3 censos,identity,adam,True,0.7750684842109111,2030,28.127378113803548
Barcarena,dados_barcarena__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_barcarena,Grupo 2 — 3 censos,identity,adam,True,0.7750684842109111,2040,31.737299272160378
Barcarena,dados_barcarena__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_barcarena,Grupo 2 — 3 censos,relu,adam,True,4.468265957955778,2030,12.408222654756546
Barcarena,dados_barcarena__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_barcarena,Grupo 2 — 3 censos,relu,adam,True,4.468265957955778,2040,5.241902173282224
Barcarena,dados_barcarena__empregador,Empregador,dados_barcarena,Grupo 2 — 3 censos,tanh,adam,True,264.4362976446354,2030,-1.0132488361442995
Barcarena,dados_barcarena__empregador,Empregador,dados_barcarena,Grupo 2 — 3 censos,tanh,adam,True,264.4362976446354,2040,12.924310925872419
Barcarena,dados_barcarena__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_barcarena,Grupo 2 — 3 censos,tanh,lbfgs,True,2.6320072920089594,2030,97.85570856600316
Barcarena,dados_barcarena__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_barcarena,Grupo 2 — 3 censos,tanh,lbfgs,True,2.6320072920089594,2040,97.77097786077401
Barcarena,dados_barcarena__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_barcarena,Grupo 2 — 3 censos,relu,adam,True,2.867630066752246,2030,88.33037458317901
Barcarena,dados_barcarena__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_barcarena,Grupo 2 — 3 censos,relu,adam,True,2.867630066752246,2040,91.24296056428483
Barcarena,dados_barcarena__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_barcarena,Grupo 2 — 3 censos,logistic,sgd,True,3.2843379690368537,2030,30.124738241517637
Barcarena,dados_barcarena__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_barcarena,Grupo 2 — 3 censos,logistic,sgd,True,3.2843379690368537,2040,30.11699809983196
Barcarena,dados_barcarena__idhm_educacao_indice_de_desenv_humano,IDHM Educação (Índice de Desenv. Humano),dados_barcarena,Grupo 2 — 3 censos,identity,adam,True,0.03313187817351045,2030,0.9821378686546727
Barcarena,dados_barcarena__idhm_educacao_indice_de_desenv_humano,IDHM Educação (Índice de Desenv. Humano),dados_barcarena,Grupo 2 — 3 censos,identity,adam,True,0.03313187817351045,2040,1.1390772380854095
Barcarena,dados_barcarena__idade_mediana,Idade Mediana,dados_barcarena,Grupo 2 — 3 censos,identity,adam,True,0.9141696451013838,2030,33.46879368938008
Barcarena,dados_barcarena__idade_mediana,Idade Mediana,dados_barcarena,Grupo 2 — 3 censos,identity,adam,True,0.9141696451013838,2040,38.011896464596354
Barcarena,dados_barcarena__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_barcarena,Grupo 2 — 3 censos,tanh,adam,True,462.43887241947596,2030,-2.815265909111531
Barcarena,dados_barcarena__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_barcarena,Grupo 2 — 3 censos,tanh,adam,True,462.43887241947596,2040,21.56347968796257
Barcarena,dados_barcarena__maes_solo_mulheres_sem_conjuge_com_filhos,Mães solo (Mulheres sem cônjuge com filhos),dados_barcarena,Grupo 2 — 3 censos,identity,adam,True,0.1513957028334314,2030,24.143020569785804
Barcarena,dados_barcarena__maes_solo_mulheres_sem_conjuge_com_filhos,Mães solo (Mulheres sem cônjuge com filhos),dados_barcarena,Grupo 2 — 3 censos,identity,adam,True,0.1513957028334314,2040,27.038197477521322
Barcarena,dados_barcarena__maes_solo_vivendo_com_outros_parentes,Mães solo vivendo com outros parentes,dados_barcarena,Grupo 2 — 3 censos,logistic,sgd,True,0.30207216546480886,2030,4.201876975900407
Barcarena,dados_barcarena__maes_solo_vivendo_com_outros_parentes,Mães solo vivendo com outros parentes,dados_barcarena,Grupo 2 — 3 censos,logistic,sgd,True,0.30207216546480886,2040,4.200978154606798
Barcarena,dados_barcarena__media_populacao_amarela,Média: População Amarela,dados_barcarena,Grupo 2 — 3 censos,relu,adam,True,0.6348889457362885,2030,11.329012551465993
Barcarena,dados_barcarena__media_populacao_amarela,Média: População Amarela,dados_barcarena,Grupo 2 — 3 censos,relu,adam,True,0.6348889457362885,2040,12.221030287546094
Barcarena,dados_barcarena__media_populacao_branca,Média: População Branca,dados_barcarena,Grupo 2 — 3 censos,relu,adam,True,0.670799034068402,2030,10.78158570931881
Barcarena,dados_barcarena__media_populacao_branca,Média: População Branca,dados_barcarena,Grupo 2 — 3 censos,relu,adam,True,0.670799034068402,2040,11.496703155761951
Barcarena,dados_barcarena__media_populacao_indigena,Média: População Indígena,dados_barcarena,Grupo 2 — 3 censos,identity,lbfgs,True,9.038179016348143e-05,2030,8.999924184602287
Barcarena,dados_barcarena__media_populacao_indigena,Média: População Indígena,dados_barcarena,Grupo 2 — 3 censos,identity,lbfgs,True,9.038179016348143e-05,2040,10.499944745555288
Barcarena,dados_barcarena__media_populacao_preta_parda,Média: População Preta / Parda,dados_barcarena,Grupo 2 — 3 censos,identity,adam,True,0.27346060788031085,2030,10.449615742458855
Barcarena,dados_barcarena__media_populacao_preta_parda,Média: População Preta / Parda,dados_barcarena,Grupo 2 — 3 censos,identity,adam,True,0.27346060788031085,2040,12.075214892743226
Barcarena,dados_barcarena__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_barcarena,Grupo 2 — 3 censos,tanh,adam,True,384.7024211257735,2030,883.4607386199707
Barcarena,dados_barcarena__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_barcarena,Grupo 2 — 3 censos,tanh,adam,True,384.7024211257735,2040,924.439781820356
Barcarena,dados_barcarena__pais_solo_homens_sem_conjuge_com_filhos,Pais solo (Homens sem cônjuge com filhos),dados_barcarena,Grupo 2 — 3 censos,identity,adam,True,0.0607690239734023,2030,3.599914609435301
Barcarena,dados_barcarena__pais_solo_homens_sem_conjuge_com_filhos,Pais solo (Homens sem cônjuge com filhos),dados_barcarena,Grupo 2 — 3 censos,identity,adam,True,0.0607690239734023,2040,3.96115886505405
Barcarena,dados_barcarena__pais_solo_vivendo_com_outros_parentes,Pais solo vivendo com outros parentes,dados_barcarena,Grupo 2 — 3 censos,logistic,sgd,True,0.1287991758390253,2030,0.9673978121265692
Barcarena,dados_barcarena__pais_solo_vivendo_com_outros_parentes,Pais solo vivendo com outros parentes,dados_barcarena,Grupo 2 — 3 censos,logistic,sgd,True,0.1287991758390253,2040,0.9669810336232432
Barcarena,dados_barcarena__populacao_amarela,População Amarela,dados_barcarena,Grupo 2 — 3 censos,logistic,sgd,True,231.7677066602333,2030,235.4024412903352
Barcarena,dados_barcarena__populacao_amarela,População Amarela,dados_barcarena,Grupo 2 — 3 censos,logistic,sgd,True,231.7677066602333,2040,234.73087882112844
Barcarena,dados_barcarena__populacao_branca,População Branca,dados_barcarena,Grupo 2 — 3 censos,relu,adam,True,2.5669324932718447,2030,22.464168166820457
Barcarena,dados_barcarena__populacao_branca,População Branca,dados_barcarena,Grupo 2 — 3 censos,relu,adam,True,2.5669324932718447,2040,23.71578034408155
Barcarena,dados_barcarena__populacao_indigena,População Indígena,dados_barcarena,Grupo 2 — 3 censos,logistic,sgd,True,172.11205617880088,2030,380.9524880735496
Barcarena,dados_barcarena__populacao_indigena,População Indígena,dados_barcarena,Grupo 2 — 3 censos,logistic,sgd,True,172.11205617880088,2040,380.5269155390702
Barcarena,dados_barcarena__populacao_indigena_total,População Indígena Total,dados_barcarena,Grupo 2 — 3 censos,logistic,sgd,True,172.11205617880088,2030,380.9524880735496
Barcarena,dados_barcarena__populacao_indigena_total,População Indígena Total,dados_barcarena,Grupo 2 — 3 censos,logistic,sgd,True,172.11205617880088,2040,380.5269155390702
Barcarena,dados_barcarena__populacao_parda,População Parda,dados_barcarena,Grupo 2 — 3 censos,relu,adam,True,7.877133111506626,2030,101.66072999327682
