municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Belterra,dados_belterra__2_trabalhos,2 trabalhos,dados_belterra,Grupo 2 — 3 censos,relu,lbfgs,True,0.9512280897512316,2030,8.326227842504714
Belterra,dados_belterra__2_trabalhos,2 trabalhos,dados_belterra,Grupo 2 — 3 censos,relu,lbfgs,True,0.9512280897512316,2040,9.805243674610203
Belterra,dados_belterra__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_belterra,Grupo 2 — 3 censos,identity,adam,True,0.015192255993350464,2030,0.8749786523588253
Belterra,dados_belterra__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_belterra,Grupo 2 — 3 censos,identity,adam,True,0.015192255993350464,2040,0.9652897162635127
Belterra,dados_belterra__anos_de_estudo_media,Anos de Estudo (Média),dados_belterra,Grupo 2 — 3 censos,relu,adam,True,0.7245203610161046,2030,8.516214725878353
Belterra,dados_belterra__anos_de_estudo_media,Anos de Estudo (Média),dados_belterra,Grupo 2 — 3 censos,relu,adam,True,0.7245203610161046,2040,9.3954980393577
Belterra,dados_belterra__apenas_1_trabalho,Apenas 1 trabalho,dados_belterra,Grupo 2 — 3 censos,relu,lbfgs,True,0.7637233124058677,2030,90.39165854697214
Belterra,dados_belterra__apenas_1_trabalho,Apenas 1 trabalho,dados_belterra,Grupo 2 — 3 censos,relu,lbfgs,True,0.7637233124058677,2040,88.20488820907659
Belterra,dados_belterra__casais_com_filhos,Casais com filhos,dados_belterra,Grupo 2 — 3 censos,identity,lbfgs,True,2.3031117151332317,2030,38.63311990761488
Belterra,dados_belterra__casais_com_filhos,Casais com filhos,dados_belterra,Grupo 2 — 3 censos,identity,lbfgs,True,2.3031117151332317,2040,28.943533372390718
Belterra,dados_belterra__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_belterra,Grupo 2 — 3 censos,logistic,sgd,True,0.33525751081263877,2030,7.469004527415861
Belterra,dados_belterra__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_belterra,Grupo 2 — 3 censos,logistic,sgd,True,0.33525751081263877,2040,7.468014313817577
Belterra,dados_belterra__casais_sem_filhos,Casais sem filhos,dados_belterra,Grupo 2 — 3 censos,identity,adam,True,1.3094317294785363,2030,15.117253449613223
Belterra,dados_belterra__casais_sem_filhos,Casais sem filhos,dados_belterra,Grupo 2 — 3 censos,identity,adam,True,1.3094317294785363,2040,18.309693707403188
Belterra,dados_belterra__conta_propria,Conta própria,dados_belterra,Grupo 2 — 3 censos,relu,adam,True,0.22144571910038113,2030,4.360439035875507
Belterra,dados_belterra__conta_propria,Conta própria,dados_belterra,Grupo 2 — 3 censos,relu,adam,True,0.22144571910038113,2040,4.545717820768656
Belterra,dados_belterra__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_belterra,Grupo 2 — 3 censos,logistic,sgd,True,6.7165262687050005,2030,103.36989060632845
Belterra,dados_belterra__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_belterra,Grupo 2 — 3 censos,logistic,sgd,True,6.7165262687050005,2040,103.34905168116215
Belterra,dados_belterra__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_belterra,Grupo 2 — 3 censos,identity,adam,True,0.39136297895423217,2030,6.501919009698849
Belterra,dados_belterra__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_belterra,Grupo 2 — 3 censos,identity,adam,True,0.39136297895423217,2040,7.667802308414327
Belterra,dados_belterra__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_belterra,Grupo 2 — 3 censos,identity,lbfgs,True,0.12201875477791191,2030,24.19758608598957
Belterra,dados_belterra__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_belterra,Grupo 2 — 3 censos,identity,lbfgs,True,0.12201875477791191,2040,28.4723699992948
Belterra,dados_belterra__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_belterra,Grupo 2 — 3 censos,identity,adam,True,0.05971530977326248,2030,26.886464217359485
