municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Benevides,dados_benevides__anos_de_estudo_media,Anos de Estudo (Média),dados_benevides,Grupo 1 — 4 censos,identity,lbfgs,True,0.1819855500903621,2030,10.620775003560066
Benevides,dados_benevides__anos_de_estudo_media,Anos de Estudo (Média),dados_benevides,Grupo 1 — 4 censos,identity,lbfgs,True,0.1819855500903621,2040,12.412922556765293
Benevides,dados_benevides__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_benevides,Grupo 1 — 4 censos,tanh,lbfgs,True,7.400275555638416,2030,231.91496108163355
Benevides,dados_benevides__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_benevides,Grupo 1 — 4 censos,tanh,lbfgs,True,7.400275555638416,2040,232.2471352570321
Benevides,dados_benevides__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_benevides,Grupo 1 — 4 censos,relu,adam,True,1.1772435180196774,2030,25.614415680274853
Benevides,dados_benevides__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_benevides,Grupo 1 — 4 censos,relu,adam,True,1.1772435180196774,2040,29.722204418089444
Benevides,dados_benevides__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_benevides,Grupo 1 — 4 censos,identity,lbfgs,True,0.11834360616135198,2030,10.135326447588294
Benevides,dados_benevides__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_benevides,Grupo 1 — 4 censos,identity,lbfgs,True,0.11834360616135198,2040,11.861306524361707
Benevides,dados_benevides__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_benevides,Grupo 1 — 4 censos,identity,lbfgs,True,0.24562728566363834,2030,11.106223412092454
Benevides,dados_benevides__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_benevides,Grupo 1 — 4 censos,identity,lbfgs,True,0.24562728566363834,2040,12.964538534179631
Benevides,dados_benevides__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_benevides,Grupo 1 — 4 censos,relu,adam,True,0.21526373027285983,2030,2.572273645088991
Benevides,dados_benevides__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_benevides,Grupo 1 — 4 censos,relu,adam,True,0.21526373027285983,2040,2.1435551887234983
Benevides,dados_benevides__populacao_total,População Total,dados_benevides,Grupo 1 — 4 censos,relu,adam,True,1.928283413290245,2030,70.89431961751089
Benevides,dados_benevides__populacao_total,População Total,dados_benevides,Grupo 1 — 4 censos,relu,adam,True,1.928283413290245,2040,78.39326314321627
Benevides,dados_benevides__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_benevides,Grupo 1 — 4 censos,logistic,lbfgs,True,1.612631018941876,2030,96.6495718942113
