municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Bonito,dados_bonito__anos_de_estudo_media,Anos de Estudo (Média),dados_bonito,Grupo 1 — 4 censos,identity,lbfgs,True,0.15504495713409483,2030,9.9519456444278
Bonito,dados_bonito__anos_de_estudo_media,Anos de Estudo (Média),dados_bonito,Grupo 1 — 4 censos,identity,lbfgs,True,0.15504495713409483,2040,11.550753376064177
Bonito,dados_bonito__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_bonito,Grupo 1 — 4 censos,identity,lbfgs,True,0.12580102302297358,2030,9.508635216364182
Bonito,dados_bonito__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_bonito,Grupo 1 — 4 censos,identity,lbfgs,True,0.12580102302297358,2040,11.068962521087636
Bonito,dados_bonito__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_bonito,Grupo 1 — 4 censos,identity,lbfgs,True,0.18428872622106285,2030,10.39525598673518
Bonito,dados_bonito__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_bonito,Grupo 1 — 4 censos,identity,lbfgs,True,0.18428872622106285,2040,12.032544198956307
Bonito,dados_bonito__populacao_total,População Total,dados_bonito,Grupo 1 — 4 censos,tanh,sgd,True,1.0397397904943495,2030,12.888510519857068
Bonito,dados_bonito__populacao_total,População Total,dados_bonito,Grupo 1 — 4 censos,tanh,sgd,True,1.0397397904943495,2040,12.772129008571243
Bonito,dados_bonito__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_bonito,Grupo 1 — 4 censos,logistic,lbfgs,True,1.3595513307531597,2030,91.98982602353193
Bonito,dados_bonito__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_bonito,Grupo 1 — 4 censos,logistic,lbfgs,True,1.3595513307531597,2040,93.07197826195961
Bonito,dados_bonito__2_trabalhos,2 trabalhos,dados_bonito,Grupo 2 — 3 censos,relu,lbfgs,True,0.6215770336287946,2030,5.674888374478787
Bonito,dados_bonito__2_trabalhos,2 trabalhos,dados_bonito,Grupo 2 — 3 censos,relu,lbfgs,True,0.6215770336287946,2040,6.583449107842972
Bonito,dados_bonito__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_bonito,Grupo 2 — 3 censos,identity,adam,True,0.060900738248419774,2030,0.7985214662320534
Bonito,dados_bonito__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_bonito,Grupo 2 — 3 censos,identity,adam,True,0.060900738248419774,2040,0.9354311763287215
Bonito,dados_bonito__apenas_1_trabalho,Apenas 1 trabalho,dados_bonito,Grupo 2 — 3 censos,relu,lbfgs,True,0.54700880039537,2030,93.3248761898689
Bonito,dados_bonito__apenas_1_trabalho,Apenas 1 trabalho,dados_bonito,Grupo 2 — 3 censos,relu,lbfgs,True,0.54700880039537,2040,91.950520754989
Bonito,dados_bonito__casais_com_filhos,Casais com filhos,dados_bonito,Grupo 2 — 3 censos,identity,lbfgs,True,1.4489756337936346,2030,33.54861302767264
Bonito,dados_bonito__casais_com_filhos,Casais com filhos,dados_bonito,Grupo 2 — 3 censos,identity,lbfgs,True,1.4489756337936346,2040,24.43597482647421
Bonito,dados_bonito__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_bonito,Grupo 2 — 3 censos,logistic,sgd,True,1.0079433183397948,2030,7.804315605138771
Bonito,dados_bonito__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_bonito,Grupo 2 — 3 censos,logistic,sgd,True,1.0079433183397948,2040,7.800149798290406
Bonito,dados_bonito__casais_sem_filhos,Casais sem filhos,dados_bonito,Grupo 2 — 3 censos,identity,lbfgs,True,0.2135345330624284,2030,20.44596509778759
Bonito,dados_bonito__casais_sem_filhos,Casais sem filhos,dados_bonito,Grupo 2 — 3 censos,identity,lbfgs,True,0.2135345330624284,2040,24.176785620406733
Bonito,dados_bonito__conta_propria,Conta própria,dados_bonito,Grupo 2 — 3 censos,relu,adam,True,0.1012074036850658,2030,2.0491445616342734
Bonito,dados_bonito__conta_propria,Conta própria,dados_bonito,Grupo 2 — 3 censos,relu,adam,True,0.1012074036850658,2040,2.134295048327219
Bonito,dados_bonito__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_bonito,Grupo 2 — 3 censos,tanh,lbfgs,True,5.607477851245162,2030,39.630091475975
Bonito,dados_bonito__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_bonito,Grupo 2 — 3 censos,tanh,lbfgs,True,5.607477851245162,2040,39.3756492442494
