municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Brangança,dados_bragança__anos_de_estudo_media,Anos de Estudo (Média),dados_bragança,Grupo 1 — 4 censos,identity,adam,True,0.1289930808294163,2030,10.62733395358955
Brangança,dados_bragança__anos_de_estudo_media,Anos de Estudo (Média),dados_bragança,Grupo 1 — 4 censos,identity,adam,True,0.1289930808294163,2040,12.335808702962602
Brangança,dados_bragança__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_bragança,Grupo 1 — 4 censos,relu,sgd,True,24.70302519163014,2030,341.75191889073733
Brangança,dados_bragança__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_bragança,Grupo 1 — 4 censos,relu,sgd,True,24.70302519163014,2040,373.7446739302803
Brangança,dados_bragança__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_bragança,Grupo 1 — 4 censos,relu,adam,True,2.8470007433469435,2030,50.03793497243916
Brangança,dados_bragança__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_bragança,Grupo 1 — 4 censos,relu,adam,True,2.8470007433469435,2040,57.12734760459868
Brangança,dados_bragança__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_bragança,Grupo 1 — 4 censos,identity,adam,True,0.12008233985888106,2030,10.184158427616502
Brangança,dados_bragança__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_bragança,Grupo 1 — 4 censos,identity,adam,True,0.12008233985888106,2040,11.854287950675635
Brangança,dados_bragança__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_bragança,Grupo 1 — 4 censos,identity,lbfgs,True,0.1527416250432545,2030,11.077464558219926
Brangança,dados_bragança__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_bragança,Grupo 1 — 4 censos,identity,lbfgs,True,0.1527416250432545,2040,12.83113169551012
Brangança,dados_bragança__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_bragança,Grupo 1 — 4 censos,identity,lbfgs,True,0.016135004127447727,2030,2.436625483640206
Brangança,dados_bragança__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_bragança,Grupo 1 — 4 censos,identity,lbfgs,True,0.016135004127447727,2040,1.8537994492236956
Brangança,dados_bragança__populacao_total,População Total,dados_bragança,Grupo 1 — 4 censos,logistic,lbfgs,True,2.554778199617477,2030,127.08581104241541
Brangança,dados_bragança__populacao_total,População Total,dados_bragança,Grupo 1 — 4 censos,logistic,lbfgs,True,2.554778199617477,2040,129.30394584575137
Brangança,dados_bragança__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_bragança,Grupo 1 — 4 censos,logistic,lbfgs,True,2.3867226222208977,2030,96.81525297953345
Brangança,dados_bragança__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_bragança,Grupo 1 — 4 censos,logistic,lbfgs,True,2.3867226222208977,2040,98.1185523276563
Brangança,dados_bragança__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_bragança,Grupo 1 — 4 censos,relu,lbfgs,True,2.8317058095112255,2030,53.21220189749349
Brangança,dados_bragança__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_bragança,Grupo 1 — 4 censos,relu,lbfgs,True,2.8317058095112255,2040,62.923128789156166
Brangança,dados_bragança__2_trabalhos,2 trabalhos,dados_bragança,Grupo 2 — 3 censos,logistic,sgd,True,1.1786377617591937,2030,4.842162853917187
Brangança,dados_bragança__2_trabalhos,2 trabalhos,dados_bragança,Grupo 2 — 3 censos,logistic,sgd,True,1.1786377617591937,2040,4.8393387222919895
Brangança,dados_bragança__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_bragança,Grupo 2 — 3 censos,logistic,sgd,True,0.168425938921089,2030,0.7345907702241324
Brangança,dados_bragança__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_bragança,Grupo 2 — 3 censos,logistic,sgd,True,0.168425938921089,2040,0.7341654432015778
Brangança,dados_bragança__apenas_1_trabalho,Apenas 1 trabalho,dados_bragança,Grupo 2 — 3 censos,logistic,sgd,True,1.320728402935842,2030,94.4362092381844
Brangança,dados_bragança__apenas_1_trabalho,Apenas 1 trabalho,dados_bragança,Grupo 2 — 3 censos,logistic,sgd,True,1.320728402935842,2040,94.43094101885067
Brangança,dados_bragança__casais_com_filhos,Casais com filhos,dados_bragança,Grupo 2 — 3 censos,identity,lbfgs,True,0.5185776601078231,2030,35.840456030192456
Brangança,dados_bragança__casais_com_filhos,Casais com filhos,dados_bragança,Grupo 2 — 3 censos,identity,lbfgs,True,0.5185776601078231,2040,27.758052022886798
Brangança,dados_bragança__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_bragança,Grupo 2 — 3 censos,logistic,sgd,True,0.5369226259003727,2030,7.570062428657879
Brangança,dados_bragança__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_bragança,Grupo 2 — 3 censos,logistic,sgd,True,0.5369226259003727,2040,7.568468997302351
Brangança,dados_bragança__casais_sem_filhos,Casais sem filhos,dados_bragança,Grupo 2 — 3 censos,identity,sgd,True,0.3964026480925244,2030,19.866013985959732
Brangança,dados_bragança__casais_sem_filhos,Casais sem filhos,dados_bragança,Grupo 2 — 3 censos,identity,sgd,True,0.3964026480925244,2040,23.68177206651992
Brangança,dados_bragança__conta_propria,Conta própria,dados_bragança,Grupo 2 — 3 censos,identity,adam,True,1.4458636020227829,2030,26.274895032406853
Brangança,dados_bragança__conta_propria,Conta própria,dados_bragança,Grupo 2 — 3 censos,identity,adam,True,1.4458636020227829,2040,30.78034051847993
Brangança,dados_bragança__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_bragança,Grupo 2 — 3 censos,identity,adam,True,1.0815478895782753,2030,27.840990057709142
Brangança,dados_bragança__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_bragança,Grupo 2 — 3 censos,identity,adam,True,1.0815478895782753,2040,32.38707322261905
Brangança,dados_bragança__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_bragança,Grupo 2 — 3 censos,identity,adam,True,0.516404989498902,2030,28.147558567141743
Brangança,dados_bragança__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_bragança,Grupo 2 — 3 censos,identity,adam,True,0.516404989498902,2040,31.71612546154922
Brangança,dados_bragança__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_bragança,Grupo 2 — 3 censos,relu,adam,True,4.543472070790531,2030,11.589836894440165
Brangança,dados_bragança__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_bragança,Grupo 2 — 3 censos,relu,adam,True,4.543472070790531,2040,4.210166404563211
Brangança,dados_bragança__empregador,Empregador,dados_bragança,Grupo 2 — 3 censos,tanh,adam,True,429.38138894994023,2030,-3.009273792626459
Brangança,dados_bragança__empregador,Empregador,dados_bragança,Grupo 2 — 3 censos,tanh,adam,True,429.38138894994023,2040,19.628057775427607
Brangança,dados_bragança__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_bragança,Grupo 2 — 3 censos,logistic,adam,True,2.703780570772546,2030,98.52175735248672
Brangança,dados_bragança__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_bragança,Grupo 2 — 3 censos,logistic,adam,True,2.703780570772546,2040,98.95888735581636
Brangança,dados_bragança__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_bragança,Grupo 2 — 3 censos,relu,adam,True,2.63694384810348,2030,88.22135442505709
Brangança,dados_bragança__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_bragança,Grupo 2 — 3 censos,relu,adam,True,2.63694384810348,2040,91.50336412211314
Brangança,dados_bragança__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_bragança,Grupo 2 — 3 censos,tanh,lbfgs,True,2.8687729682107275,2030,31.675195019398902
Brangança,dados_bragança__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_bragança,Grupo 2 — 3 censos,tanh,lbfgs,True,2.8687729682107275,2040,31.554844401537878
Brangança,dados_bragança__idhm_educacao_indice_de_desenv_humano,IDHM Educação (Índice de Desenv. Humano),dados_bragança,Grupo 2 — 3 censos,relu,adam,True,0.047881065161135015,2030,0.8172278065885854
Brangança,dados_bragança__idhm_educacao_indice_de_desenv_humano,IDHM Educação (Índice de Desenv. Humano),dados_bragança,Grupo 2 — 3 censos,relu,adam,True,0.047881065161135015,2040,0.904262972026014
Brangança,dados_bragança__idade_mediana,Idade Mediana,dados_bragança,Grupo 2 — 3 censos,identity,adam,True,0.9141696451013838,2030,34.46879368938008
Brangança,dados_bragança__idade_mediana,Idade Mediana,dados_bragança,Grupo 2 — 3 censos,identity,adam,True,0.9141696451013838,2040,39.011896464596354
Brangança,dados_bragança__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_bragança,Grupo 2 — 3 censos,tanh,adam,True,462.3637072954895,2030,-3.297921452322896
Brangança,dados_bragança__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_bragança,Grupo 2 — 3 censos,tanh,adam,True,462.3637072954895,2040,21.07867652798774
Brangança,dados_bragança__maes_solo_mulheres_sem_conjuge_com_filhos,Mães solo (Mulheres sem cônjuge com filhos),dados_bragança,Grupo 2 — 3 censos,identity,adam,True,0.0753027085916654,2030,25.266471070862867
Brangança,dados_bragança__maes_solo_mulheres_sem_conjuge_com_filhos,Mães solo (Mulheres sem cônjuge com filhos),dados_bragança,Grupo 2 — 3 censos,identity,adam,True,0.0753027085916654,2040,28.208146922881205
Brangança,dados_bragança__maes_solo_vivendo_com_outros_parentes,Mães solo vivendo com outros parentes,dados_bragança,Grupo 2 — 3 censos,logistic,sgd,True,0.3020721654648087,2030,4.001876975900407
Brangança,dados_bragança__maes_solo_vivendo_com_outros_parentes,Mães solo vivendo com outros parentes,dados_bragança,Grupo 2 — 3 censos,logistic,sgd,True,0.3020721654648087,2040,4.000978154606798
Brangança,dados_bragança__media_populacao_amarela,Média: População Amarela,dados_bragança,Grupo 2 — 3 censos,relu,adam,True,0.6297178458172817,2030,11.22411847901333
Brangança,dados_bragança__media_populacao_amarela,Média: População Amarela,dados_bragança,Grupo 2 — 3 censos,relu,adam,True,0.6297178458172817,2040,12.233400664408679
Brangança,dados_bragança__media_populacao_branca,Média: População Branca,dados_bragança,Grupo 2 — 3 censos,relu,adam,True,0.6015644073636794,2030,10.77788935195688
Brangança,dados_bragança__media_populacao_branca,Média: População Branca,dados_bragança,Grupo 2 — 3 censos,relu,adam,True,0.6015644073636794,2040,11.730981938294068
Brangança,dados_bragança__media_populacao_indigena,Média: População Indígena,dados_bragança,Grupo 2 — 3 censos,identity,adam,True,0.18296564329529522,2030,8.492040641922266
