municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Brasil Novo,dados_brasil_novo__anos_de_estudo_media,Anos de Estudo (Média),dados_brasil_novo,Grupo 1 — 4 censos,identity,lbfgs,True,0.16621192758475734,2030,9.361879223420457
Brasil Novo,dados_brasil_novo__anos_de_estudo_media,Anos de Estudo (Média),dados_brasil_novo,Grupo 1 — 4 censos,identity,lbfgs,True,0.16621192758475734,2040,11.212216280629
Brasil Novo,dados_brasil_novo__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_brasil_novo,Grupo 1 — 4 censos,identity,adam,True,9.4875023694322,2030,143.9307193108329
Brasil Novo,dados_brasil_novo__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_brasil_novo,Grupo 1 — 4 censos,identity,adam,True,9.4875023694322,2040,148.62807413944765
Brasil Novo,dados_brasil_novo__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_brasil_novo,Grupo 1 — 4 censos,relu,adam,True,1.2638083127019972,2030,9.00407577336182
Brasil Novo,dados_brasil_novo__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_brasil_novo,Grupo 1 — 4 censos,relu,adam,True,1.2638083127019972,2040,10.850996389145513
Brasil Novo,dados_brasil_novo__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_brasil_novo,Grupo 1 — 4 censos,identity,lbfgs,True,0.15274162504325495,2030,8.777464558219929
Brasil Novo,dados_brasil_novo__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_brasil_novo,Grupo 1 — 4 censos,identity,lbfgs,True,0.15274162504325495,2040,10.531131695510119
Brasil Novo,dados_brasil_novo__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_brasil_novo,Grupo 1 — 4 censos,identity,lbfgs,True,0.1796822309513022,2030,9.946293885559376
Brasil Novo,dados_brasil_novo__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_brasil_novo,Grupo 1 — 4 censos,identity,lbfgs,True,0.1796822309513022,2040,11.89330086462748
Brasil Novo,dados_brasil_novo__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_brasil_novo,Grupo 1 — 4 censos,tanh,adam,True,0.16994241511265973,2030,3.1578366924560086
Brasil Novo,dados_brasil_novo__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_brasil_novo,Grupo 1 — 4 censos,tanh,adam,True,0.16994241511265973,2040,3.083508246460793
Brasil Novo,dados_brasil_novo__populacao_total,População Total,dados_brasil_novo,Grupo 1 — 4 censos,identity,lbfgs,True,3.807403500350731,2030,25.404726855850043
Brasil Novo,dados_brasil_novo__populacao_total,População Total,dados_brasil_novo,Grupo 1 — 4 censos,identity,lbfgs,True,3.807403500350731,2040,28.34923921637636
Brasil Novo,dados_brasil_novo__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_brasil_novo,Grupo 1 — 4 censos,logistic,lbfgs,True,3.07986283786021,2030,90.30742499199937
Brasil Novo,dados_brasil_novo__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_brasil_novo,Grupo 1 — 4 censos,logistic,lbfgs,True,3.07986283786021,2040,91.91752098236276
Brasil Novo,dados_brasil_novo__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_brasil_novo,Grupo 1 — 4 censos,relu,adam,True,1.2764789990407475,2030,9.14944119341295
Brasil Novo,dados_brasil_novo__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_brasil_novo,Grupo 1 — 4 censos,relu,adam,True,1.2764789990407475,2040,11.002903011363653
Brasil Novo,dados_brasil_novo__2_trabalhos,2 trabalhos,dados_brasil_novo,Grupo 2 — 3 censos,relu,lbfgs,True,0.9310965741072904,2030,9.845950742918227
