municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Breves,dados_Breves__anos_de_estudo_media,Anos de Estudo (Média),dados_Breves,Grupo 1 — 4 censos,identity,adam,True,0.08146440222123974,2030,8.859237805325456
Breves,dados_Breves__anos_de_estudo_media,Anos de Estudo (Média),dados_Breves,Grupo 1 — 4 censos,identity,adam,True,0.08146440222123974,2040,10.416255219565539
Breves,dados_Breves__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_Breves,Grupo 1 — 4 censos,relu,adam,True,2.943266867832577,2030,230.1461473909096
Breves,dados_Breves__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_Breves,Grupo 1 — 4 censos,relu,adam,True,2.943266867832577,2040,241.6076834925642
Breves,dados_Breves__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_Breves,Grupo 1 — 4 censos,relu,lbfgs,True,1.9312019047799978,2030,37.901931179766805
Breves,dados_Breves__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_Breves,Grupo 1 — 4 censos,relu,lbfgs,True,1.9312019047799978,2040,44.87119993922083
Breves,dados_Breves__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_Breves,Grupo 1 — 4 censos,identity,adam,True,0.042420640907691154,2030,8.416048453144732
Breves,dados_Breves__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_Breves,Grupo 1 — 4 censos,identity,adam,True,0.042420640907691154,2040,9.934708579367133
Breves,dados_Breves__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_Breves,Grupo 1 — 4 censos,identity,adam,True,0.1205374038574607,2030,9.30244514941261
Breves,dados_Breves__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_Breves,Grupo 1 — 4 censos,identity,adam,True,0.1205374038574607,2040,10.897835571822473
Breves,dados_Breves__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_Breves,Grupo 1 — 4 censos,relu,lbfgs,True,0.12763286394919793,2030,2.7299360898268032
Breves,dados_Breves__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_Breves,Grupo 1 — 4 censos,relu,lbfgs,True,0.12763286394919793,2040,2.0108014821207694
Breves,dados_Breves__populacao_total,População Total,dados_Breves,Grupo 1 — 4 censos,identity,lbfgs,True,0.5403812708553879,2030,117.1095270576592
Breves,dados_Breves__populacao_total,População Total,dados_Breves,Grupo 1 — 4 censos,identity,lbfgs,True,0.5403812708553879,2040,129.4529392537342
Breves,dados_Breves__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_Breves,Grupo 1 — 4 censos,relu,adam,True,2.686590517449865,2030,92.71382079679265
Breves,dados_Breves__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_Breves,Grupo 1 — 4 censos,relu,adam,True,2.686590517449865,2040,96.5723892620835
Breves,dados_Breves__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_Breves,Grupo 1 — 4 censos,relu,lbfgs,True,1.9329662889639412,2030,38.133361429503566
Breves,dados_Breves__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_Breves,Grupo 1 — 4 censos,relu,lbfgs,True,1.9329662889639412,2040,45.11167881544232
Breves,dados_Breves__2_trabalhos,2 trabalhos,dados_Breves,Grupo 2 — 3 censos,logistic,sgd,True,1.0105556335265335,2030,3.607544621344794
Breves,dados_Breves__2_trabalhos,2 trabalhos,dados_Breves,Grupo 2 — 3 censos,logistic,sgd,True,1.0105556335265335,2040,3.604992659209467
Breves,dados_Breves__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_Breves,Grupo 2 — 3 censos,logistic,sgd,True,0.10112432549033908,2030,0.5008618545147849
Breves,dados_Breves__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_Breves,Grupo 2 — 3 censos,logistic,sgd,True,0.10112432549033908,2040,0.5005656022837713
Breves,dados_Breves__apenas_1_trabalho,Apenas 1 trabalho,dados_Breves,Grupo 2 — 3 censos,logistic,sgd,True,1.0896020405473148,2030,95.90274247087125
Breves,dados_Breves__apenas_1_trabalho,Apenas 1 trabalho,dados_Breves,Grupo 2 — 3 censos,logistic,sgd,True,1.0896020405473148,2040,95.8983420878836
Breves,dados_Breves__casais_com_filhos,Casais com filhos,dados_Breves,Grupo 2 — 3 censos,identity,lbfgs,True,1.845539398701914,2030,38.9914341968275
Breves,dados_Breves__casais_com_filhos,Casais com filhos,dados_Breves,Grupo 2 — 3 censos,identity,lbfgs,True,1.845539398701914,2040,30.52163752211848
Breves,dados_Breves__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_Breves,Grupo 2 — 3 censos,logistic,sgd,True,0.4016282015082995,2030,7.803339895383064
Breves,dados_Breves__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_Breves,Grupo 2 — 3 censos,logistic,sgd,True,0.4016282015082995,2040,7.802121679375857
Breves,dados_Breves__casais_sem_filhos,Casais sem filhos,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.9746752405247502,2030,16.572613093515127
Breves,dados_Breves__casais_sem_filhos,Casais sem filhos,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.9746752405247502,2040,19.758816594793927
Breves,dados_Breves__conta_propria,Conta própria,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.7977383253534261,2030,21.908279227926478
Breves,dados_Breves__conta_propria,Conta própria,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.7977383253534261,2040,26.10183405873152
Breves,dados_Breves__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.914169645101385,2030,27.268793689380082
Breves,dados_Breves__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.914169645101385,2040,31.811896464596355
Breves,dados_Breves__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.6076902397340227,2030,27.799146094353013
Breves,dados_Breves__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.6076902397340227,2040,31.4115886505405
Breves,dados_Breves__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_Breves,Grupo 2 — 3 censos,relu,adam,True,4.697754785139065,2030,14.059338409861638
Breves,dados_Breves__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_Breves,Grupo 2 — 3 censos,relu,adam,True,4.697754785139065,2040,6.283374733960841
Breves,dados_Breves__empregador,Empregador,dados_Breves,Grupo 2 — 3 censos,logistic,sgd,True,459.8352227391597,2030,435.79893624449846
Breves,dados_Breves__empregador,Empregador,dados_Breves,Grupo 2 — 3 censos,logistic,sgd,True,459.8352227391597,2040,433.96610126362265
Breves,dados_Breves__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_Breves,Grupo 2 — 3 censos,relu,adam,True,2.4068328516565836,2030,95.59790212222046
Breves,dados_Breves__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_Breves,Grupo 2 — 3 censos,relu,adam,True,2.4068328516565836,2040,97.81087258717992
Breves,dados_Breves__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_Breves,Grupo 2 — 3 censos,relu,adam,True,2.933703921295598,2030,79.76484612070048
Breves,dados_Breves__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_Breves,Grupo 2 — 3 censos,relu,adam,True,2.933703921295598,2040,84.13135006495574
Breves,dados_Breves__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_Breves,Grupo 2 — 3 censos,logistic,adam,True,2.214798378810466,2030,25.190481281681684
Breves,dados_Breves__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_Breves,Grupo 2 — 3 censos,logistic,adam,True,2.214798378810466,2040,25.485589665110208
Breves,dados_Breves__idhm_educacao_indice_de_desenv_humano,IDHM Educação (Índice de Desenv. Humano),dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.02892340112663594,2030,0.8264531020159992
Breves,dados_Breves__idhm_educacao_indice_de_desenv_humano,IDHM Educação (Índice de Desenv. Humano),dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.02892340112663594,2040,0.9729482151615751
Breves,dados_Breves__idade_mediana,Idade Mediana,dados_Breves,Grupo 2 — 3 censos,identity,sgd,True,0.30370808233056934,2030,27.68974426752009
Breves,dados_Breves__idade_mediana,Idade Mediana,dados_Breves,Grupo 2 — 3 censos,identity,sgd,True,0.30370808233056934,2040,31.02782091398335
Breves,dados_Breves__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_Breves,Grupo 2 — 3 censos,logistic,sgd,True,422.92996491837624,2030,422.21449448587845
Breves,dados_Breves__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_Breves,Grupo 2 — 3 censos,logistic,sgd,True,422.92996491837624,2040,420.46770917231834
Breves,dados_Breves__maes_solo_mulheres_sem_conjuge_com_filhos,Mães solo (Mulheres sem cônjuge com filhos),dados_Breves,Grupo 2 — 3 censos,identity,lbfgs,True,0.0001807635803281471,2030,26.199848369204577
Breves,dados_Breves__maes_solo_mulheres_sem_conjuge_com_filhos,Mães solo (Mulheres sem cônjuge com filhos),dados_Breves,Grupo 2 — 3 censos,identity,lbfgs,True,0.0001807635803281471,2040,29.19988949111058
Breves,dados_Breves__maes_solo_vivendo_com_outros_parentes,Mães solo vivendo com outros parentes,dados_Breves,Grupo 2 — 3 censos,tanh,lbfgs,True,0.5152014289348487,2030,4.089046408229036
Breves,dados_Breves__maes_solo_vivendo_com_outros_parentes,Mães solo vivendo com outros parentes,dados_Breves,Grupo 2 — 3 censos,tanh,lbfgs,True,0.5152014289348487,2040,4.071420181115815
Breves,dados_Breves__media_populacao_amarela,Média: População Amarela,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.45603110835055166,2030,10.352851827149067
Breves,dados_Breves__media_populacao_amarela,Média: População Amarela,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.45603110835055166,2040,12.066268189492941
Breves,dados_Breves__media_populacao_branca,Média: População Branca,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.5321241025923221,2030,9.929529143915222
Breves,dados_Breves__media_populacao_branca,Média: População Branca,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.5321241025923221,2040,11.59658456305538
Breves,dados_Breves__media_populacao_indigena,Média: População Indígena,dados_Breves,Grupo 2 — 3 censos,identity,lbfgs,True,0.03050457454773851,2030,7.1493838880538725
Breves,dados_Breves__media_populacao_indigena,Média: População Indígena,dados_Breves,Grupo 2 — 3 censos,identity,lbfgs,True,0.03050457454773851,2040,8.468083291137997
Breves,dados_Breves__media_populacao_preta_parda,Média: População Preta / Parda,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.18217535764518855,2030,8.698035864902133
Breves,dados_Breves__media_populacao_preta_parda,Média: População Preta / Parda,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.18217535764518855,2040,10.279767559519993
Breves,dados_Breves__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_Breves,Grupo 2 — 3 censos,relu,adam,True,0.3863678840950208,2030,0.8867278870383297
Breves,dados_Breves__nao_remunerado_ajuda_a_parente,Não remunerado (ajuda a parente),dados_Breves,Grupo 2 — 3 censos,relu,adam,True,0.3863678840950208,2040,0.21210339701909486
Breves,dados_Breves__pais_solo_homens_sem_conjuge_com_filhos,Pais solo (Homens sem cônjuge com filhos),dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.10660922050348898,2030,4.171948028113822
Breves,dados_Breves__pais_solo_homens_sem_conjuge_com_filhos,Pais solo (Homens sem cônjuge com filhos),dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.10660922050348898,2040,4.535998066656155
Breves,dados_Breves__pais_solo_vivendo_com_outros_parentes,Pais solo vivendo com outros parentes,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.2893114352487487,2030,3.0675021356328536
Breves,dados_Breves__pais_solo_vivendo_com_outros_parentes,Pais solo vivendo com outros parentes,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.2893114352487487,2040,3.8422691871958925
Breves,dados_Breves__populacao_amarela,População Amarela,dados_Breves,Grupo 2 — 3 censos,relu,adam,True,26.48830595778846,2030,189.0781349915903
Breves,dados_Breves__populacao_amarela,População Amarela,dados_Breves,Grupo 2 — 3 censos,relu,adam,True,26.48830595778846,2040,164.46221022296209
Breves,dados_Breves__populacao_branca,População Branca,dados_Breves,Grupo 2 — 3 censos,relu,adam,True,0.16930416483852007,2030,13.615672010893672
Breves,dados_Breves__populacao_branca,População Branca,dados_Breves,Grupo 2 — 3 censos,relu,adam,True,0.16930416483852007,2040,13.344213475169807
Breves,dados_Breves__populacao_indigena,População Indígena,dados_Breves,Grupo 2 — 3 censos,logistic,sgd,True,49.878511379486156,2030,380.26345504227834
Breves,dados_Breves__populacao_indigena,População Indígena,dados_Breves,Grupo 2 — 3 censos,logistic,sgd,True,49.878511379486156,2040,380.10152069738047
Breves,dados_Breves__populacao_indigena_total,População Indígena Total,dados_Breves,Grupo 2 — 3 censos,logistic,sgd,True,49.878511379486156,2030,380.26345504227834
Breves,dados_Breves__populacao_indigena_total,População Indígena Total,dados_Breves,Grupo 2 — 3 censos,logistic,sgd,True,49.878511379486156,2040,380.10152069738047
Breves,dados_Breves__populacao_parda,População Parda,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.9127824966594602,2030,95.35063024228053
Breves,dados_Breves__populacao_parda,População Parda,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.9127824966594602,2040,107.56029559061548
Breves,dados_Breves__populacao_preta,População Preta,dados_Breves,Grupo 2 — 3 censos,relu,adam,True,0.2837727140639335,2030,7.245527271274087
Breves,dados_Breves__populacao_preta,População Preta,dados_Breves,Grupo 2 — 3 censos,relu,adam,True,0.2837727140639335,2040,7.388489392536748
Breves,dados_Breves__populacao_rural,População Rural,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.17580778155548651,2030,43.3747150419259
Breves,dados_Breves__populacao_rural,População Rural,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.17580778155548651,2040,44.86871556945516
Breves,dados_Breves__populacao_urbana,População Urbana,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.7534218658593067,2030,73.48540464681791
Breves,dados_Breves__populacao_urbana,População Urbana,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.7534218658593067,2040,84.1492058476928
Breves,dados_Breves__populacao_com_superior_completo,População com Superior Completo,dados_Breves,Grupo 2 — 3 censos,tanh,adam,True,375.57399304203506,2030,3.9220897129719106
Breves,dados_Breves__populacao_com_superior_completo,População com Superior Completo,dados_Breves,Grupo 2 — 3 censos,tanh,adam,True,375.57399304203506,2040,23.723998976788153
Breves,dados_Breves__populacao_de_homens,População de Homens,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.6417622120162889,2030,58.73076156680933
Breves,dados_Breves__populacao_de_homens,População de Homens,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.6417622120162889,2040,64.69051772772434
Breves,dados_Breves__populacao_de_mulheres,População de Mulheres,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.2874674353985043,2030,58.1293850315651
Breves,dados_Breves__populacao_de_mulheres,População de Mulheres,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.2874674353985043,2040,64.32745935976926
Breves,dados_Breves__proporcao_na_populacao_de_breves,Proporção na população de Breves,dados_Breves,Grupo 2 — 3 censos,tanh,adam,True,0.08791408483808101,2030,0.3716344683700343
Breves,dados_Breves__proporcao_na_populacao_de_breves,Proporção na população de Breves,dados_Breves,Grupo 2 — 3 censos,tanh,adam,True,0.08791408483808101,2040,0.3760597522399952
Breves,dados_Breves__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_Breves,Grupo 2 — 3 censos,relu,lbfgs,True,0.36238427915188254,2030,100.57734890248852
Breves,dados_Breves__razao_de_sexo_homens_100_mulheres,Razão de Sexo (homens/100 mulheres),dados_Breves,Grupo 2 — 3 censos,relu,lbfgs,True,0.36238427915188254,2040,99.52416528247622
Breves,dados_Breves__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,103.3507919502437,2030,885.9582144274867
Breves,dados_Breves__rendimento_domiciliar_mensal_per_capita,Rendimento domiciliar mensal per capita,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,103.3507919502437,2040,1126.7557869337443
Breves,dados_Breves__resp_homem_com_conjuge_e_apenas_filhos_de_amb,Resp. Homem: Com cônjuge e apenas filhos de ambos,dados_Breves,Grupo 2 — 3 censos,identity,lbfgs,True,1.0524131520239663,2030,31.70581493209341
Breves,dados_Breves__resp_homem_com_conjuge_e_apenas_filhos_de_amb,Resp. Homem: Com cônjuge e apenas filhos de ambos,dados_Breves,Grupo 2 — 3 censos,identity,lbfgs,True,1.0524131520239663,2040,23.950324165453566
Breves,dados_Breves__resp_homem_com_conjuge_sem_filhos,Resp. Homem: Com cônjuge sem filhos,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.15139570283343673,2030,17.543020569785803
Breves,dados_Breves__resp_homem_com_conjuge_sem_filhos,Resp. Homem: Com cônjuge sem filhos,dados_Breves,Grupo 2 — 3 censos,identity,adam,True,0.15139570283343673,2040,20.43819747752132
