municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Cachoeira do Piriá,dados_cachoeira_do_piria__2_trabalhos,2 trabalhos,dados_cachoeira_do_piria,Grupo 2 — 3 censos,identity,adam,True,0.8069018532228078,2030,7.4058952988448645
Cachoeira do Piriá,dados_cachoeira_do_piria__2_trabalhos,2 trabalhos,dados_cachoeira_do_piria,Grupo 2 — 3 censos,identity,adam,True,0.8069018532228078,2040,9.095517085845186
Cachoeira do Piriá,dados_cachoeira_do_piria__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_cachoeira_do_piria,Grupo 2 — 3 censos,identity,adam,True,0.060900738248419774,2030,0.7985214662320534
Cachoeira do Piriá,dados_cachoeira_do_piria__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_cachoeira_do_piria,Grupo 2 — 3 censos,identity,adam,True,0.060900738248419774,2040,0.9354311763287215
Cachoeira do Piriá,dados_cachoeira_do_piria__anos_de_estudo_media,Anos de Estudo (Média),dados_cachoeira_do_piria,Grupo 2 — 3 censos,identity,adam,True,0.18217535764518988,2030,6.698035864902133
Cachoeira do Piriá,dados_cachoeira_do_piria__anos_de_estudo_media,Anos de Estudo (Média),dados_cachoeira_do_piria,Grupo 2 — 3 censos,identity,adam,True,0.18217535764518988,2040,8.279767559519993
Cachoeira do Piriá,dados_cachoeira_do_piria__apenas_1_trabalho,Apenas 1 trabalho,dados_cachoeira_do_piria,Grupo 2 — 3 censos,relu,lbfgs,True,0.6773067979006129,2030,91.32640657221191
Cachoeira do Piriá,dados_cachoeira_do_piria__apenas_1_trabalho,Apenas 1 trabalho,dados_cachoeira_do_piria,Grupo 2 — 3 censos,relu,lbfgs,True,0.6773067979006129,2040,89.11905553607473
Cachoeira do Piriá,dados_cachoeira_do_piria__casais_com_filhos,Casais com filhos,dados_cachoeira_do_piria,Grupo 2 — 3 censos,identity,lbfgs,True,0.47281892077681204,2030,44.766230566903
Cachoeira do Piriá,dados_cachoeira_do_piria__casais_com_filhos,Casais com filhos,dados_cachoeira_do_piria,Grupo 2 — 3 censos,identity,lbfgs,True,0.47281892077681204,2040,34.455810065742924
Cachoeira do Piriá,dados_cachoeira_do_piria__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_cachoeira_do_piria,Grupo 2 — 3 censos,relu,adam,True,0.38150799965386045,2030,7.415499267597404
Cachoeira do Piriá,dados_cachoeira_do_piria__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_cachoeira_do_piria,Grupo 2 — 3 censos,relu,adam,True,0.38150799965386045,2040,7.777347942195315
Cachoeira do Piriá,dados_cachoeira_do_piria__casais_sem_filhos,Casais sem filhos,dados_cachoeira_do_piria,Grupo 2 — 3 censos,relu,lbfgs,True,1.6423805376824765,2030,12.46886544337091
Cachoeira do Piriá,dados_cachoeira_do_piria__casais_sem_filhos,Casais sem filhos,dados_cachoeira_do_piria,Grupo 2 — 3 censos,relu,lbfgs,True,1.6423805376824765,2040,15.035907141452569
Cachoeira do Piriá,dados_cachoeira_do_piria__conta_propria,Conta própria,dados_cachoeira_do_piria,Grupo 2 — 3 censos,logistic,sgd,True,1.7595066430990416,2030,5.503801559533474
Cachoeira do Piriá,dados_cachoeira_do_piria__conta_propria,Conta própria,dados_cachoeira_do_piria,Grupo 2 — 3 censos,logistic,sgd,True,1.7595066430990416,2040,5.498518639001367
Cachoeira do Piriá,dados_cachoeira_do_piria__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_cachoeira_do_piria,Grupo 2 — 3 censos,logistic,sgd,True,16.80160368632241,2030,103.40988180054752
Cachoeira do Piriá,dados_cachoeira_do_piria__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_cachoeira_do_piria,Grupo 2 — 3 censos,logistic,sgd,True,16.80160368632241,2040,103.34916867409625
