municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Cametá,dados_abaetetuba__anos_de_estudo_media,Anos de Estudo (Média),dados_abaetetuba,Grupo 1 — 4 censos,identity,adam,True,0.28671089445564457,2030,9.487877060249652
Cametá,dados_abaetetuba__anos_de_estudo_media,Anos de Estudo (Média),dados_abaetetuba,Grupo 1 — 4 censos,identity,adam,True,0.28671089445564457,2040,11.067077219391471
Cametá,dados_abaetetuba__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_abaetetuba,Grupo 1 — 4 censos,logistic,sgd,True,26.95131205454382,2030,170.27276972450326
Cametá,dados_abaetetuba__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_abaetetuba,Grupo 1 — 4 censos,logistic,sgd,True,26.95131205454382,2040,170.18571766097548
Cametá,dados_abaetetuba__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_abaetetuba,Grupo 1 — 4 censos,relu,adam,True,2.515226040617592,2030,47.601939725223794
Cametá,dados_abaetetuba__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_abaetetuba,Grupo 1 — 4 censos,relu,adam,True,2.515226040617592,2040,54.63802286290842
Cametá,dados_abaetetuba__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_abaetetuba,Grupo 1 — 4 censos,identity,adam,True,0.2778431880574669,2030,9.044690278501042
Cametá,dados_abaetetuba__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_abaetetuba,Grupo 1 — 4 censos,identity,adam,True,0.2778431880574669,2040,10.585535308423523
Cametá,dados_abaetetuba__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_abaetetuba,Grupo 1 — 4 censos,identity,adam,True,0.29557335065993473,2030,9.931081342947614
Cametá,dados_abaetetuba__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_abaetetuba,Grupo 1 — 4 censos,identity,adam,True,0.29557335065993473,2040,11.548651980953423
Cametá,dados_abaetetuba__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_abaetetuba,Grupo 1 — 4 censos,relu,lbfgs,True,0.12773020747364439,2030,2.583596546899841
Cametá,dados_abaetetuba__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_abaetetuba,Grupo 1 — 4 censos,relu,lbfgs,True,0.12773020747364439,2040,1.8100527103609303
Cametá,dados_abaetetuba__populacao_total,População Total,dados_abaetetuba,Grupo 1 — 4 censos,logistic,lbfgs,True,3.032224255133624,2030,137.9404048915281
Cametá,dados_abaetetuba__populacao_total,População Total,dados_abaetetuba,Grupo 1 — 4 censos,logistic,lbfgs,True,3.032224255133624,2040,140.3088759754106
