municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Conceição_do_Araguaia,dados_coinceicao_do_araguaia__anos_de_estudo_media,Anos de Estudo (Média),dados_coinceicao_do_araguaia,Grupo 1 — 4 censos,logistic,lbfgs,True,0.2899632125175098,2030,9.467431509860555
Conceição_do_Araguaia,dados_coinceicao_do_araguaia__anos_de_estudo_media,Anos de Estudo (Média),dados_coinceicao_do_araguaia,Grupo 1 — 4 censos,logistic,lbfgs,True,0.2899632125175098,2040,9.826939736128262
Conceição_do_Araguaia,dados_coinceicao_do_araguaia__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_coinceicao_do_araguaia,Grupo 1 — 4 censos,relu,sgd,True,34.36986845713756,2030,420.01351019192407
Conceição_do_Araguaia,dados_coinceicao_do_araguaia__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_coinceicao_do_araguaia,Grupo 1 — 4 censos,relu,sgd,True,34.36986845713756,2040,464.75437364882
Conceição_do_Araguaia,dados_coinceicao_do_araguaia__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_coinceicao_do_araguaia,Grupo 1 — 4 censos,identity,lbfgs,True,0.04462879730534208,2030,20.72497033650713
Conceição_do_Araguaia,dados_coinceicao_do_araguaia__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_coinceicao_do_araguaia,Grupo 1 — 4 censos,identity,lbfgs,True,0.04462879730534208,2040,24.108604045721563
Conceição_do_Araguaia,dados_coinceicao_do_araguaia__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_coinceicao_do_araguaia,Grupo 1 — 4 censos,identity,lbfgs,True,0.290644005449473,2030,10.108429308528475
Conceição_do_Araguaia,dados_coinceicao_do_araguaia__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_coinceicao_do_araguaia,Grupo 1 — 4 censos,identity,lbfgs,True,0.290644005449473,2040,11.94703554630869
Conceição_do_Araguaia,dados_coinceicao_do_araguaia__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_coinceicao_do_araguaia,Grupo 1 — 4 censos,logistic,lbfgs,True,0.3174506252840371,2030,9.827139759316138
Conceição_do_Araguaia,dados_coinceicao_do_araguaia__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_coinceicao_do_araguaia,Grupo 1 — 4 censos,logistic,lbfgs,True,0.3174506252840371,2040,10.153222050590813
Conceição_do_Araguaia,dados_coinceicao_do_araguaia__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_coinceicao_do_araguaia,Grupo 1 — 4 censos,relu,adam,True,0.27708049578630933,2030,2.069558715486988
Conceição_do_Araguaia,dados_coinceicao_do_araguaia__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_coinceicao_do_araguaia,Grupo 1 — 4 censos,relu,adam,True,0.27708049578630933,2040,1.502461567989208
Conceição_do_Araguaia,dados_coinceicao_do_araguaia__populacao_total,População Total,dados_coinceicao_do_araguaia,Grupo 1 — 4 censos,logistic,adam,True,0.8868342350204284,2030,45.55916598486088
Conceição_do_Araguaia,dados_coinceicao_do_araguaia__populacao_total,População Total,dados_coinceicao_do_araguaia,Grupo 1 — 4 censos,logistic,adam,True,0.8868342350204284,2040,45.68329867372611
Conceição_do_Araguaia,dados_coinceicao_do_araguaia__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_coinceicao_do_araguaia,Grupo 1 — 4 censos,logistic,lbfgs,True,2.4998294431824597,2030,93.38939064695325
Conceição_do_Araguaia,dados_coinceicao_do_araguaia__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_coinceicao_do_araguaia,Grupo 1 — 4 censos,logistic,lbfgs,True,2.4998294431824597,2040,94.6010237331794
