municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Cumaru do Norte,dados_cumaru_do_norte__2_trabalhos,2 trabalhos,dados_cumaru_do_norte,Grupo 2 — 3 censos,logistic,sgd,True,0.7413491798035344,2030,3.4722182872714726
Cumaru do Norte,dados_cumaru_do_norte__2_trabalhos,2 trabalhos,dados_cumaru_do_norte,Grupo 2 — 3 censos,logistic,sgd,True,0.7413491798035344,2040,3.4701974987542994
Cumaru do Norte,dados_cumaru_do_norte__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_cumaru_do_norte,Grupo 2 — 3 censos,tanh,adam,True,0.062348953958866936,2030,0.6266041579919953
Cumaru do Norte,dados_cumaru_do_norte__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_cumaru_do_norte,Grupo 2 — 3 censos,tanh,adam,True,0.062348953958866936,2040,0.6371422561639152
Cumaru do Norte,dados_cumaru_do_norte__anos_de_estudo_media,Anos de Estudo (Média),dados_cumaru_do_norte,Grupo 2 — 3 censos,identity,adam,True,0.25826835188695973,2030,7.774637090100031
Cumaru do Norte,dados_cumaru_do_norte__anos_de_estudo_media,Anos de Estudo (Média),dados_cumaru_do_norte,Grupo 2 — 3 censos,identity,adam,True,0.25826835188695973,2040,9.309925176479712
Cumaru do Norte,dados_cumaru_do_norte__apenas_1_trabalho,Apenas 1 trabalho,dados_cumaru_do_norte,Grupo 2 — 3 censos,logistic,sgd,True,0.8584745970609902,2030,96.0689226671568
Cumaru do Norte,dados_cumaru_do_norte__apenas_1_trabalho,Apenas 1 trabalho,dados_cumaru_do_norte,Grupo 2 — 3 censos,logistic,sgd,True,0.8584745970609902,2040,96.06543777920692
Cumaru do Norte,dados_cumaru_do_norte__casais_com_filhos,Casais com filhos,dados_cumaru_do_norte,Grupo 2 — 3 censos,identity,lbfgs,True,0.18302276750720617,2030,37.09646133864622
Cumaru do Norte,dados_cumaru_do_norte__casais_com_filhos,Casais com filhos,dados_cumaru_do_norte,Grupo 2 — 3 censos,identity,lbfgs,True,0.18302276750720617,2040,27.008569400729804
