municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Curralinho,dados_curralinho__anos_de_estudo_media,Anos de Estudo (Média),dados_curralinho,Grupo 1 — 4 censos,identity,lbfgs,True,0.1096299710582806,2030,7.550911750015359
Curralinho,dados_curralinho__anos_de_estudo_media,Anos de Estudo (Média),dados_curralinho,Grupo 1 — 4 censos,identity,lbfgs,True,0.1096299710582806,2040,9.18022192744334
Curralinho,dados_curralinho__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_curralinho,Grupo 1 — 4 censos,relu,lbfgs,True,6.716117507038341,2030,159.89788785032195
Curralinho,dados_curralinho__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_curralinho,Grupo 1 — 4 censos,relu,lbfgs,True,6.716117507038341,2040,159.7575957724722
Curralinho,dados_curralinho__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_curralinho,Grupo 1 — 4 censos,relu,adam,True,0.31127608580843114,2030,10.23938029367075
Curralinho,dados_curralinho__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_curralinho,Grupo 1 — 4 censos,relu,adam,True,0.31127608580843114,2040,11.572966179409754
Curralinho,dados_curralinho__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_curralinho,Grupo 1 — 4 censos,identity,adam,True,0.10252039914773547,2030,6.960422564960245
Curralinho,dados_curralinho__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_curralinho,Grupo 1 — 4 censos,identity,adam,True,0.10252039914773547,2040,8.487082262548789
Curralinho,dados_curralinho__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_curralinho,Grupo 1 — 4 censos,identity,lbfgs,True,0.11834360616135164,2030,8.135326447588296
Curralinho,dados_curralinho__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_curralinho,Grupo 1 — 4 censos,identity,lbfgs,True,0.11834360616135164,2040,9.861306524361707
Curralinho,dados_curralinho__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_curralinho,Grupo 1 — 4 censos,logistic,lbfgs,True,0.0904440175202883,2030,3.586033141032489
Curralinho,dados_curralinho__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_curralinho,Grupo 1 — 4 censos,logistic,lbfgs,True,0.0904440175202883,2040,3.529400032002104
Curralinho,dados_curralinho__populacao_total,População Total,dados_curralinho,Grupo 1 — 4 censos,identity,adam,True,0.386421429784388,2030,37.45829054966186
Curralinho,dados_curralinho__populacao_total,População Total,dados_curralinho,Grupo 1 — 4 censos,identity,adam,True,0.386421429784388,2040,42.019852982588326
Curralinho,dados_curralinho__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_curralinho,Grupo 1 — 4 censos,logistic,lbfgs,True,3.886640192897266,2030,84.03419719896996
Curralinho,dados_curralinho__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_curralinho,Grupo 1 — 4 censos,logistic,lbfgs,True,3.886640192897266,2040,85.93303363124625
Curralinho,dados_curralinho__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_curralinho,Grupo 1 — 4 censos,relu,adam,True,0.3132615000566985,2030,10.400484812174241
Curralinho,dados_curralinho__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_curralinho,Grupo 1 — 4 censos,relu,adam,True,0.3132615000566985,2040,11.73428485208095
Curralinho,dados_curralinho__2_trabalhos,2 trabalhos,dados_curralinho,Grupo 2 — 3 censos,relu,lbfgs,True,0.7610291592738779,2030,7.086811756824514
Curralinho,dados_curralinho__2_trabalhos,2 trabalhos,dados_curralinho,Grupo 2 — 3 censos,relu,lbfgs,True,0.7610291592738779,2040,8.278108336486707
Curralinho,dados_curralinho__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_curralinho,Grupo 2 — 3 censos,tanh,adam,True,0.01901074828302644,2030,0.7133020789959976
Curralinho,dados_curralinho__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_curralinho,Grupo 2 — 3 censos,tanh,adam,True,0.01901074828302644,2040,0.7185711280819574
Curralinho,dados_curralinho__apenas_1_trabalho,Apenas 1 trabalho,dados_curralinho,Grupo 2 — 3 censos,relu,lbfgs,True,0.6265605515655418,2030,91.80812283819498
Curralinho,dados_curralinho__apenas_1_trabalho,Apenas 1 trabalho,dados_curralinho,Grupo 2 — 3 censos,relu,lbfgs,True,0.6265605515655418,2040,90.02653334124683
Curralinho,dados_curralinho__casais_com_filhos,Casais com filhos,dados_curralinho,Grupo 2 — 3 censos,identity,lbfgs,True,2.1048301534637517,2030,42.21171980649076
Curralinho,dados_curralinho__casais_com_filhos,Casais com filhos,dados_curralinho,Grupo 2 — 3 censos,identity,lbfgs,True,2.1048301534637517,2040,32.70071113254522
Curralinho,dados_curralinho__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_curralinho,Grupo 2 — 3 censos,logistic,sgd,True,0.4031773273359172,2030,9.201726242055509
Curralinho,dados_curralinho__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_curralinho,Grupo 2 — 3 censos,logistic,sgd,True,0.4031773273359172,2040,9.200059919316162
Curralinho,dados_curralinho__casais_sem_filhos,Casais sem filhos,dados_curralinho,Grupo 2 — 3 censos,identity,adam,True,0.9136427880013146,2030,12.27593007899431
Curralinho,dados_curralinho__casais_sem_filhos,Casais sem filhos,dados_curralinho,Grupo 2 — 3 censos,identity,adam,True,0.9136427880013146,2040,14.827368360582774
Curralinho,dados_curralinho__conta_propria,Conta própria,dados_curralinho,Grupo 2 — 3 censos,relu,adam,True,0.7624988893158203,2030,9.480017142275639
Curralinho,dados_curralinho__conta_propria,Conta própria,dados_curralinho,Grupo 2 — 3 censos,relu,adam,True,0.7624988893158203,2040,10.214857528234344
Curralinho,dados_curralinho__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_curralinho,Grupo 2 — 3 censos,identity,adam,True,0.1511322742834024,2030,21.53965889246134
Curralinho,dados_curralinho__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_curralinho,Grupo 2 — 3 censos,identity,adam,True,0.1511322742834024,2040,25.430891714659854
Curralinho,dados_curralinho__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_curralinho,Grupo 2 — 3 censos,identity,adam,True,0.21190129825680395,2030,25.23955609711755
Curralinho,dados_curralinho__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_curralinho,Grupo 2 — 3 censos,identity,adam,True,0.21190129825680395,2040,29.492014560850066
Curralinho,dados_curralinho__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_curralinho,Grupo 2 — 3 censos,identity,lbfgs,True,2.897955117003093,2030,20.897302942492676
