municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Eldorado do Carajás,dados_eldorado_do_carajas__2_trabalhos,2 trabalhos,dados_eldorado_do_carajas,Grupo 2 — 3 censos,relu,lbfgs,True,0.9012494566880745,2030,8.777937647628669
Eldorado do Carajás,dados_eldorado_do_carajas__2_trabalhos,2 trabalhos,dados_eldorado_do_carajas,Grupo 2 — 3 censos,relu,lbfgs,True,0.9012494566880745,2040,10.20064571680063
Eldorado do Carajás,dados_eldorado_do_carajas__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_eldorado_do_carajas,Grupo 2 — 3 censos,identity,adam,True,0.04570848225506915,2030,1.373439684469004
Eldorado do Carajás,dados_eldorado_do_carajas__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_eldorado_do_carajas,Grupo 2 — 3 censos,identity,adam,True,0.04570848225506915,2040,1.6005948232298177
Eldorado do Carajás,dados_eldorado_do_carajas__anos_de_estudo_media,Anos de Estudo (Média),dados_eldorado_do_carajas,Grupo 2 — 3 censos,identity,adam,True,0.33422963185371213,2030,9.449530351894158
Eldorado do Carajás,dados_eldorado_do_carajas__anos_de_estudo_media,Anos de Estudo (Média),dados_eldorado_do_carajas,Grupo 2 — 3 censos,identity,adam,True,0.33422963185371213,2040,11.436373757797277
Eldorado do Carajás,dados_eldorado_do_carajas__apenas_1_trabalho,Apenas 1 trabalho,dados_eldorado_do_carajas,Grupo 2 — 3 censos,relu,lbfgs,True,0.7450670568377973,2030,89.42646226353868
Eldorado do Carajás,dados_eldorado_do_carajas__apenas_1_trabalho,Apenas 1 trabalho,dados_eldorado_do_carajas,Grupo 2 — 3 censos,relu,lbfgs,True,0.7450670568377973,2040,87.15515953415749
Eldorado do Carajás,dados_eldorado_do_carajas__casais_com_filhos,Casais com filhos,dados_eldorado_do_carajas,Grupo 2 — 3 censos,identity,lbfgs,True,1.738771787063257,2030,40.81835977604146
Eldorado do Carajás,dados_eldorado_do_carajas__casais_com_filhos,Casais com filhos,dados_eldorado_do_carajas,Grupo 2 — 3 censos,identity,lbfgs,True,1.738771787063257,2040,31.483186750493083
Eldorado do Carajás,dados_eldorado_do_carajas__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_eldorado_do_carajas,Grupo 2 — 3 censos,logistic,sgd,True,0.2971637014684472,2030,8.300591409034126
Eldorado do Carajás,dados_eldorado_do_carajas__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_eldorado_do_carajas,Grupo 2 — 3 censos,logistic,sgd,True,0.2971637014684472,2040,8.299410399844492
Eldorado do Carajás,dados_eldorado_do_carajas__casais_sem_filhos,Casais sem filhos,dados_eldorado_do_carajas,Grupo 2 — 3 censos,identity,adam,True,1.1876302529816967,2030,14.520211235035793
Eldorado do Carajás,dados_eldorado_do_carajas__casais_sem_filhos,Casais sem filhos,dados_eldorado_do_carajas,Grupo 2 — 3 censos,identity,adam,True,1.1876302529816967,2040,17.438832970959147
Eldorado do Carajás,dados_eldorado_do_carajas__conta_propria,Conta própria,dados_eldorado_do_carajas,Grupo 2 — 3 censos,logistic,sgd,True,1.6002584305083243,2030,5.738565948657164
Eldorado do Carajás,dados_eldorado_do_carajas__conta_propria,Conta própria,dados_eldorado_do_carajas,Grupo 2 — 3 censos,logistic,sgd,True,1.6002584305083243,2040,5.734655893302462
Eldorado do Carajás,dados_eldorado_do_carajas__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_eldorado_do_carajas,Grupo 2 — 3 censos,logistic,sgd,True,13.438696771629472,2030,226.7397812126569
Eldorado do Carajás,dados_eldorado_do_carajas__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_eldorado_do_carajas,Grupo 2 — 3 censos,logistic,sgd,True,13.438696771629472,2040,226.6981033623243
Eldorado do Carajás,dados_eldorado_do_carajas__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_eldorado_do_carajas,Grupo 2 — 3 censos,logistic,adam,True,1.3022205361179082,2030,10.273852415647168
Eldorado do Carajás,dados_eldorado_do_carajas__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_eldorado_do_carajas,Grupo 2 — 3 censos,logistic,adam,True,1.3022205361179082,2040,10.496462818491054
Eldorado do Carajás,dados_eldorado_do_carajas__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_eldorado_do_carajas,Grupo 2 — 3 censos,identity,lbfgs,True,0.2440393359036482,2030,25.395374255218584
Eldorado do Carajás,dados_eldorado_do_carajas__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_eldorado_do_carajas,Grupo 2 — 3 censos,identity,lbfgs,True,0.2440393359036482,2040,29.94488732931669
Eldorado do Carajás,dados_eldorado_do_carajas__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_eldorado_do_carajas,Grupo 2 — 3 censos,identity,lbfgs,True,0.1525240142060825,2030,27.047045767201872
Eldorado do Carajás,dados_eldorado_do_carajas__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_eldorado_do_carajas,Grupo 2 — 3 censos,identity,lbfgs,True,0.1525240142060825,2040,31.14050854135681
Eldorado do Carajás,dados_eldorado_do_carajas__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_eldorado_do_carajas,Grupo 2 — 3 censos,identity,lbfgs,True,3.11148905714183,2030,11.643424355780684
Eldorado do Carajás,dados_eldorado_do_carajas__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_eldorado_do_carajas,Grupo 2 — 3 censos,identity,lbfgs,True,3.11148905714183,2040,-0.8511205224596949
Eldorado do Carajás,dados_eldorado_do_carajas__empregador,Empregador,dados_eldorado_do_carajas,Grupo 2 — 3 censos,relu,adam,True,141.30477261276678,2030,843.9999807125229
Eldorado do Carajás,dados_eldorado_do_carajas__empregador,Empregador,dados_eldorado_do_carajas,Grupo 2 — 3 censos,relu,adam,True,141.30477261276678,2040,923.0840835435494
Eldorado do Carajás,dados_eldorado_do_carajas__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_eldorado_do_carajas,Grupo 2 — 3 censos,relu,adam,True,4.769897534624349,2030,97.35259769907566
Eldorado do Carajás,dados_eldorado_do_carajas__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_eldorado_do_carajas,Grupo 2 — 3 censos,relu,adam,True,4.769897534624349,2040,99.80504624557733
