municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Faro,dados_faro__2_trabalhos,2 trabalhos,dados_faro,Grupo 2 — 3 censos,relu,sgd,True,0.6758317798695583,2030,5.360222379256116
Faro,dados_faro__2_trabalhos,2 trabalhos,dados_faro,Grupo 2 — 3 censos,relu,sgd,True,0.6758317798695583,2040,6.1342701745576065
Faro,dados_faro__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_faro,Grupo 2 — 3 censos,identity,adam,True,0.015192255993350575,2030,0.6749786523588253
Faro,dados_faro__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_faro,Grupo 2 — 3 censos,identity,adam,True,0.015192255993350575,2040,0.7652897162635125
Faro,dados_faro__anos_de_estudo_media,Anos de Estudo (Média),dados_faro,Grupo 2 — 3 censos,identity,adam,True,0.19736761363853925,2030,8.373013772284235
Faro,dados_faro__anos_de_estudo_media,Anos de Estudo (Média),dados_faro,Grupo 2 — 3 censos,identity,adam,True,0.19736761363853925,2040,10.045055732181002
Faro,dados_faro__apenas_1_trabalho,Apenas 1 trabalho,dados_faro,Grupo 2 — 3 censos,relu,lbfgs,True,0.5470088003953748,2030,93.52487618986888
Faro,dados_faro__apenas_1_trabalho,Apenas 1 trabalho,dados_faro,Grupo 2 — 3 censos,relu,lbfgs,True,0.5470088003953748,2040,92.15052075498896
Faro,dados_faro__casais_com_filhos,Casais com filhos,dados_faro,Grupo 2 — 3 censos,identity,lbfgs,True,0.6711008032309707,2030,36.0876595956252
Faro,dados_faro__casais_com_filhos,Casais com filhos,dados_faro,Grupo 2 — 3 censos,identity,lbfgs,True,0.6711008032309707,2040,26.098665051356853
Faro,dados_faro__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_faro,Grupo 2 — 3 censos,logistic,sgd,True,0.9905481941230395,2030,7.402825586857258
Faro,dados_faro__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_faro,Grupo 2 — 3 censos,logistic,sgd,True,0.9905481941230395,2040,7.398757561419088
Faro,dados_faro__casais_sem_filhos,Casais sem filhos,dados_faro,Grupo 2 — 3 censos,identity,adam,True,0.8987139605579989,2030,18.047235776001898
Faro,dados_faro__casais_sem_filhos,Casais sem filhos,dados_faro,Grupo 2 — 3 censos,identity,adam,True,0.8987139605579989,2040,21.68470322721904
Faro,dados_faro__conta_propria,Conta própria,dados_faro,Grupo 2 — 3 censos,relu,adam,True,0.0573410968910076,2030,1.5531184539481222
Faro,dados_faro__conta_propria,Conta própria,dados_faro,Grupo 2 — 3 censos,relu,adam,True,0.0573410968910076,2040,1.6427713653603357
Faro,dados_faro__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_faro,Grupo 2 — 3 censos,tanh,adam,True,4.897877004971829,2030,41.33020789959976
Faro,dados_faro__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_faro,Grupo 2 — 3 censos,tanh,adam,True,4.897877004971829,2040,41.85711280819576
Faro,dados_faro__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_faro,Grupo 2 — 3 censos,relu,lbfgs,True,0.26634853387763396,2030,3.27891783656786
Faro,dados_faro__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_faro,Grupo 2 — 3 censos,relu,lbfgs,True,0.26634853387763396,2040,3.691605723898904
Faro,dados_faro__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_faro,Grupo 2 — 3 censos,identity,adam,True,1.2338655923368365,2030,25.98637383903839
Faro,dados_faro__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_faro,Grupo 2 — 3 censos,identity,adam,True,1.2338655923368365,2040,31.12365788469526
Faro,dados_faro__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_faro,Grupo 2 — 3 censos,identity,adam,True,0.9271227584194411,2030,26.778910188000438
Faro,dados_faro__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_faro,Grupo 2 — 3 censos,identity,adam,True,0.9271227584194411,2040,30.793983548858844
Faro,dados_faro__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_faro,Grupo 2 — 3 censos,relu,adam,True,4.778498214586219,2030,15.382245489269799
Faro,dados_faro__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_faro,Grupo 2 — 3 censos,relu,adam,True,4.778498214586219,2040,6.541437948066648
Faro,dados_faro__empregador,Empregador,dados_faro,Grupo 2 — 3 censos,identity,sgd,True,3.0370808233056885,2030,136.8974426752009
Faro,dados_faro__empregador,Empregador,dados_faro,Grupo 2 — 3 censos,identity,sgd,True,3.0370808233056885,2040,170.27820913983348
Faro,dados_faro__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_faro,Grupo 2 — 3 censos,logistic,adam,True,5.220948886301396,2030,96.8294323231345
