municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Garrafão do Norte,dados_garrafao_do_norte__anos_de_estudo_media,Anos de Estudo (Média),dados_garrafao_do_norte,Grupo 1 — 4 censos,identity,adam,True,0.15380799704623233,2030,7.359316455882995
Garrafão do Norte,dados_garrafao_do_norte__anos_de_estudo_media,Anos de Estudo (Média),dados_garrafao_do_norte,Grupo 1 — 4 censos,identity,adam,True,0.15380799704623233,2040,8.957559438774346
Garrafão do Norte,dados_garrafao_do_norte__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_garrafao_do_norte,Grupo 1 — 4 censos,relu,lbfgs,True,4.0231272267701,2030,77.6218081907551
Garrafão do Norte,dados_garrafao_do_norte__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_garrafao_do_norte,Grupo 1 — 4 censos,relu,lbfgs,True,4.0231272267701,2040,62.46455984980672
Garrafão do Norte,dados_garrafao_do_norte__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_garrafao_do_norte,Grupo 1 — 4 censos,identity,lbfgs,True,0.09896869852225654,2030,8.353280746544678
Garrafão do Norte,dados_garrafao_do_norte__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_garrafao_do_norte,Grupo 1 — 4 censos,identity,lbfgs,True,0.09896869852225654,2040,9.604170423960106
Garrafão do Norte,dados_garrafao_do_norte__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_garrafao_do_norte,Grupo 1 — 4 censos,identity,adam,True,0.16511676600143144,2030,6.775313375778371
Garrafão do Norte,dados_garrafao_do_norte__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_garrafao_do_norte,Grupo 1 — 4 censos,identity,adam,True,0.16511676600143144,2040,8.277288568404767
Garrafão do Norte,dados_garrafao_do_norte__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_garrafao_do_norte,Grupo 1 — 4 censos,identity,adam,True,0.1424973517983178,2030,7.9433240181499425
Garrafão do Norte,dados_garrafao_do_norte__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_garrafao_do_norte,Grupo 1 — 4 censos,identity,adam,True,0.1424973517983178,2040,9.637838720382463
Garrafão do Norte,dados_garrafao_do_norte__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_garrafao_do_norte,Grupo 1 — 4 censos,identity,adam,True,0.034726196171290136,2030,2.6361355428307203
Garrafão do Norte,dados_garrafao_do_norte__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_garrafao_do_norte,Grupo 1 — 4 censos,identity,adam,True,0.034726196171290136,2040,1.8173268057072098
Garrafão do Norte,dados_garrafao_do_norte__populacao_total,População Total,dados_garrafao_do_norte,Grupo 1 — 4 censos,logistic,lbfgs,True,0.901773971247473,2030,24.385685990499656
Garrafão do Norte,dados_garrafao_do_norte__populacao_total,População Total,dados_garrafao_do_norte,Grupo 1 — 4 censos,logistic,lbfgs,True,0.901773971247473,2040,24.24107467924998
Garrafão do Norte,dados_garrafao_do_norte__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_garrafao_do_norte,Grupo 1 — 4 censos,logistic,lbfgs,True,2.289276326749615,2030,82.12930443580314
Garrafão do Norte,dados_garrafao_do_norte__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_garrafao_do_norte,Grupo 1 — 4 censos,logistic,lbfgs,True,2.289276326749615,2040,83.59488686694974
Garrafão do Norte,dados_garrafao_do_norte__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_garrafao_do_norte,Grupo 1 — 4 censos,identity,lbfgs,True,0.08874875601656507,2030,8.439156552605214
Garrafão do Norte,dados_garrafao_do_norte__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_garrafao_do_norte,Grupo 1 — 4 censos,identity,lbfgs,True,0.08874875601656507,2040,9.680097653651409
Garrafão do Norte,dados_garrafao_do_norte__2_trabalhos,2 trabalhos,dados_garrafao_do_norte,Grupo 2 — 3 censos,relu,lbfgs,True,0.8609864254001923,2030,7.27314314671953
Garrafão do Norte,dados_garrafao_do_norte__2_trabalhos,2 trabalhos,dados_garrafao_do_norte,Grupo 2 — 3 censos,relu,lbfgs,True,0.8609864254001923,2040,8.64992656956506
Garrafão do Norte,dados_garrafao_do_norte__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_garrafao_do_norte,Grupo 2 — 3 censos,logistic,sgd,True,0.20224865098067824,2030,0.60172370902957
