municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Inhangapi,dados_inhangapi__anos_de_estudo_media,Anos de Estudo (Média),dados_inhangapi,Grupo 1 — 4 censos,identity,lbfgs,True,0.15504495713409483,2030,9.9519456444278
Inhangapi,dados_inhangapi__anos_de_estudo_media,Anos de Estudo (Média),dados_inhangapi,Grupo 1 — 4 censos,identity,lbfgs,True,0.15504495713409483,2040,11.550753376064177
Inhangapi,dados_inhangapi__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_inhangapi,Grupo 1 — 4 censos,identity,lbfgs,True,0.12580102302297358,2030,9.508635216364182
Inhangapi,dados_inhangapi__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_inhangapi,Grupo 1 — 4 censos,identity,lbfgs,True,0.12580102302297358,2040,11.068962521087636
Inhangapi,dados_inhangapi__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_inhangapi,Grupo 1 — 4 censos,identity,lbfgs,True,0.18428872622106285,2030,10.39525598673518
Inhangapi,dados_inhangapi__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_inhangapi,Grupo 1 — 4 censos,identity,lbfgs,True,0.18428872622106285,2040,12.032544198956307
Inhangapi,dados_inhangapi__populacao_total,População Total,dados_inhangapi,Grupo 1 — 4 censos,relu,lbfgs,True,0.21206628115351966,2030,12.583285215546635
Inhangapi,dados_inhangapi__populacao_total,População Total,dados_inhangapi,Grupo 1 — 4 censos,relu,lbfgs,True,0.21206628115351966,2040,13.82846801962873
Inhangapi,dados_inhangapi__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_inhangapi,Grupo 1 — 4 censos,logistic,lbfgs,True,1.3595513307531597,2030,91.98982602353193
Inhangapi,dados_inhangapi__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_inhangapi,Grupo 1 — 4 censos,logistic,lbfgs,True,1.3595513307531597,2040,93.07197826195961
Inhangapi,dados_inhangapi__2_trabalhos,2 trabalhos,dados_inhangapi,Grupo 2 — 3 censos,relu,lbfgs,True,0.6215770336287946,2030,5.674888374478787
Inhangapi,dados_inhangapi__2_trabalhos,2 trabalhos,dados_inhangapi,Grupo 2 — 3 censos,relu,lbfgs,True,0.6215770336287946,2040,6.583449107842972
Inhangapi,dados_inhangapi__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_inhangapi,Grupo 2 — 3 censos,identity,adam,True,0.060900738248419774,2030,0.7985214662320534
Inhangapi,dados_inhangapi__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_inhangapi,Grupo 2 — 3 censos,identity,adam,True,0.060900738248419774,2040,0.9354311763287215
Inhangapi,dados_inhangapi__apenas_1_trabalho,Apenas 1 trabalho,dados_inhangapi,Grupo 2 — 3 censos,relu,lbfgs,True,0.54700880039537,2030,93.3248761898689
Inhangapi,dados_inhangapi__apenas_1_trabalho,Apenas 1 trabalho,dados_inhangapi,Grupo 2 — 3 censos,relu,lbfgs,True,0.54700880039537,2040,91.950520754989
Inhangapi,dados_inhangapi__casais_com_filhos,Casais com filhos,dados_inhangapi,Grupo 2 — 3 censos,identity,lbfgs,True,1.525237846924514,2030,33.57223261346623
Inhangapi,dados_inhangapi__casais_com_filhos,Casais com filhos,dados_inhangapi,Grupo 2 — 3 censos,identity,lbfgs,True,1.525237846924514,2040,24.50629542632597
Inhangapi,dados_inhangapi__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_inhangapi,Grupo 2 — 3 censos,logistic,sgd,True,1.0079433183397948,2030,7.804315605138771
Inhangapi,dados_inhangapi__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_inhangapi,Grupo 2 — 3 censos,logistic,sgd,True,1.0079433183397948,2040,7.800149798290406
Inhangapi,dados_inhangapi__casais_sem_filhos,Casais sem filhos,dados_inhangapi,Grupo 2 — 3 censos,identity,lbfgs,True,0.21353453306243017,2030,20.545965097787594
Inhangapi,dados_inhangapi__casais_sem_filhos,Casais sem filhos,dados_inhangapi,Grupo 2 — 3 censos,identity,lbfgs,True,0.21353453306243017,2040,24.276785620406738
Inhangapi,dados_inhangapi__conta_propria,Conta própria,dados_inhangapi,Grupo 2 — 3 censos,identity,adam,True,0.015165913138347031,2030,1.794638904939482
Inhangapi,dados_inhangapi__conta_propria,Conta própria,dados_inhangapi,Grupo 2 — 3 censos,identity,adam,True,0.015165913138347031,2040,1.9845517309847918
Inhangapi,dados_inhangapi__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_inhangapi,Grupo 2 — 3 censos,tanh,lbfgs,True,5.607477851245162,2030,39.630091475975
Inhangapi,dados_inhangapi__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_inhangapi,Grupo 2 — 3 censos,tanh,lbfgs,True,5.607477851245162,2040,39.3756492442494
Inhangapi,dados_inhangapi__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_inhangapi,Grupo 2 — 3 censos,identity,adam,True,0.4201887510590927,2030,4.540188235226817
Inhangapi,dados_inhangapi__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_inhangapi,Grupo 2 — 3 censos,identity,adam,True,0.4201887510590927,2040,5.385321676358799
Inhangapi,dados_inhangapi__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_inhangapi,Grupo 2 — 3 censos,identity,adam,True,1.2946346163102351,2030,27.586658095692606
Inhangapi,dados_inhangapi__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_inhangapi,Grupo 2 — 3 censos,identity,adam,True,1.2946346163102351,2040,32.362911612839156
Inhangapi,dados_inhangapi__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_inhangapi,Grupo 2 — 3 censos,identity,adam,True,0.881545990439386,2030,28.25397760692442
Inhangapi,dados_inhangapi__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_inhangapi,Grupo 2 — 3 censos,identity,adam,True,0.881545990439386,2040,31.998121431198957
Inhangapi,dados_inhangapi__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_inhangapi,Grupo 2 — 3 censos,relu,adam,True,4.4830133590899734,2030,12.244354613037402
Inhangapi,dados_inhangapi__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_inhangapi,Grupo 2 — 3 censos,relu,adam,True,4.4830133590899734,2040,4.901418755136248
Inhangapi,dados_inhangapi__empregador,Empregador,dados_inhangapi,Grupo 2 — 3 censos,identity,sgd,True,3.0370808233056885,2030,136.8974426752009
Inhangapi,dados_inhangapi__empregador,Empregador,dados_inhangapi,Grupo 2 — 3 censos,identity,sgd,True,3.0370808233056885,2040,170.27820913983348
Inhangapi,dados_inhangapi__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_inhangapi,Grupo 2 — 3 censos,logistic,adam,True,3.315534353956167,2030,98.51290692535788
Inhangapi,dados_inhangapi__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_inhangapi,Grupo 2 — 3 censos,logistic,adam,True,3.315534353956167,2040,99.11378443954173
Inhangapi,dados_inhangapi__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_inhangapi,Grupo 2 — 3 censos,relu,adam,True,3.507690112407533,2030,85.2680387322737
Inhangapi,dados_inhangapi__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_inhangapi,Grupo 2 — 3 censos,relu,adam,True,3.507690112407533,2040,88.91844428046004
Inhangapi,dados_inhangapi__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_inhangapi,Grupo 2 — 3 censos,logistic,sgd,True,3.6167471797380806,2030,24.860480907198177
Inhangapi,dados_inhangapi__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_inhangapi,Grupo 2 — 3 censos,logistic,sgd,True,3.6167471797380806,2040,24.851889641572267
Inhangapi,dados_inhangapi__idhm_educacao_indice_de_desenv_humano,IDHM Educação (Índice de Desenv. Humano),dados_inhangapi,Grupo 2 — 3 censos,relu,adam,True,0.0434138248824793,2030,0.7334834363398779
Inhangapi,dados_inhangapi__idhm_educacao_indice_de_desenv_humano,IDHM Educação (Índice de Desenv. Humano),dados_inhangapi,Grupo 2 — 3 censos,relu,adam,True,0.0434138248824793,2040,0.8062501151894985
Inhangapi,dados_inhangapi__idade_mediana,Idade Mediana,dados_inhangapi,Grupo 2 — 3 censos,relu,lbfgs,True,2.5036004004471324,2030,35.16120281806134
Inhangapi,dados_inhangapi__idade_mediana,Idade Mediana,dados_inhangapi,Grupo 2 — 3 censos,relu,lbfgs,True,2.5036004004471324,2040,39.07294055052432
Inhangapi,dados_inhangapi__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_inhangapi,Grupo 2 — 3 censos,identity,adam,True,1.5192255993350585,2030,37.49786523588253
Inhangapi,dados_inhangapi__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_inhangapi,Grupo 2 — 3 censos,identity,adam,True,1.5192255993350585,2040,46.52897162635126
Inhangapi,dados_inhangapi__maes_solo_mulheres_sem_conjuge_com_filhos,Mães solo (Mulheres sem cônjuge com filhos),dados_inhangapi,Grupo 2 — 3 censos,identity,adam,True,0.19697247081348657,2030,24.467946075120572
