municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Ipixuna do Pará,dados_ipixuna_do_para__2_trabalhos,2 trabalhos,dados_ipixuna_do_para,Grupo 2 — 3 censos,identity,adam,True,0.7611933709677391,2030,7.832497613656903
Ipixuna do Pará,dados_ipixuna_do_para__2_trabalhos,2 trabalhos,dados_ipixuna_do_para,Grupo 2 — 3 censos,identity,adam,True,0.7611933709677391,2040,9.295015659045188
Ipixuna do Pará,dados_ipixuna_do_para__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_ipixuna_do_para,Grupo 2 — 3 censos,relu,adam,True,0.10722708206803089,2030,0.8100811088051616
Ipixuna do Pará,dados_ipixuna_do_para__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_ipixuna_do_para,Grupo 2 — 3 censos,relu,adam,True,0.10722708206803089,2040,0.822652748124
Ipixuna do Pará,dados_ipixuna_do_para__anos_de_estudo_media,Anos de Estudo (Média),dados_ipixuna_do_para,Grupo 2 — 3 censos,identity,adam,True,0.15165913138347017,2030,8.346389049394821
Ipixuna do Pará,dados_ipixuna_do_para__anos_de_estudo_media,Anos de Estudo (Média),dados_ipixuna_do_para,Grupo 2 — 3 censos,identity,adam,True,0.15165913138347017,2040,10.24551730984792
Ipixuna do Pará,dados_ipixuna_do_para__apenas_1_trabalho,Apenas 1 trabalho,dados_ipixuna_do_para,Grupo 2 — 3 censos,relu,lbfgs,True,0.5113385322251863,2030,90.97285945266461
Ipixuna do Pará,dados_ipixuna_do_para__apenas_1_trabalho,Apenas 1 trabalho,dados_ipixuna_do_para,Grupo 2 — 3 censos,relu,lbfgs,True,0.5113385322251863,2040,89.17693438626519
Ipixuna do Pará,dados_ipixuna_do_para__casais_com_filhos,Casais com filhos,dados_ipixuna_do_para,Grupo 2 — 3 censos,identity,lbfgs,True,1.5557426038630051,2030,43.12167726573554
Ipixuna do Pará,dados_ipixuna_do_para__casais_com_filhos,Casais com filhos,dados_ipixuna_do_para,Grupo 2 — 3 censos,identity,lbfgs,True,1.5557426038630051,2040,33.874421334852485
Ipixuna do Pará,dados_ipixuna_do_para__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_ipixuna_do_para,Grupo 2 — 3 censos,logistic,sgd,True,0.330182371008411,2030,8.73414129014163
Ipixuna do Pará,dados_ipixuna_do_para__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_ipixuna_do_para,Grupo 2 — 3 censos,logistic,sgd,True,0.330182371008411,2040,8.73281184546342
Ipixuna do Pará,dados_ipixuna_do_para__casais_sem_filhos,Casais sem filhos,dados_ipixuna_do_para,Grupo 2 — 3 censos,identity,adam,True,1.5223867419354766,2030,13.264995227313806
Ipixuna do Pará,dados_ipixuna_do_para__casais_sem_filhos,Casais sem filhos,dados_ipixuna_do_para,Grupo 2 — 3 censos,identity,adam,True,1.5223867419354766,2040,16.190031318090377
Ipixuna do Pará,dados_ipixuna_do_para__conta_propria,Conta própria,dados_ipixuna_do_para,Grupo 2 — 3 censos,logistic,sgd,True,1.9085849714980088,2030,7.935156744359403
Ipixuna do Pará,dados_ipixuna_do_para__conta_propria,Conta própria,dados_ipixuna_do_para,Grupo 2 — 3 censos,logistic,sgd,True,1.9085849714980088,2040,7.929429955994112
Ipixuna do Pará,dados_ipixuna_do_para__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_ipixuna_do_para,Grupo 2 — 3 censos,relu,lbfgs,True,43.118546419814386,2030,104.46325869654207
Ipixuna do Pará,dados_ipixuna_do_para__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_ipixuna_do_para,Grupo 2 — 3 censos,relu,lbfgs,True,43.118546419814386,2040,34.36200239438779
Ipixuna do Pará,dados_ipixuna_do_para__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_ipixuna_do_para,Grupo 2 — 3 censos,logistic,sgd,True,2.3635655424596353,2030,9.966293824308048
Ipixuna do Pará,dados_ipixuna_do_para__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_ipixuna_do_para,Grupo 2 — 3 censos,logistic,sgd,True,2.3635655424596353,2040,9.959392458127049
Ipixuna do Pará,dados_ipixuna_do_para__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_ipixuna_do_para,Grupo 2 — 3 censos,identity,sgd,True,0.45714426455863527,2030,23.803963042507092
Ipixuna do Pará,dados_ipixuna_do_para__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_ipixuna_do_para,Grupo 2 — 3 censos,identity,sgd,True,0.45714426455863527,2040,28.28733653666212
Ipixuna do Pará,dados_ipixuna_do_para__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_ipixuna_do_para,Grupo 2 — 3 censos,identity,lbfgs,True,0.1525240142060825,2030,26.047045767201872
Ipixuna do Pará,dados_ipixuna_do_para__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_ipixuna_do_para,Grupo 2 — 3 censos,identity,lbfgs,True,0.1525240142060825,2040,30.14050854135681
Ipixuna do Pará,dados_ipixuna_do_para__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_ipixuna_do_para,Grupo 2 — 3 censos,identity,lbfgs,True,2.2878574119560717,2030,15.908363740661539
Ipixuna do Pará,dados_ipixuna_do_para__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_ipixuna_do_para,Grupo 2 — 3 censos,identity,lbfgs,True,2.2878574119560717,2040,3.30945339261784
Ipixuna do Pará,dados_ipixuna_do_para__empregador,Empregador,dados_ipixuna_do_para,Grupo 2 — 3 censos,logistic,sgd,True,285.3020147238421,2030,568.8162283313436
Ipixuna do Pará,dados_ipixuna_do_para__empregador,Empregador,dados_ipixuna_do_para,Grupo 2 — 3 censos,logistic,sgd,True,285.3020147238421,2040,568.1442698809731
Ipixuna do Pará,dados_ipixuna_do_para__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_ipixuna_do_para,Grupo 2 — 3 censos,logistic,adam,True,6.753138908159177,2030,96.71231396674466
Ipixuna do Pará,dados_ipixuna_do_para__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_ipixuna_do_para,Grupo 2 — 3 censos,logistic,adam,True,6.753138908159177,2040,97.95261307745712
Ipixuna do Pará,dados_ipixuna_do_para__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_ipixuna_do_para,Grupo 2 — 3 censos,relu,adam,True,5.775478488452812,2030,73.34341158562589
Ipixuna do Pará,dados_ipixuna_do_para__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_ipixuna_do_para,Grupo 2 — 3 censos,relu,adam,True,5.775478488452812,2040,81.35284632746895
Ipixuna do Pará,dados_ipixuna_do_para__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_ipixuna_do_para,Grupo 2 — 3 censos,identity,adam,True,1.0333368360978727,2030,23.102008230456253
