municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Itupiranga,dados_itupiranga__anos_de_estudo_media,Anos de Estudo (Média),dados_itupiranga,Grupo 1 — 4 censos,logistic,lbfgs,True,0.22582165677924126,2030,7.617196140430746
Itupiranga,dados_itupiranga__anos_de_estudo_media,Anos de Estudo (Média),dados_itupiranga,Grupo 1 — 4 censos,logistic,lbfgs,True,0.22582165677924126,2040,7.939238431224961
Itupiranga,dados_itupiranga__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_itupiranga,Grupo 1 — 4 censos,relu,sgd,True,21.415587136321022,2030,331.9040597913496
Itupiranga,dados_itupiranga__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_itupiranga,Grupo 1 — 4 censos,relu,sgd,True,21.415587136321022,2040,374.9033736292579
Itupiranga,dados_itupiranga__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_itupiranga,Grupo 1 — 4 censos,identity,adam,True,0.47242158775294696,2030,17.645059913113506
Itupiranga,dados_itupiranga__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_itupiranga,Grupo 1 — 4 censos,identity,adam,True,0.47242158775294696,2040,21.031589824061832
Itupiranga,dados_itupiranga__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_itupiranga,Grupo 1 — 4 censos,identity,adam,True,0.23558116888905883,2030,8.048148866449283
Itupiranga,dados_itupiranga__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_itupiranga,Grupo 1 — 4 censos,identity,adam,True,0.23558116888905883,2040,9.662465007461922
Itupiranga,dados_itupiranga__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_itupiranga,Grupo 1 — 4 censos,logistic,lbfgs,True,0.27833709638863213,2030,8.005921029684762
Itupiranga,dados_itupiranga__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_itupiranga,Grupo 1 — 4 censos,logistic,lbfgs,True,0.27833709638863213,2040,8.31695263761365
Itupiranga,dados_itupiranga__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_itupiranga,Grupo 1 — 4 censos,identity,lbfgs,True,0.15778717751191718,2030,2.3401658364438234
Itupiranga,dados_itupiranga__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_itupiranga,Grupo 1 — 4 censos,identity,lbfgs,True,0.15778717751191718,2040,1.4701470753945083
Itupiranga,dados_itupiranga__populacao_total,População Total,dados_itupiranga,Grupo 1 — 4 censos,tanh,sgd,True,3.453976508307031,2030,52.92910776120997
Itupiranga,dados_itupiranga__populacao_total,População Total,dados_itupiranga,Grupo 1 — 4 censos,tanh,sgd,True,3.453976508307031,2040,53.08997767696759
Itupiranga,dados_itupiranga__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_itupiranga,Grupo 1 — 4 censos,logistic,lbfgs,True,2.5661556270359984,2030,87.88838552101943
Itupiranga,dados_itupiranga__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_itupiranga,Grupo 1 — 4 censos,logistic,lbfgs,True,2.5661556270359984,2040,89.34094426252254
Itupiranga,dados_itupiranga__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_itupiranga,Grupo 1 — 4 censos,identity,adam,True,0.507157220742005,2030,17.9787330097585
Itupiranga,dados_itupiranga__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_itupiranga,Grupo 1 — 4 censos,identity,adam,True,0.507157220742005,2040,21.42029580459814
Itupiranga,dados_itupiranga__2_trabalhos,2 trabalhos,dados_itupiranga,Grupo 2 — 3 censos,relu,sgd,True,1.5219975074050358,2030,8.764790348790326
Itupiranga,dados_itupiranga__2_trabalhos,2 trabalhos,dados_itupiranga,Grupo 2 — 3 censos,relu,sgd,True,1.5219975074050358,2040,10.368968651015713
Itupiranga,dados_itupiranga__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_itupiranga,Grupo 2 — 3 censos,tanh,adam,True,0.11169107692838699,2030,0.839906236987993
Itupiranga,dados_itupiranga__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_itupiranga,Grupo 2 — 3 censos,tanh,adam,True,0.11169107692838699,2040,0.8557133842458728
Itupiranga,dados_itupiranga__apenas_1_trabalho,Apenas 1 trabalho,dados_itupiranga,Grupo 2 — 3 censos,relu,lbfgs,True,1.558956117224966,2030,89.26459953825947
