municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Jacareacanga,dados_jacareacanga__2_trabalhos,2 trabalhos,dados_jacareacanga,Grupo 2 — 3 censos,relu,lbfgs,True,0.7408976436299369,2030,8.190982983676726
Jacareacanga,dados_jacareacanga__2_trabalhos,2 trabalhos,dados_jacareacanga,Grupo 2 — 3 censos,relu,lbfgs,True,0.7408976436299369,2040,9.367644525270737
Jacareacanga,dados_jacareacanga__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_jacareacanga,Grupo 2 — 3 censos,relu,lbfgs,True,0.1101397426305167,2030,1.142052038222379
Jacareacanga,dados_jacareacanga__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_jacareacanga,Grupo 2 — 3 censos,relu,lbfgs,True,0.1101397426305167,2040,1.3131699617353445
Jacareacanga,dados_jacareacanga__anos_de_estudo_media,Anos de Estudo (Média),dados_jacareacanga,Grupo 2 — 3 censos,identity,adam,True,0.18217535764518974,2030,6.898035864902132
Jacareacanga,dados_jacareacanga__anos_de_estudo_media,Anos de Estudo (Média),dados_jacareacanga,Grupo 2 — 3 censos,identity,adam,True,0.18217535764518974,2040,8.47976755951999
Jacareacanga,dados_jacareacanga__apenas_1_trabalho,Apenas 1 trabalho,dados_jacareacanga,Grupo 2 — 3 censos,relu,lbfgs,True,0.6943208105027215,2030,90.34633798288733
Jacareacanga,dados_jacareacanga__apenas_1_trabalho,Apenas 1 trabalho,dados_jacareacanga,Grupo 2 — 3 censos,relu,lbfgs,True,0.6943208105027215,2040,88.48689138422183
Jacareacanga,dados_jacareacanga__casais_com_filhos,Casais com filhos,dados_jacareacanga,Grupo 2 — 3 censos,identity,lbfgs,True,1.9980631833943647,2030,46.23865802464098
Jacareacanga,dados_jacareacanga__casais_com_filhos,Casais com filhos,dados_jacareacanga,Grupo 2 — 3 censos,identity,lbfgs,True,1.9980631833943647,2040,36.86226779769158
Jacareacanga,dados_jacareacanga__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_jacareacanga,Grupo 2 — 3 censos,tanh,lbfgs,True,1.2687878889133275,2030,8.048676164355408
Jacareacanga,dados_jacareacanga__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_jacareacanga,Grupo 2 — 3 censos,tanh,lbfgs,True,1.2687878889133275,2040,7.996577722185652
Jacareacanga,dados_jacareacanga__casais_sem_filhos,Casais sem filhos,dados_jacareacanga,Grupo 2 — 3 censos,identity,adam,True,1.0810210324782072,2030,11.64827557980532
Jacareacanga,dados_jacareacanga__casais_sem_filhos,Casais sem filhos,dados_jacareacanga,Grupo 2 — 3 censos,identity,adam,True,1.0810210324782072,2040,14.20286190223636
Jacareacanga,dados_jacareacanga__conta_propria,Conta própria,dados_jacareacanga,Grupo 2 — 3 censos,tanh,adam,True,0.8037882567304718,2030,3.610973351901916
Jacareacanga,dados_jacareacanga__conta_propria,Conta própria,dados_jacareacanga,Grupo 2 — 3 censos,tanh,adam,True,0.8037882567304718,2040,3.67981345030797
Jacareacanga,dados_jacareacanga__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_jacareacanga,Grupo 2 — 3 censos,logistic,sgd,True,6.647894474716547,2030,136.70506827997787
Jacareacanga,dados_jacareacanga__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_jacareacanga,Grupo 2 — 3 censos,logistic,sgd,True,6.647894474716547,2040,136.6847890245326
Jacareacanga,dados_jacareacanga__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_jacareacanga,Grupo 2 — 3 censos,tanh,adam,True,1.4963125629431715,2030,6.176441044926434
Jacareacanga,dados_jacareacanga__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_jacareacanga,Grupo 2 — 3 censos,tanh,adam,True,1.4963125629431715,2040,6.294247978318616
Jacareacanga,dados_jacareacanga__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_jacareacanga,Grupo 2 — 3 censos,identity,adam,True,0.5162732752238869,2030,20.745852134769457
Jacareacanga,dados_jacareacanga__domicilios_com_2_moradores,Domicílios com 2 moradores,dados_jacareacanga,Grupo 2 — 3 censos,identity,adam,True,0.5162732752238869,2040,24.81241960239504
Jacareacanga,dados_jacareacanga__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_jacareacanga,Grupo 2 — 3 censos,identity,lbfgs,True,0.274544595331817,2030,24.244833907167372
Jacareacanga,dados_jacareacanga__domicilios_com_3_moradores,Domicílios com 3 moradores,dados_jacareacanga,Grupo 2 — 3 censos,identity,lbfgs,True,0.274544595331817,2040,28.61302586670361
Jacareacanga,dados_jacareacanga__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_jacareacanga,Grupo 2 — 3 censos,identity,lbfgs,True,1.1744299342853495,2030,28.60352455552984
Jacareacanga,dados_jacareacanga__domicilios_com_5_ou_mais_moradores,Domicílios com 5 ou mais moradores,dados_jacareacanga,Grupo 2 — 3 censos,identity,lbfgs,True,1.1744299342853495,2040,16.62276993090758
Jacareacanga,dados_jacareacanga__empregador,Empregador,dados_jacareacanga,Grupo 2 — 3 censos,identity,adam,True,27.41191792553978,2030,344.2411097457076
Jacareacanga,dados_jacareacanga__empregador,Empregador,dados_jacareacanga,Grupo 2 — 3 censos,identity,adam,True,27.41191792553978,2040,430.74134494507956
Jacareacanga,dados_jacareacanga__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_jacareacanga,Grupo 2 — 3 censos,relu,adam,True,5.749984428418979,2030,85.79616449394443
Jacareacanga,dados_jacareacanga__frequencia_escolar_criancas_6_a_14_anos,Frequência Escolar: Crianças (6 a 14 anos),dados_jacareacanga,Grupo 2 — 3 censos,relu,adam,True,5.749984428418979,2040,89.67783676703328
Jacareacanga,dados_jacareacanga__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_jacareacanga,Grupo 2 — 3 censos,identity,adam,True,2.8422690135067357,2030,64.83840188375628
Jacareacanga,dados_jacareacanga__frequencia_escolar_jovens_15_a_17_anos,Frequência Escolar: Jovens (15 a 17 anos),dados_jacareacanga,Grupo 2 — 3 censos,identity,adam,True,2.8422690135067357,2040,76.74691988441667
Jacareacanga,dados_jacareacanga__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_jacareacanga,Grupo 2 — 3 censos,identity,adam,True,0.6988437756941271,2030,18.849018008505965
Jacareacanga,dados_jacareacanga__frequencia_escolar_jovens_18_a_24_anos,Frequência Escolar: Jovens (18 a 24 anos),dados_jacareacanga,Grupo 2 — 3 censos,identity,adam,True,0.6988437756941271,2040,23.003326948121575
Jacareacanga,dados_jacareacanga__idade_mediana,Idade Mediana,dados_jacareacanga,Grupo 2 — 3 censos,relu,adam,True,0.8704586532031264,2030,23.91003497727408
Jacareacanga,dados_jacareacanga__idade_mediana,Idade Mediana,dados_jacareacanga,Grupo 2 — 3 censos,relu,adam,True,0.8704586532031264,2040,24.967044532036482
Jacareacanga,dados_jacareacanga__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_jacareacanga,Grupo 2 — 3 censos,identity,adam,True,9.115353596010342,2030,284.9871914152952
Jacareacanga,dados_jacareacanga__militar_e_empresa_estatal,Militar e Empresa Estatal,dados_jacareacanga,Grupo 2 — 3 censos,identity,adam,True,9.115353596010342,2040,339.17382975810756
Jacareacanga,dados_jacareacanga__maes_solo_mulheres_sem_conjuge_com_filhos,Mães solo (Mulheres sem cônjuge com filhos),dados_jacareacanga,Grupo 2 — 3 censos,identity,adam,True,0.02959422633659751,2030,19.739876510700633
Jacareacanga,dados_jacareacanga__maes_solo_mulheres_sem_conjuge_com_filhos,Mães solo (Mulheres sem cônjuge com filhos),dados_jacareacanga,Grupo 2 — 3 censos,identity,adam,True,0.02959422633659751,2040,22.90867089420346
Jacareacanga,dados_jacareacanga__maes_solo_vivendo_com_outros_parentes,Mães solo vivendo com outros parentes,dados_jacareacanga,Grupo 2 — 3 censos,relu,adam,True,0.4941217534682731,2030,4.360403388903989
Jacareacanga,dados_jacareacanga__maes_solo_vivendo_com_outros_parentes,Mães solo vivendo com outros parentes,dados_jacareacanga,Grupo 2 — 3 censos,relu,adam,True,0.4941217534682731,2040,4.926151469793068
Jacareacanga,dados_jacareacanga__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_jacareacanga,Grupo 2 — 3 censos,identity,adam,True,0.16698310165183913,2030,6.323058048423072
Jacareacanga,dados_jacareacanga__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_jacareacanga,Grupo 2 — 3 censos,identity,adam,True,0.16698310165183913,2040,7.8144795750868274
Jacareacanga,dados_jacareacanga__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_jacareacanga,Grupo 2 — 3 censos,identity,adam,True,0.19736761363854072,2030,7.473013772284235
Jacareacanga,dados_jacareacanga__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_jacareacanga,Grupo 2 — 3 censos,identity,adam,True,0.19736761363854072,2040,9.145055732181
Jacareacanga,dados_jacareacanga__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_jacareacanga,Grupo 2 — 3 censos,tanh,adam,True,0.8166889617852421,2030,4.051477530261095
Jacareacanga,dados_jacareacanga__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_jacareacanga,Grupo 2 — 3 censos,tanh,adam,True,0.8166889617852421,2040,4.090744125971161
Jacareacanga,dados_jacareacanga__media_populacao_amarela,Média: População Amarela,dados_jacareacanga,Grupo 2 — 3 censos,identity,adam,True,0.28865286387366024,2030,8.424594394817682
Jacareacanga,dados_jacareacanga__media_populacao_amarela,Média: População Amarela,dados_jacareacanga,Grupo 2 — 3 censos,identity,adam,True,0.28865286387366024,2040,10.140504609006737
Jacareacanga,dados_jacareacanga__media_populacao_branca,Média: População Branca,dados_jacareacanga,Grupo 2 — 3 censos,identity,adam,True,0.19736761363854072,2030,8.473013772284235
Jacareacanga,dados_jacareacanga__media_populacao_branca,Média: População Branca,dados_jacareacanga,Grupo 2 — 3 censos,identity,adam,True,0.19736761363854072,2040,10.145055732181
