municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__anos_de_estudo_media,Anos de Estudo (Média),dados_limoeiro_do_ajuru,Grupo 1 — 4 censos,identity,adam,True,0.10181964579709024,2030,7.785291085294459
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__anos_de_estudo_media,Anos de Estudo (Média),dados_limoeiro_do_ajuru,Grupo 1 — 4 censos,identity,adam,True,0.10181964579709024,2040,9.507331152172306
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_limoeiro_do_ajuru,Grupo 1 — 4 censos,relu,lbfgs,True,6.716117507038341,2030,159.89788785032195
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_limoeiro_do_ajuru,Grupo 1 — 4 censos,relu,lbfgs,True,6.716117507038341,2040,159.7575957724722
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_limoeiro_do_ajuru,Grupo 1 — 4 censos,relu,lbfgs,True,0.4772356008773505,2030,10.339360909861082
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_limoeiro_do_ajuru,Grupo 1 — 4 censos,relu,lbfgs,True,0.4772356008773505,2040,12.38045954573612
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_limoeiro_do_ajuru,Grupo 1 — 4 censos,identity,adam,True,0.12800789504285562,2030,7.300124219099727
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_limoeiro_do_ajuru,Grupo 1 — 4 censos,identity,adam,True,0.12800789504285562,2040,8.956272485328682
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_limoeiro_do_ajuru,Grupo 1 — 4 censos,identity,adam,True,0.12522106932853544,2030,8.270493885132474
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_limoeiro_do_ajuru,Grupo 1 — 4 censos,identity,adam,True,0.12522106932853544,2040,10.058457124404203
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_limoeiro_do_ajuru,Grupo 1 — 4 censos,identity,lbfgs,True,0.1492415248889135,2030,2.681273407324962
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_limoeiro_do_ajuru,Grupo 1 — 4 censos,identity,lbfgs,True,0.1492415248889135,2040,1.8694428886406924
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__populacao_total,População Total,dados_limoeiro_do_ajuru,Grupo 1 — 4 censos,identity,adam,True,0.20993968326202062,2030,32.05026566590849
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__populacao_total,População Total,dados_limoeiro_do_ajuru,Grupo 1 — 4 censos,identity,adam,True,0.20993968326202062,2040,35.56784517217918
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_limoeiro_do_ajuru,Grupo 1 — 4 censos,logistic,lbfgs,True,3.3700734011504903,2030,85.2845223187015
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_limoeiro_do_ajuru,Grupo 1 — 4 censos,logistic,lbfgs,True,3.3700734011504903,2040,86.89488529607915
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_limoeiro_do_ajuru,Grupo 1 — 4 censos,relu,lbfgs,True,0.4794797817108263,2030,10.498241329353132
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_limoeiro_do_ajuru,Grupo 1 — 4 censos,relu,lbfgs,True,0.4794797817108263,2040,12.536110936080402
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__2_trabalhos,2 trabalhos,dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,relu,lbfgs,True,0.8010587531972965,2030,7.012368801633574
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__2_trabalhos,2 trabalhos,dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,relu,lbfgs,True,0.8010587531972965,2040,8.25170339050325
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,relu,adam,True,0.10722708206803089,2030,0.8100811088051616
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,relu,adam,True,0.10722708206803089,2040,0.822652748124
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__apenas_1_trabalho,Apenas 1 trabalho,dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,relu,lbfgs,True,0.5689495418953688,2030,91.75368529216524
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__apenas_1_trabalho,Apenas 1 trabalho,dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,relu,lbfgs,True,0.5689495418953688,2040,89.95596160853057
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__casais_com_filhos,Casais com filhos,dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,identity,lbfgs,True,1.7692765440017457,2030,43.467804444751714
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__casais_com_filhos,Casais com filhos,dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,identity,lbfgs,True,1.7692765440017457,2040,33.95131268023137
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,logistic,sgd,True,0.4622548869726521,2030,9.067656635178952
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,logistic,sgd,True,0.4622548869726521,2040,9.065814451146498
Limoeiro do Ajuru,dados_limoeiro_do_ajuru__casais_sem_filhos,Casais sem filhos,dados_limoeiro_do_ajuru,Grupo 2 — 3 censos,identity,adam,True,1.2180147649683963,2030,12.37042932464107
