municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Magalhães Barata,dados_magalhaes_barata__anos_de_estudo_media,Anos de Estudo (Média),dados_magalhaes_barata,Grupo 1 — 4 censos,identity,lbfgs,True,0.15504495713409483,2030,9.9519456444278
Magalhães Barata,dados_magalhaes_barata__anos_de_estudo_media,Anos de Estudo (Média),dados_magalhaes_barata,Grupo 1 — 4 censos,identity,lbfgs,True,0.15504495713409483,2040,11.550753376064177
Magalhães Barata,dados_magalhaes_barata__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_magalhaes_barata,Grupo 1 — 4 censos,identity,lbfgs,True,0.12580102302297358,2030,9.508635216364182
Magalhães Barata,dados_magalhaes_barata__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_magalhaes_barata,Grupo 1 — 4 censos,identity,lbfgs,True,0.12580102302297358,2040,11.068962521087636
Magalhães Barata,dados_magalhaes_barata__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_magalhaes_barata,Grupo 1 — 4 censos,identity,lbfgs,True,0.18428872622106285,2030,10.39525598673518
Magalhães Barata,dados_magalhaes_barata__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_magalhaes_barata,Grupo 1 — 4 censos,identity,lbfgs,True,0.18428872622106285,2040,12.032544198956307
Magalhães Barata,dados_magalhaes_barata__populacao_total,População Total,dados_magalhaes_barata,Grupo 1 — 4 censos,tanh,lbfgs,True,0.10015231400038571,2030,8.106779097858238
Magalhães Barata,dados_magalhaes_barata__populacao_total,População Total,dados_magalhaes_barata,Grupo 1 — 4 censos,tanh,lbfgs,True,0.10015231400038571,2040,8.100855640821997
Magalhães Barata,dados_magalhaes_barata__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_magalhaes_barata,Grupo 1 — 4 censos,logistic,lbfgs,True,1.3595513307531597,2030,91.98982602353193
Magalhães Barata,dados_magalhaes_barata__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_magalhaes_barata,Grupo 1 — 4 censos,logistic,lbfgs,True,1.3595513307531597,2040,93.07197826195961
Magalhães Barata,dados_magalhaes_barata__2_trabalhos,2 trabalhos,dados_magalhaes_barata,Grupo 2 — 3 censos,relu,lbfgs,True,0.6215770336287946,2030,5.674888374478787
Magalhães Barata,dados_magalhaes_barata__2_trabalhos,2 trabalhos,dados_magalhaes_barata,Grupo 2 — 3 censos,relu,lbfgs,True,0.6215770336287946,2040,6.583449107842972
Magalhães Barata,dados_magalhaes_barata__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_magalhaes_barata,Grupo 2 — 3 censos,identity,adam,True,0.060900738248419774,2030,0.7985214662320534
Magalhães Barata,dados_magalhaes_barata__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_magalhaes_barata,Grupo 2 — 3 censos,identity,adam,True,0.060900738248419774,2040,0.9354311763287215
Magalhães Barata,dados_magalhaes_barata__apenas_1_trabalho,Apenas 1 trabalho,dados_magalhaes_barata,Grupo 2 — 3 censos,relu,lbfgs,True,0.54700880039537,2030,93.3248761898689
Magalhães Barata,dados_magalhaes_barata__apenas_1_trabalho,Apenas 1 trabalho,dados_magalhaes_barata,Grupo 2 — 3 censos,relu,lbfgs,True,0.54700880039537,2040,91.950520754989
Magalhães Barata,dados_magalhaes_barata__casais_com_filhos,Casais com filhos,dados_magalhaes_barata,Grupo 2 — 3 censos,identity,lbfgs,True,1.525237846924514,2030,33.57223261346623
Magalhães Barata,dados_magalhaes_barata__casais_com_filhos,Casais com filhos,dados_magalhaes_barata,Grupo 2 — 3 censos,identity,lbfgs,True,1.525237846924514,2040,24.50629542632597
Magalhães Barata,dados_magalhaes_barata__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_magalhaes_barata,Grupo 2 — 3 censos,logistic,sgd,True,1.0079433183397948,2030,7.804315605138771
Magalhães Barata,dados_magalhaes_barata__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_magalhaes_barata,Grupo 2 — 3 censos,logistic,sgd,True,1.0079433183397948,2040,7.800149798290406
Magalhães Barata,dados_magalhaes_barata__casais_sem_filhos,Casais sem filhos,dados_magalhaes_barata,Grupo 2 — 3 censos,identity,lbfgs,True,0.21353453306243017,2030,20.545965097787594
Magalhães Barata,dados_magalhaes_barata__casais_sem_filhos,Casais sem filhos,dados_magalhaes_barata,Grupo 2 — 3 censos,identity,lbfgs,True,0.21353453306243017,2040,24.276785620406738
Magalhães Barata,dados_magalhaes_barata__conta_propria,Conta própria,dados_magalhaes_barata,Grupo 2 — 3 censos,relu,adam,True,0.05555997302944856,2030,1.4654094295130342
