municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Marituba,dados_marituba__2_trabalhos,2 trabalhos,dados_marituba,Grupo 2 — 3 censos,logistic,sgd,True,1.2459393751899432,2030,4.576008572252722
Marituba,dados_marituba__2_trabalhos,2 trabalhos,dados_marituba,Grupo 2 — 3 censos,logistic,sgd,True,1.2459393751899432,2040,4.57304237959542
Marituba,dados_marituba__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_marituba,Grupo 2 — 3 censos,logistic,sgd,True,0.168425938921089,2030,0.6345907702241325
Marituba,dados_marituba__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_marituba,Grupo 2 — 3 censos,logistic,sgd,True,0.168425938921089,2040,0.6341654432015779
Marituba,dados_marituba__anos_de_estudo_media,Anos de Estudo (Média),dados_marituba,Grupo 2 — 3 censos,identity,adam,True,0.2734606078803097,2030,10.749615742458856
Marituba,dados_marituba__anos_de_estudo_media,Anos de Estudo (Média),dados_marituba,Grupo 2 — 3 censos,identity,adam,True,0.2734606078803097,2040,12.375214892743227
Marituba,dados_marituba__apenas_1_trabalho,Apenas 1 trabalho,dados_marituba,Grupo 2 — 3 censos,logistic,sgd,True,1.386764660917952,2030,94.80296990553686
Marituba,dados_marituba__apenas_1_trabalho,Apenas 1 trabalho,dados_marituba,Grupo 2 — 3 censos,logistic,sgd,True,1.386764660917952,2040,94.79744335343949
Marituba,dados_marituba__casais_com_filhos,Casais com filhos,dados_marituba,Grupo 2 — 3 censos,identity,lbfgs,True,1.586248002370804,2030,34.17113642193192
Marituba,dados_marituba__casais_com_filhos,Casais com filhos,dados_marituba,Grupo 2 — 3 censos,identity,lbfgs,True,1.586248002370804,2040,25.74255708816664
Marituba,dados_marituba__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_marituba,Grupo 2 — 3 censos,logistic,sgd,True,0.9072254379255904,2030,7.903998108871719
Marituba,dados_marituba__casais_com_filhos_vivendo_com_outros_parentes,Casais com filhos vivendo com outros parentes,dados_marituba,Grupo 2 — 3 censos,logistic,sgd,True,0.9072254379255904,2040,7.90052419129993
Marituba,dados_marituba__casais_sem_filhos,Casais sem filhos,dados_marituba,Grupo 2 — 3 censos,identity,lbfgs,True,0.21353453306242662,2030,20.345965097787587
