municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Monte Alegre,dados_monte_alegre__anos_de_estudo_media,Anos de Estudo (Média),dados_monte_alegre,Grupo 1 — 4 censos,identity,lbfgs,True,0.26885781799669983,2030,9.038427688897281
Monte Alegre,dados_monte_alegre__anos_de_estudo_media,Anos de Estudo (Média),dados_monte_alegre,Grupo 1 — 4 censos,identity,lbfgs,True,0.26885781799669983,2040,10.672900704073571
Monte Alegre,dados_monte_alegre__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_monte_alegre,Grupo 1 — 4 censos,identity,adam,True,2.504421386570705,2030,269.4098777026495
Monte Alegre,dados_monte_alegre__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_monte_alegre,Grupo 1 — 4 censos,identity,adam,True,2.504421386570705,2040,305.16914248808405
Monte Alegre,dados_monte_alegre__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_monte_alegre,Grupo 1 — 4 censos,identity,adam,True,0.4349642457998337,2030,21.14981492367889
Monte Alegre,dados_monte_alegre__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_monte_alegre,Grupo 1 — 4 censos,identity,adam,True,0.4349642457998337,2040,24.500170649768073
Monte Alegre,dados_monte_alegre__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_monte_alegre,Grupo 1 — 4 censos,identity,lbfgs,True,0.20521635043818554,2030,8.552979402435222
Monte Alegre,dados_monte_alegre__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_monte_alegre,Grupo 1 — 4 censos,identity,lbfgs,True,0.20521635043818554,2040,10.121284773704236
Monte Alegre,dados_monte_alegre__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_monte_alegre,Grupo 1 — 4 censos,identity,lbfgs,True,0.3324990890815679,2030,9.523875832671603
Monte Alegre,dados_monte_alegre__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_monte_alegre,Grupo 1 — 4 censos,identity,lbfgs,True,0.3324990890815679,2040,11.224516578470004
Monte Alegre,dados_monte_alegre__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_monte_alegre,Grupo 1 — 4 censos,relu,adam,True,0.23062562955292998,2030,2.8304230889534248
Monte Alegre,dados_monte_alegre__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_monte_alegre,Grupo 1 — 4 censos,relu,adam,True,0.23062562955292998,2040,2.3392870475175336
Monte Alegre,dados_monte_alegre__populacao_total,População Total,dados_monte_alegre,Grupo 1 — 4 censos,identity,adam,True,0.4656479819707915,2030,63.97424751407283
Monte Alegre,dados_monte_alegre__populacao_total,População Total,dados_monte_alegre,Grupo 1 — 4 censos,identity,adam,True,0.4656479819707915,2040,68.0015707347619
Monte Alegre,dados_monte_alegre__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_monte_alegre,Grupo 1 — 4 censos,logistic,lbfgs,True,2.0026710394138973,2030,91.05342018519643
Monte Alegre,dados_monte_alegre__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_monte_alegre,Grupo 1 — 4 censos,logistic,lbfgs,True,2.0026710394138973,2040,92.34400735629495
Monte Alegre,dados_monte_alegre__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_monte_alegre,Grupo 1 — 4 censos,identity,adam,True,0.4328885113925929,2030,21.419210599299024
Monte Alegre,dados_monte_alegre__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_monte_alegre,Grupo 1 — 4 censos,identity,adam,True,0.4328885113925929,2040,24.805313150734754
Monte Alegre,dados_monte_alegre__2_trabalhos,2 trabalhos,dados_monte_alegre,Grupo 2 — 3 censos,tanh,adam,True,1.7134179040090594,2030,7.195862788572308
Monte Alegre,dados_monte_alegre__2_trabalhos,2 trabalhos,dados_monte_alegre,Grupo 2 — 3 censos,tanh,adam,True,1.7134179040090594,2040,7.336715939439111
Monte Alegre,dados_monte_alegre__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_monte_alegre,Grupo 2 — 3 censos,tanh,adam,True,0.161033199897907,2030,0.8532083159839907
Monte Alegre,dados_monte_alegre__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_monte_alegre,Grupo 2 — 3 censos,tanh,adam,True,0.161033199897907,2040,0.8742845123278303
Monte Alegre,dados_monte_alegre__apenas_1_trabalho,Apenas 1 trabalho,dados_monte_alegre,Grupo 2 — 3 censos,logistic,sgd,True,2.113162417623476,2030,94.53525018805563
Monte Alegre,dados_monte_alegre__apenas_1_trabalho,Apenas 1 trabalho,dados_monte_alegre,Grupo 2 — 3 censos,logistic,sgd,True,2.113162417623476,2040,94.52681546281396
Monte Alegre,dados_monte_alegre__casais_com_filhos,Casais com filhos,dados_monte_alegre,Grupo 2 — 3 censos,identity,lbfgs,True,1.0676652097085484,2030,38.93052797015337
