municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__2_trabalhos,2 trabalhos,dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,identity,adam,True,0.7004243469943358,2030,8.132044679892166
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__2_trabalhos,2 trabalhos,dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,identity,adam,True,0.7004243469943358,2040,9.955395130323094
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,identity,adam,True,0.030384511986701074,2030,0.9499573047176507
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,identity,adam,True,0.030384511986701074,2040,1.130579432527025
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__anos_de_estudo_media,Anos de Estudo (Média),dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,identity,adam,True,0.2734606078803103,2030,7.149615742458855
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__anos_de_estudo_media,Anos de Estudo (Média),dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,identity,adam,True,0.2734606078803103,2040,8.775214892743225
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__apenas_1_trabalho,Apenas 1 trabalho,dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,relu,lbfgs,True,0.6298450374974559,2030,90.60927675224755
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__apenas_1_trabalho,Apenas 1 trabalho,dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,relu,lbfgs,True,0.6298450374974559,2040,88.32381101453655
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__casais_com_filhos,Casais com filhos,dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,identity,lbfgs,True,0.09152100729317188,2030,43.251410310404225
Nova Esperança do Piriá,dados_nova_esperanca_do_piria__casais_com_filhos,Casais com filhos,dados_nova_esperanca_do_piria,Grupo 2 — 3 censos,identity,lbfgs,True,0.09152100729317188,2040,33.29538644549896
