municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Nova Ipixuna,dados_nova_ipixuna__2_trabalhos,2 trabalhos,dados_nova_ipixuna,Grupo 2 — 3 censos,logistic,sgd,True,1.0775134362688548,2030,3.7414229855630485
Nova Ipixuna,dados_nova_ipixuna__2_trabalhos,2 trabalhos,dados_nova_ipixuna,Grupo 2 — 3 censos,logistic,sgd,True,1.0775134362688548,2040,3.7388787322957806
Nova Ipixuna,dados_nova_ipixuna__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_nova_ipixuna,Grupo 2 — 3 censos,identity,adam,True,0.015192255993350575,2030,0.6749786523588253
Nova Ipixuna,dados_nova_ipixuna__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_nova_ipixuna,Grupo 2 — 3 censos,identity,adam,True,0.015192255993350575,2040,0.7652897162635125
Nova Ipixuna,dados_nova_ipixuna__anos_de_estudo_media,Anos de Estudo (Média),dados_nova_ipixuna,Grupo 2 — 3 censos,identity,adam,True,0.19736761363853983,2030,8.573013772284234
Nova Ipixuna,dados_nova_ipixuna__anos_de_estudo_media,Anos de Estudo (Média),dados_nova_ipixuna,Grupo 2 — 3 censos,identity,adam,True,0.19736761363853983,2040,10.245055732181001
Nova Ipixuna,dados_nova_ipixuna__apenas_1_trabalho,Apenas 1 trabalho,dados_nova_ipixuna,Grupo 2 — 3 censos,logistic,sgd,True,1.1556361363338254,2030,95.76883794738119
Nova Ipixuna,dados_nova_ipixuna__apenas_1_trabalho,Apenas 1 trabalho,dados_nova_ipixuna,Grupo 2 — 3 censos,logistic,sgd,True,1.1556361363338254,2040,95.76424784542293
Nova Ipixuna,dados_nova_ipixuna__casais_com_filhos,Casais com filhos,dados_nova_ipixuna,Grupo 2 — 3 censos,identity,lbfgs,True,0.8083728510234778,2030,35.8101848303903
Nova Ipixuna,dados_nova_ipixuna__casais_com_filhos,Casais com filhos,dados_nova_ipixuna,Grupo 2 — 3 censos,identity,lbfgs,True,0.8083728510234778,2040,26.005254039612765
