municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Nova Timboteua,dados_nova_timboteua__anos_de_estudo_media,Anos de Estudo (Média),dados_nova_timboteua,Grupo 1 — 4 censos,identity,lbfgs,True,0.15504495713409505,2030,10.0519456444278
Nova Timboteua,dados_nova_timboteua__anos_de_estudo_media,Anos de Estudo (Média),dados_nova_timboteua,Grupo 1 — 4 censos,identity,lbfgs,True,0.15504495713409505,2040,11.650753376064177
Nova Timboteua,dados_nova_timboteua__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_nova_timboteua,Grupo 1 — 4 censos,identity,lbfgs,True,0.12580102302297225,2030,9.608635216364181
Nova Timboteua,dados_nova_timboteua__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_nova_timboteua,Grupo 1 — 4 censos,identity,lbfgs,True,0.12580102302297225,2040,11.168962521087638
Nova Timboteua,dados_nova_timboteua__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_nova_timboteua,Grupo 1 — 4 censos,identity,lbfgs,True,0.18428872622106307,2030,10.495255986735181
Nova Timboteua,dados_nova_timboteua__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_nova_timboteua,Grupo 1 — 4 censos,identity,lbfgs,True,0.18428872622106307,2040,12.132544198956307
Nova Timboteua,dados_nova_timboteua__populacao_total,População Total,dados_nova_timboteua,Grupo 1 — 4 censos,tanh,sgd,True,0.2931852902706922,2030,13.977148573396374
Nova Timboteua,dados_nova_timboteua__populacao_total,População Total,dados_nova_timboteua,Grupo 1 — 4 censos,tanh,sgd,True,0.2931852902706922,2040,14.007164279667043
Nova Timboteua,dados_nova_timboteua__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_nova_timboteua,Grupo 1 — 4 censos,logistic,lbfgs,True,1.5015880133062396,2030,92.63778675671088
Nova Timboteua,dados_nova_timboteua__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_nova_timboteua,Grupo 1 — 4 censos,logistic,lbfgs,True,1.5015880133062396,2040,93.88417805460908
