municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Novo Progresso,dados_novo_progresso__anos_de_estudo_media,Anos de Estudo (Média),dados_novo_progresso,Grupo 1 — 4 censos,identity,lbfgs,True,0.32273916489971266,2030,10.176086347434458
Novo Progresso,dados_novo_progresso__anos_de_estudo_media,Anos de Estudo (Média),dados_novo_progresso,Grupo 1 — 4 censos,identity,lbfgs,True,0.32273916489971266,2040,12.197239044040582
Novo Progresso,dados_novo_progresso__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_novo_progresso,Grupo 1 — 4 censos,tanh,lbfgs,True,18.56560357135747,2030,258.2640767027559
Novo Progresso,dados_novo_progresso__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_novo_progresso,Grupo 1 — 4 censos,tanh,lbfgs,True,18.56560357135747,2040,256.42176300434676
Novo Progresso,dados_novo_progresso__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_novo_progresso,Grupo 1 — 4 censos,identity,lbfgs,True,0.24653601951848725,2030,12.485761322091657
Novo Progresso,dados_novo_progresso__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_novo_progresso,Grupo 1 — 4 censos,identity,lbfgs,True,0.24653601951848725,2040,15.02020226637582
Novo Progresso,dados_novo_progresso__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_novo_progresso,Grupo 1 — 4 censos,identity,lbfgs,True,0.2590975973660654,2030,9.690638074929911
Novo Progresso,dados_novo_progresso__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_novo_progresso,Grupo 1 — 4 censos,identity,lbfgs,True,0.2590975973660654,2040,11.645623118400662
Novo Progresso,dados_novo_progresso__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_novo_progresso,Grupo 1 — 4 censos,relu,adam,True,0.38126489133691666,2030,9.918377613857647
Novo Progresso,dados_novo_progresso__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_novo_progresso,Grupo 1 — 4 censos,relu,adam,True,0.38126489133691666,2040,11.092963981867824
Novo Progresso,dados_novo_progresso__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_novo_progresso,Grupo 1 — 4 censos,tanh,lbfgs,True,0.1594599093550897,2030,3.026421861518987
Novo Progresso,dados_novo_progresso__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_novo_progresso,Grupo 1 — 4 censos,tanh,lbfgs,True,0.1594599093550897,2040,2.998481618839264
