municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Oeiras do Pará,dados_oeiras_do_para__anos_de_estudo_media,Anos de Estudo (Média),dados_oeiras_do_para,Grupo 1 — 4 censos,identity,adam,True,0.14160668438998614,2030,7.203641939560602
Oeiras do Pará,dados_oeiras_do_para__anos_de_estudo_media,Anos de Estudo (Média),dados_oeiras_do_para,Grupo 1 — 4 censos,identity,adam,True,0.14160668438998614,2040,8.768685172282392
Oeiras do Pará,dados_oeiras_do_para__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_oeiras_do_para,Grupo 1 — 4 censos,logistic,sgd,True,13.372908150572854,2030,150.10316499545857
Oeiras do Pará,dados_oeiras_do_para__domicilios_coletivos_hoteis_abrigos_alojament,Domicílios Coletivos (Hotéis abrigos alojamentos),dados_oeiras_do_para,Grupo 1 — 4 censos,logistic,sgd,True,13.372908150572854,2040,150.0739086996257
Oeiras do Pará,dados_oeiras_do_para__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_oeiras_do_para,Grupo 1 — 4 censos,logistic,lbfgs,True,0.20665560081221157,2030,8.699143686290075
Oeiras do Pará,dados_oeiras_do_para__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_oeiras_do_para,Grupo 1 — 4 censos,logistic,lbfgs,True,0.20665560081221157,2040,8.906867116703406
Oeiras do Pará,dados_oeiras_do_para__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_oeiras_do_para,Grupo 1 — 4 censos,identity,adam,True,0.19948132641415753,2030,6.664086971898044
Oeiras do Pará,dados_oeiras_do_para__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_oeiras_do_para,Grupo 1 — 4 censos,identity,adam,True,0.19948132641415753,2040,8.140926903996561
Oeiras do Pará,dados_oeiras_do_para__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_oeiras_do_para,Grupo 1 — 4 censos,identity,adam,True,0.08380987685808344,2030,7.743262331314597
Oeiras do Pará,dados_oeiras_do_para__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_oeiras_do_para,Grupo 1 — 4 censos,identity,adam,True,0.08380987685808344,2040,9.39656629498065
Oeiras do Pará,dados_oeiras_do_para__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_oeiras_do_para,Grupo 1 — 4 censos,logistic,lbfgs,True,0.08533209933376595,2030,3.1491412484879797
Oeiras do Pará,dados_oeiras_do_para__media_de_moradores_por_domicilio,Média de Moradores por Domicílio,dados_oeiras_do_para,Grupo 1 — 4 censos,logistic,lbfgs,True,0.08533209933376595,2040,2.999076247943984
Oeiras do Pará,dados_oeiras_do_para__populacao_total,População Total,dados_oeiras_do_para,Grupo 1 — 4 censos,logistic,adam,True,1.069032738127758,2030,29.96151487009883
Oeiras do Pará,dados_oeiras_do_para__populacao_total,População Total,dados_oeiras_do_para,Grupo 1 — 4 censos,logistic,adam,True,1.069032738127758,2040,30.33424286922466
Oeiras do Pará,dados_oeiras_do_para__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_oeiras_do_para,Grupo 1 — 4 censos,logistic,lbfgs,True,3.381617849172711,2030,82.74066186828261
Oeiras do Pará,dados_oeiras_do_para__taxa_de_alfabetizacao_geral,Taxa de Alfabetização (Geral),dados_oeiras_do_para,Grupo 1 — 4 censos,logistic,lbfgs,True,3.381617849172711,2040,84.48353183681395
Oeiras do Pará,dados_oeiras_do_para__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_oeiras_do_para,Grupo 1 — 4 censos,logistic,lbfgs,True,0.2866768737183454,2030,8.895931775291345
Oeiras do Pará,dados_oeiras_do_para__total_de_domicilios_recenseados,Total de Domicílios Recenseados,dados_oeiras_do_para,Grupo 1 — 4 censos,logistic,lbfgs,True,0.2866768737183454,2040,9.132446600215461
Oeiras do Pará,dados_oeiras_do_para__2_trabalhos,2 trabalhos,dados_oeiras_do_para,Grupo 2 — 3 censos,relu,lbfgs,True,0.7209995653504601,2030,6.5423501181029415
Oeiras do Pará,dados_oeiras_do_para__2_trabalhos,2 trabalhos,dados_oeiras_do_para,Grupo 2 — 3 censos,relu,lbfgs,True,0.7209995653504601,2040,7.680516573440512
Oeiras do Pará,dados_oeiras_do_para__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_oeiras_do_para,Grupo 2 — 3 censos,relu,adam,True,0.10722708206803089,2030,0.6100811088051615
Oeiras do Pará,dados_oeiras_do_para__3_ou_mais_trabalhos,3 ou mais trabalhos,dados_oeiras_do_para,Grupo 2 — 3 censos,relu,adam,True,0.10722708206803089,2040,0.6226527481240001
Oeiras do Pará,dados_oeiras_do_para__apenas_1_trabalho,Apenas 1 trabalho,dados_oeiras_do_para,Grupo 2 — 3 censos,relu,lbfgs,True,0.49104003369116356,2030,92.48788253003299
Oeiras do Pará,dados_oeiras_do_para__apenas_1_trabalho,Apenas 1 trabalho,dados_oeiras_do_para,Grupo 2 — 3 censos,relu,lbfgs,True,0.49104003369116356,2040,90.85242170279706
Oeiras do Pará,dados_oeiras_do_para__casais_com_filhos,Casais com filhos,dados_oeiras_do_para,Grupo 2 — 3 censos,identity,lbfgs,True,1.7692765440017457,2030,43.467804444751714
