municipio,indicador_id,indicador_nome,df_origem,grupo_censo,ativacao,solver,auto_selecionado,loocv_mae,ano_previsto,valor_previsto
Oriximiná,dados_oriximina__anos_de_estudo_media,Anos de Estudo (Média),dados_oriximina,Grupo 1 — 4 censos,identity,adam,True,0.1439463543834636,2030,9.58766920089366
Oriximiná,dados_oriximina__anos_de_estudo_media,Anos de Estudo (Média),dados_oriximina,Grupo 1 — 4 censos,identity,adam,True,0.1439463543834636,2040,11.249001365183055
Oriximiná,dados_oriximina__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_oriximina,Grupo 1 — 4 censos,relu,adam,True,24.040131250817815,2030,296.15980026587374
Oriximiná,dados_oriximina__domicilios_coletivos_hoteis_abrigos_etc,Domicílios Coletivos (Hotéis abrigos etc.),dados_oriximina,Grupo 1 — 4 censos,relu,adam,True,24.040131250817815,2040,317.97126556136925
Oriximiná,dados_oriximina__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_oriximina,Grupo 1 — 4 censos,relu,adam,True,1.158473576457384,2030,27.095529677602592
Oriximiná,dados_oriximina__domicilios_particulares_permanentes,Domicílios Particulares Permanentes,dados_oriximina,Grupo 1 — 4 censos,relu,adam,True,1.158473576457384,2040,31.02050276766179
Oriximiná,dados_oriximina__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_oriximina,Grupo 1 — 4 censos,identity,adam,True,0.1205374038574607,2030,9.102445149412612
Oriximiná,dados_oriximina__media_de_anos_de_estudo_homens,Média de Anos de Estudo: Homens,dados_oriximina,Grupo 1 — 4 censos,identity,adam,True,0.1205374038574607,2040,10.697835571822472
Oriximiná,dados_oriximina__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_oriximina,Grupo 1 — 4 censos,identity,lbfgs,True,0.19775902606696683,2030,10.079670682386347
Oriximiná,dados_oriximina__media_de_anos_de_estudo_mulheres,Média de Anos de Estudo: Mulheres,dados_oriximina,Grupo 1 — 4 censos,identity,lbfgs,True,0.19775902606696683,2040,11.81362879526285
